R1,R2,R3,R4,Load
0.011487259,0.001026655,0.00982681,0.000202573,0.22
0.008520773,0.001385366,0.00646756,0.000560616,0.22
0.004132531,0.002311449,0.003591187,0.000317906,0.2
0.010003664,0.001068195,0.004616953,0.0002434,0.2
0.002872453,0.000819302,0.004095054,0.000517459,0.22
0.004538987,0.002571382,0.004424594,0.000552901,0.2
0.004857473,0.001817836,0.00392009,0.000340306,0.2
0.004531868,0.001696829,0.004014097,0.000697529,0.2
0.004933475,0.000857208,0.003740474,0.000663158,0.22
0.008082009,0.001065463,0.003511931,0.000338328,0.2
0.004494236,0.000765859,0.003211095,0.000535673,0.22
0.00642545,0.001841583,0.003357168,0.001046471,0.22
0.004019808,0.001185645,0.003332426,0.000795783,0.2
0.006796041,0.002119235,0.003265458,0.00030949,0.2
0.006196678,0.001602707,0.002739196,0.000251783,0.2
0.0076552,0.002163178,0.002785202,0.001262513,0.2
0.003977826,0.00160771,0.003739071,0.001176808,0.22
0.003956624,0.001002809,0.003283593,0.001267946,0.22
0.003956624,0.001002809,0.003283593,0.001267946,0.22
0.003810883,0.002163011,0.00278296,0.000689687,0.2
0.003681252,0.001209467,0.002258442,0.000859966,0.22
0.042079129,0.005058336,0.061871681,0.00122863,0.34
0.021287457,0.004940227,0.022011777,0.00300369,0.34
0.022608645,0.00579712,0.026809514,0.000340768,0.34
0.022320239,0.001523036,0.026321544,0.000526397,0.34
0.017641268,0.001135314,0.026106432,0.000490941,0.34
0.026871696,0.001760608,0.018184832,0.000700657,0.34
0.015279415,0.002963797,0.025670745,0.000351328,0.34
0.027430511,0.001984431,0.021523371,0.001850708,0.34
0.030638313,0.001125816,0.02614471,0.000680192,0.34
0.020081112,0.004059991,0.016808868,0.001986701,0.34
0.023679123,0.002572168,0.021813126,0.00045856,0.34
0.023679123,0.002572168,0.021813126,0.00045856,0.34
0.011959085,0.002419074,0.016479748,0.002578442,0.34
0.020208927,0.00401931,0.017516991,0.000617064,0.34
0.020542567,0.00205124,0.017582642,0.003866823,0.34
0.016359754,0.001263879,0.018076923,0.001344749,0.34
0.019001876,0.001675325,0.01783156,0.000642927,0.34
0.01961995,0.001884571,0.019766428,0.001026796,0.34
0.013279543,0.001239313,0.017338483,0.001083128,0.34
0.013322539,0.001965711,0.016557326,0.003936743,0.34
0.012735911,0.002178126,0.019484282,0.001175026,0.34
0.013061249,0.001960347,0.022411646,0.001881294,0.34
0.020656768,0.002175015,0.018143068,0.00135072,0.34
0.010392005,0.002399366,0.016645055,0.0043954,0.34
0.017302652,0.003102828,0.021657774,0.00065662,0.34
0.010993608,0.002826523,0.019826424,0.000996974,0.34
0.015547116,0.001789895,0.019463267,0.000836799,0.34
0.01355959,0.001877944,0.015816303,0.003536162,0.34
0.016123337,0.002647716,0.016493016,0.002321909,0.34
0.017759497,0.00320845,0.020660998,0.00052258,0.34
0.009864648,0.002136647,0.012129376,0.002490603,0.34
0.017370197,0.0011796,0.016775083,0.000911015,0.34
0.068356813,0.007204157,0.083472128,0.001920274,0.48
0.052399598,0.006669277,0.05386186,0.000684738,0.48
0.040223439,0.005888269,0.041735318,0.001858422,0.46
0.032012315,0.006827968,0.038969525,0.000483038,0.46
0.035974919,0.004245501,0.033008444,0.003060704,0.46
0.050547772,0.006721657,0.040483692,0.002290491,0.46
0.01665218,0.002814899,0.017477529,0.00511775,0.46
0.027775956,0.005505955,0.041944408,0.001386769,0.46
0.03697625,0.005797861,0.035887101,0.002548249,0.46
0.036470614,0.008068311,0.030946347,0.001871405,0.48
0.025414547,0.008878064,0.023070724,0.001982979,0.46
0.031275014,0.004734087,0.026984632,0.002420099,0.46
0.021731654,0.003898607,0.020276768,0.004254238,0.46
0.019647656,0.002194654,0.013685004,0.001046088,0.48
0.031715782,0.008314799,0.031724758,0.004501697,0.46
0.041752299,0.004319311,0.02598058,0.00644954,0.46
0.027254118,0.003791986,0.020985631,0.008495074,0.46
0.030275304,0.006198727,0.028057606,0.006382454,0.46
0.016424845,0.003842663,0.014675033,0.003608025,0.46
0.029133728,0.008977414,0.02798721,0.00502177,0.46
0.036122727,0.006088079,0.025977927,0.004445143,0.46
0.033529071,0.003745449,0.02763568,0.004085392,0.46
0.037258259,0.007923013,0.02218115,0.002918362,0.48
0.036684824,0.005404788,0.026221319,0.004740595,0.46
0.09710582,0.028413353,0.121560259,0.004388927,0.62
0.085796647,0.019293011,0.08019767,0.001282086,0.62
0.103923159,0.017449682,0.076970032,0.000538581,0.62
0.064505207,0.019697081,0.056908081,0.000365617,0.62
0.067454144,0.015154375,0.065032377,0.001346354,0.62
0.071825215,0.018264725,0.066552887,0.001753953,0.62
0.071126931,0.019179843,0.052295781,0.001801807,0.62
0.048257032,0.015796367,0.049034518,0.004959059,0.62
0.067189301,0.020191393,0.058543684,0.004329239,0.62
0.052322871,0.02620019,0.05270861,0.00578749,0.62
0.074176685,0.013114242,0.050737459,0.007584391,0.62
0.062442394,0.014326025,0.043854176,0.010281327,0.62
0.06963876,0.014897293,0.048303398,0.011157206,0.62
0.050333258,0.011503905,0.049271826,0.010271884,0.62
0.046835132,0.014180368,0.044568778,0.009910821,0.62
0.060235803,0.009864853,0.043451901,0.012304466,0.6
0.042754203,0.011002008,0.038379315,0.011570515,0.62
0.065249593,0.014004163,0.040323031,0.010936253,0.62
0.038676661,0.013377513,0.035429606,0.008000427,0.62
0.064512837,0.010624901,0.051270892,0.011225217,0.62
0.139972121,0.037464128,0.164779937,0.002577782,0.8
0.106518063,0.024688453,0.116394945,0.007057358,0.78
0.109519961,0.02701999,0.118190706,0.01637926,0.78
0.107269237,0.021196249,0.09843339,0.034809937,0.78
0.054331158,0.019541946,0.061536991,0.054621571,0.78
0.091764104,0.025264273,0.0957037,0.036792622,0.76
0.064735684,0.022052658,0.073588528,0.043167526,0.76
0.097713025,0.016790964,0.093375277,0.038495181,0.76
0.084454964,0.018325964,0.085857257,0.04940094,0.76
0.094200404,0.016781001,0.075804482,0.036946781,0.78
0.08741918,0.026264468,0.080416735,0.047582368,0.78
0.099473932,0.020106711,0.077184928,0.044032694,0.78
0.104055088,0.029597387,0.091070619,0.048904835,0.76
0.098093417,0.01951936,0.080420451,0.040248531,0.76
0.08704718,0.022897208,0.067670691,0.033290931,0.78
0.082663822,0.021458785,0.068819057,0.038492728,0.76
0.09224134,0.025946785,0.089460047,0.054083324,0.78
0.094288388,0.022502957,0.074403592,0.033605579,0.78
0.106347085,0.031325575,0.074869393,0.055836657,0.78
