R1,R2,R3,R4,Load
0.000539175,0.000749341,0.001025273,0.028250098,0.14
0.000629075,0.00094425,0.001793352,0.023995055,0.14
0.002236889,0.001255577,0.001942732,0.027590221,0.14
0.003005974,0.001487434,0.001957904,0.025412533,0.14
0.001697465,0.001985151,0.001123632,0.031909354,0.14
0.002073742,0.000603124,0.001033,0.020744725,0.14
0.00212791,0.000401575,0.001054802,0.021578466,0.14
0.002248441,0.000314063,0.000973736,0.029364694,0.14
0.001657633,0.000808501,0.000869159,0.026337096,0.14
0.001527721,0.001027513,0.001356138,0.024161083,0.14
0.001864413,0.000709656,0.001548019,0.025234627,0.14
0.001838013,0.000644703,0.001540508,0.026225605,0.14
0.001838013,0.000644703,0.001540508,0.026225605,0.14
0.002917843,0.000952532,0.000936685,0.022570014,0.14
0.001964211,0.001109406,0.000821483,0.016636682,0.14
0.001717101,0.001486199,0.000717504,0.020640286,0.14
0.001244178,0.001461397,0.000474493,0.019271519,0.14
0.000718391,0.000804049,0.000613083,0.025522883,0.14
0.001241762,0.000969676,0.000637314,0.021238597,0.14
0.0021593,0.000801138,0.001063042,0.020657353,0.14
0.002199489,0.000634475,0.000998306,0.022869052,0.14
0.00245438,0.000593943,0.001037359,0.024095055,0.14
0.00277837,0.001252051,0.000749592,0.028374332,0.14
0.002821606,0.001080813,0.000582062,0.030251261,0.14
0.002224193,0.000943448,0.000704931,0.029729353,0.14
0.000891351,0.000668995,0.000974956,0.017613603,0.14
0.001018297,0.00168273,0.000691452,0.015769499,0.14
0.000961521,0.002105215,0.001073868,0.022548334,0.14
0.00222427,0.00028673,0.000750154,0.020961622,0.14
0.002487542,0.000783108,0.001241128,0.024974024,0.14
0.000870121,0.001306664,0.001194427,0.021477439,0.14
0.002497676,0.000981023,0.001375768,0.02262638,0.14
0.003685819,0.000478945,0.000560767,0.02225559,0.14
0.002114738,0.000763906,0.000595257,0.018794206,0.14
0.001523293,0.001801751,0.000578324,0.018684179,0.14
0.001924201,0.001308086,0.000657924,0.020335004,0.14
0.000991267,0.000649578,0.001313311,0.018605515,0.14
0.000452823,0.000491132,0.00136603,0.015881984,0.14
0.002295768,0.002129078,0.001047183,0.020348029,0.14
0.002294824,0.002155588,0.001025883,0.023148935,0.14
0.00282262,0.001047662,0.00103155,0.02343737,0.14
0.002727017,0.000816635,0.001152845,0.025655206,0.14
0.002370473,0.001698857,0.000139116,0.000362814,0.14
0.002252479,0.001547095,0.000199691,0.000490363,0.14
0.001840558,0.00129444,0.006420434,0.162710423,0.28
0.001750817,0.002818154,0.009369937,0.223284637,0.26
0.00119772,0.002199821,0.008520928,0.092407062,0.28
0.002850391,0.002140996,0.007469876,0.224545862,0.26
0.003494157,0.001585293,0.008016581,0.21426981,0.26
0.001964104,0.000771256,0.007134804,0.237795876,0.26
0.001098,0.002962636,0.004736455,0.132039996,0.28
0.004822473,0.001983783,0.006005423,0.192936889,0.26
0.001445769,0.000838854,0.008008131,0.179094024,0.26
0.002989593,0.001029643,0.006867833,0.179414612,0.26
0.000831993,0.001402592,0.005573474,0.176967891,0.26
0.003138505,0.001594061,0.006435189,0.199406359,0.26
0.002694162,0.00162393,0.006507109,0.196672091,0.26
0.0022923,0.001326126,0.005770978,0.162390172,0.26
0.001280499,0.000616924,0.007267843,0.187562523,0.26
0.004398698,0.002273486,0.006728897,0.193479996,0.26
0.004423972,0.000503059,0.007614391,0.165973293,0.26
0.002079286,0.004056301,0.00428551,0.139247944,0.26
0.00079568,0.004449572,0.006630559,0.201173865,0.26
0.001135676,0.001086495,0.006234086,0.166769617,0.26
0.002049926,0.000708905,0.004904478,0.172932612,0.26
0.001975314,0.000292863,0.000174964,0.000657937,0.26
0.000873353,0.003032799,0.025843421,0.50710328,0.4
0.00099509,0.00277284,0.026992356,0.676549441,0.4
0.001286837,0.002661729,0.018573801,0.257698676,0.4
0.001546138,0.002338208,0.011797629,0.098089997,0.4
0.002176588,0.000984405,0.009634952,0.131220428,0.4
0.002230149,0.001782134,0.015439492,0.290365107,0.4
0.003191158,0.002873867,0.015619743,0.32985754,0.4
0.000776809,0.001230508,0.016346463,0.193577418,0.4
0.003843744,0.001689023,0.016498606,0.2095506,0.4
0.001105719,0.003808639,0.008694606,0.263001877,0.38
0.003015479,0.00116867,0.011387143,0.287853568,0.4
0.001980618,0.001374078,0.013215638,0.265341836,0.4
0.002705308,0.004591102,0.016288242,0.378936089,0.4
0.001833182,0.001661495,0.022431645,0.563391324,0.38
0.001057007,0.00141663,0.010565861,0.302278494,0.4
0.003794536,0.002040741,0.004446604,0.091706936,0.4
0.005552758,0.001001757,0.013160073,0.37228952,0.4
0.001706625,0.001425033,0.011640944,0.374126289,0.4
0.00123614,0.00271043,0.013231439,0.364117002,0.38
0.003069977,0.001066979,0.001912655,0.05873579,0.38
0.000924561,0.000432826,0.007096148,0.110202162,0.4
0.001715276,0.004714953,0.0563294,1.406480165,0.56
0.002182994,0.004556786,0.065012497,1.540731542,0.54
0.003058648,0.004509475,0.050006163,1.292095428,0.54
0.001710885,0.002645941,0.019236608,0.473818676,0.56
0.002195179,0.002685938,0.042514351,1.056346233,0.56
0.001252595,0.003119595,0.035965959,0.520372775,0.56
0.00114836,0.001186373,0.016055048,0.138306371,0.54
0.002631989,0.005292808,0.037366783,0.40242089,0.54
0.001838323,0.002468344,0.030552695,0.463252842,0.54
0.002755941,0.0011605,0.021723158,0.266129171,0.54
0.002731754,0.005227251,0.031503508,0.449553048,0.54
0.00107043,0.000773018,0.019156331,0.128350098,0.54
0.000535473,0.002709157,0.027240222,0.40366467,0.54
0.002805253,0.001967385,0.020907601,0.274973624,0.54
0.002504428,0.001578309,0.019210739,0.308545884,0.54
0.002400071,0.001393537,0.011863059,0.17616229,0.54
0.00156203,0.003202597,0.029509953,0.45234329,0.54
0.00134323,0.0028807,0.022765472,0.354421064,0.54
0.001255181,0.001504989,0.034962645,0.38053912,0.54
0.001882948,0.001229135,0.013430582,0.217262512,0.54
0.002149409,0.001710569,0.025496266,0.402709693,0.54
0.0029885,0.002284366,0.060239796,0.751213035,0.7
0.00282751,0.006068813,0.057285921,0.585311758,0.7
0.00282751,0.006068813,0.057285921,0.585311758,0.7
0.001960731,0.003892885,0.06536653,0.935304285,0.7
0.003819839,0.002585146,0.057555708,0.782772919,0.7
0.002674569,0.003567959,0.064901482,1.000981151,0.7
0.001196884,0.001087154,0.051159608,0.806717542,0.68
0.001275379,0.000787098,0.032547332,0.994622296,0.68
0.001317287,0.005052634,0.048722954,0.675895918,0.7
0.002609836,0.00560621,0.063455725,1.171422918,0.7
0.003102006,0.001705945,0.068590006,1.317595088,0.7
0.00157248,0.00439898,0.054436432,0.918417542,0.7
0.001466289,0.001706001,0.01659263,0.479844992,0.68
0.001920913,0.002545495,0.035253934,0.543237909,0.7
0.003078997,0.003483021,0.049830071,0.656270049,0.7
0.002391148,0.001525442,0.045262969,0.62994289,0.7
0.001854776,0.00442173,0.049300341,0.789507999,0.7
0.001519733,0.002423311,0.028272595,0.24672036,0.7
0.001190105,0.000977851,0.030881744,0.218396793,0.7
0.001460201,0.001525887,0.010353277,0.045947503,0.68
0.001210958,0.008413847,0.060950726,1.209832633,0.68
0.001199148,0.00397483,0.027205276,0.572271554,0.68
0.00418814,0.003500039,0.058939476,1.359807128,0.7
0.006657617,0.003253943,0.114640325,2.698779305,0.88
0.003476315,0.002776786,0.129692419,2.575995721,0.86
0.001539278,0.002639214,0.108549055,1.905437212,0.86
0.002523553,0.000978962,0.080848289,1.275023813,0.86
0.001112218,0.003789936,0.080217941,1.111842286,0.86
0.00186912,0.002373483,0.08650125,1.39796335,0.86
0.003167294,0.00573126,0.07982296,1.409684444,0.84
0.001699886,0.0038454,0.052869738,0.500114109,0.86
0.004144585,0.00388122,0.081117349,1.376395544,0.84
0.003516575,0.004157173,0.090419079,1.514451375,0.86
0.004523726,0.00672451,0.093952508,1.969590001,0.86
0.002391389,0.008205516,0.079802368,1.483265578,0.86
0.002077642,0.003562474,0.085900758,1.835558269,0.84
0.001626881,0.005099014,0.095157763,1.882647929,0.86
0.004600988,0.005493404,0.072120111,1.154552891,0.86
0.001310084,0.002833809,0.054751441,0.711763178,0.84
0.002009083,0.002620188,0.053149115,0.805448254,0.86
0.003847983,0.003285593,0.073565816,1.305593412,0.86
0.003096804,0.004019966,0.08571619,1.719731298,0.86
0.001873086,0.002826382,0.074800553,1.712808524,0.86
0.003860031,0.005735953,0.124058376,1.501054478,1.04
0.003625304,0.01318699,0.140263947,4.075769302,1.04
0.001558158,0.007179096,0.141288276,3.031926182,1.04
0.001525641,0.006298443,0.143695698,2.678783762,1.02
0.004290082,0.006648281,0.132601397,3.238923784,1.04
0.007321189,0.010839246,0.124177063,3.498105922,1.04
0.0041616,0.003162786,0.121965649,2.777428694,1.02
0.003453264,0.005897345,0.11596902,1.988613757,1.02
0.003463409,0.006016135,0.106751038,2.844826229,1.04
0.003166824,0.002933695,0.102999744,2.09803923,1.02
0.003270352,0.005177649,0.089451727,1.694801942,1.02
0.005158424,0.006387212,0.12176341,3.410841669,1.02
0.001796872,0.006172912,0.104463573,3.48663232,1.02
0.001962294,0.003435934,0.094392845,2.872977609,1.02
0.002151451,0.002467697,0.112060187,2.539600388,1.04
0.003329486,0.003298343,0.103145813,3.458956094,1.02
0.006746145,0.004894943,0.084619357,2.712625534,1.02
0.006410459,0.003122926,0.108962717,3.33382009,1.02
0.001715794,0.006215981,0.129391776,3.917588454,1.04
0.003038802,0.006024599,0.095372857,2.336598532,1.02
0.001506893,0.010832232,0.169653484,6.750201598,1.38
0.002669319,0.009434406,0.244015895,7.276162803,1.36
0.002350487,0.002361519,0.065692623,5.453657968,1.36
0.004882111,0.0071324,0.183599108,5.160812124,1.36
0.010168117,0.002783944,0.141533159,6.808786099,1.36
0.014014231,0.005365488,0.237103876,7.650152556,1.36
0.006668382,0.0039112,0.184903811,6.289582912,1.34
0.013116319,0.003516714,0.18311967,6.605083154,1.36
0.008504945,0.002517089,0.196435277,3.036462045,1.34
0.011281061,0.004210783,0.247180351,5.512377184,1.34
0.003662605,0.002327639,0.093488791,5.69379254,1.36
0.015919527,0.004660831,0.222504052,6.265759839,1.34
0.010276457,0.002757005,0.117621207,5.335636595,1.36
0.010131836,0.001384311,0.195647484,6.450284874,1.36
0.011852336,0.005261487,0.239235656,6.142522342,1.34
0.01647918,0.0021094,0.232723873,7.319880436,1.36
0.009717045,0.004370785,0.215091989,4.710953909,1.34
0.015948204,0.0021663,0.183389206,6.673681636,1.36
0.009454673,0.003033127,0.120459532,5.389511261,1.36
0.014864886,0.002892909,0.195814807,7.372980674,1.34
0.024043991,0.008576205,0.377391731,9.324614636,1.74
0.042660503,0.003304145,0.369737105,10.60667082,1.72
0.069643361,0.003503488,0.257225172,12.24520527,1.72
0.076449923,0.005811853,0.097789161,11.09026159,1.72
0.094075279,0.005176385,0.178692221,10.58922818,1.72
0.075177554,0.005552694,0.175943791,10.95352123,1.7
0.083775039,0.008797848,0.144914431,9.284962791,1.7
0.070248705,0.005125919,0.063668117,8.113088908,1.72
0.079753849,0.009594082,0.172549194,10.29855732,1.72
0.067190502,0.001942659,0.031898414,7.1093261,1.72
0.063349423,0.012612788,0.209552356,8.583496137,1.7
0.058790543,0.000760159,0.016532945,6.491532433,1.7
0.083638177,0.014842094,0.143110239,10.74802259,1.72
0.103102156,0.019254403,0.197153254,12.22796956,1.68
0.090320431,0.004136819,0.086600935,10.49401424,1.7
0.110900855,0.016766419,0.392578719,14.73166596,1.7
0.115196644,0.002531445,0.202813626,11.45278563,1.72
0.063019612,0.001284405,0.182679541,11.05632349,1.7
0.052606398,0.001534034,0.031141324,7.043222504,1.7
0.053144693,0.000897805,0.205467525,8.872277685,1.7
0.117700243,0.001286329,0.013466567,5.005553534,2.1
0.237418719,0.007649799,0.254843409,13.38462672,2.08
0.136471511,0.004953747,0.003919628,3.581833173,2.08
0.365483321,0.009518131,0.147047392,12.16242765,2.06
0.289611922,0.007884487,0.015267182,7.708296588,2.08
0.41343401,0.015984421,0.166178763,11.95449261,2.06
0.347811033,0.008563275,0.021820748,7.475484961,2.06
0.25142333,0.009651004,0.005457882,6.564215502,2.04
0.322030617,0.011802206,0.027602573,10.03741617,2.04
0.225836792,0.003890414,0.149723436,11.53142945,2.04
0.190720288,0.002343333,0.296744262,9.920888533,2.08
0.352931353,0.011936506,0.099677698,10.85865584,2.04
0.305127237,0.00504229,0.151484791,14.57436548,2.06
0.298926628,0.015137678,0.081675469,10.9903488,2.02
0.345280554,0.006377995,0.207221878,13.24918439,2.04
0.275048247,0.008200695,0.012349194,8.786098092,2.04
0.329154801,0.006846361,0.136138851,12.34484644,2.02
0.300991771,0.009905568,0.015281019,8.358280165,2.06
0.304133747,0.010505274,0.03958339,10.7542827,2.02
0.304642567,0.009523516,0.083545974,10.98009701,2.06
