R1,R2,R3,R4,Load
0.003822557,0.002491503,0.048058511,0.107500289,0.12
0.000684063,0.001316052,0.037356827,0.065877367,0.12
0.004170706,0.001037266,0.02835404,0.060162152,0.12
0.003324271,0.005463985,0.03335255,0.05450616,0.12
0.004643196,0.001053413,0.03041088,0.055386125,0.12
0.00280288,0.001034457,0.02937875,0.051941562,0.12
0.002691871,0.001564881,0.029466731,0.047970163,0.12
0.005023573,0.00122332,0.027052452,0.04700239,0.12
0.004129798,0.000628467,0.032704819,0.06041046,0.12
0.001561949,0.001373036,0.02819907,0.04751003,0.12
0.001728084,0.000939734,0.018130223,0.025344635,0.12
0.002820113,0.001355301,0.027021998,0.046441295,0.12
0.00506728,0.001114031,0.02612479,0.04408446,0.12
0.002861079,0.00083929,0.024161058,0.043899694,0.12
0.001542054,0.001236884,0.024594808,0.039700773,0.12
0.002506734,0.001507407,0.021988252,0.039368879,0.12
0.002825075,0.000896739,0.024295697,0.039090277,0.12
0.003054621,0.001038038,0.024312591,0.037358605,0.12
0.001046167,0.000824365,0.028921082,0.047541022,0.12
0.002852984,0.001259295,0.02147925,0.037826614,0.12
0.0032423,0.00130512,0.020406417,0.037076005,0.12
0.00349057,0.001296384,0.020987858,0.040520438,0.12
0.003631582,0.000635812,0.025673516,0.045993644,0.12
0.001997397,0.004105166,0.758102763,1.244132006,0.26
0.001997012,0.005572511,0.929172819,1.560957648,0.26
0.002282416,0.007141639,0.947929244,1.584673563,0.26
0.002627365,0.005994084,0.757091587,1.280102724,0.26
0.002995069,0.005457371,0.315386778,0.68496272,0.26
0.002350425,0.009011046,0.257288475,0.534911681,0.26
0.002772373,0.00971323,0.289408219,0.605107026,0.26
0.003823796,0.005420022,0.239321765,0.389789045,0.26
0.005016939,0.004981499,0.29803426,0.510938933,0.26
0.001534302,0.007978324,0.202314187,0.403023038,0.26
0.001956926,0.008471207,0.304668611,0.603604786,0.26
0.002110003,0.002413455,0.162811371,0.243087657,0.26
0.00405003,0.003200817,0.307346238,0.568330598,0.26
0.002548734,0.006681426,0.278869112,0.541253721,0.26
0.002589729,0.005629923,0.245676124,0.47901414,0.26
0.002842772,0.006022989,0.244486015,0.465927192,0.26
0.003131089,0.012291121,0.295202901,0.568247587,0.26
0.001590773,0.004259825,0.213002214,0.383984273,0.26
0.002040914,0.007163604,0.268432385,0.51999848,0.26
0.003515032,0.006640256,0.242868959,0.44183836,0.26
0.003611997,0.008155672,0.262721908,0.487814918,0.26
0.002901286,0.00713264,0.207711062,0.398875753,0.26
0.003382472,0.004918288,0.241874089,0.438043712,0.26
0.003428826,0.005567098,0.255109828,0.469706401,0.26
0.002440659,0.006151547,0.240305652,0.450612271,0.26
0.002503517,0.004366138,0.181726123,0.334927257,0.26
0.002246081,0.006199146,0.193707678,0.362148264,0.26
0.0010562,0.007731968,0.245936777,0.473884382,0.26
0.000920813,0.007068024,0.132005729,0.266593575,0.26
0.00334198,0.003284905,0.215919434,0.378250371,0.26
0.002008107,0.0046226,0.276579366,0.529241853,0.26
0.001991623,0.004527524,0.271395579,0.526296965,0.26
0.001998518,0.003696745,0.171234896,0.363590719,0.26
0.001541589,0.004165648,0.230579532,0.432212944,0.26
0.001848773,0.004186159,0.24403511,0.472579207,0.26
0.003047564,0.0056006,0.189957033,0.376202606,0.26
0.003402586,0.007867978,0.215607277,0.435118363,0.26
0.002773672,0.007737399,0.2207713,0.456651761,0.26
0.004967625,0.006103895,0.240273056,0.462956412,0.26
0.00320801,0.006159037,0.225643811,0.453123939,0.26
0.001068006,0.00390997,0.196422486,0.370576258,0.26
0.001065995,0.004263283,0.237046368,0.432491501,0.26
0.000976594,0.004833439,0.258448753,0.483735186,0.26
0.001056998,0.00520112,0.171440964,0.343320823,0.26
0.003106715,0.003802391,0.178987795,0.326661486,0.26
0.003526227,0.004665755,0.186040285,0.378875189,0.26
0.001675672,0.008947674,0.247659497,0.45603786,0.26
0.002440876,0.00323475,0.192094861,0.334644618,0.26
0.003109889,0.006776174,0.223253163,0.411006536,0.26
0.002370691,0.016753311,0.747599424,1.852415992,0.42
0.004288459,0.0388618,1.303260738,3.816779203,0.4
0.009381948,0.029382211,1.041299394,2.740591373,0.4
0.010357966,0.0389307,1.217897108,3.3909055,0.4
0.011401821,0.034391835,1.133451624,3.263892022,0.4
0.006885853,0.033937382,1.162847529,3.233060097,0.4
0.006790987,0.037040113,1.160649071,3.285312345,0.4
0.001302413,0.025887036,0.96685205,2.172552577,0.4
0.001442081,0.029204818,1.146004353,2.73643907,0.4
0.001993974,0.009465446,0.621546393,1.29712175,0.4
0.003230662,0.022655443,1.00911612,2.511895845,0.4
0.003128821,0.025355356,1.042500238,2.71860587,0.4
0.00279306,0.011078165,0.444371348,1.002145456,0.4
0.002766068,0.017153475,0.707511006,1.696668672,0.4
0.005763073,0.01914336,0.898237657,2.28225541,0.4
0.001782636,0.032373818,1.054991826,2.924551445,0.4
0.001782636,0.032373818,1.054991826,2.924551445,0.4
0.001964819,0.031331018,0.971974446,2.593107379,0.4
0.003614294,0.015583472,0.941589385,2.492068118,0.4
0.002333287,0.019513824,0.765156033,1.948465034,0.4
0.005981629,0.01916725,0.710606162,1.686131081,0.4
0.001358834,0.017290668,0.839191445,1.789652079,0.4
0.001959721,0.024195573,0.980934104,2.324825471,0.4
0.002123448,0.024888185,0.991731301,2.677069074,0.4
0.001713087,0.020745015,0.803738482,2.020360672,0.4
0.005587922,0.006543456,0.348410701,0.570655097,0.4
0.004771374,0.032989767,1.049435007,2.455745207,0.4
0.002637603,0.011258252,0.617392525,1.386587984,0.4
0.002943139,0.022288486,0.96569713,2.471130857,0.4
0.004604629,0.020937118,0.916231605,2.338916625,0.4
0.003898243,0.022212318,0.840269995,2.129560835,0.4
0.00409417,0.116479529,2.987423779,8.262848612,0.54
0.00161111,0.060458468,2.035079092,4.541859977,0.54
0.002259736,0.083878474,2.615333836,7.006122501,0.54
0.003292913,0.049683848,1.68625104,3.819845288,0.54
0.002667218,0.069887065,2.124911569,5.260558292,0.54
0.003912917,0.051606763,1.912491645,4.247870493,0.54
0.002412013,0.053513078,2.053321254,4.451107977,0.54
0.003221178,0.068304572,2.005498171,5.112905808,0.54
0.002438406,0.05339912,2.398933086,5.7740253,0.54
0.006591112,0.052251716,2.129073038,4.975134069,0.54
0.004048951,0.041659088,2.121982972,4.85580928,0.54
0.002387972,0.034963426,1.939269593,3.997562534,0.54
0.004688989,0.054013629,2.221432356,5.655591802,0.54
0.002165017,0.046913818,2.164550701,4.452110435,0.54
0.003056686,0.0483059,2.003733416,4.33506087,0.54
0.004605919,0.044605088,2.130388782,4.791168474,0.54
0.003996775,0.042773684,2.008789805,4.489893562,0.54
0.00423831,0.043836861,2.165652209,5.054281454,0.54
0.004416785,0.036031129,1.824059899,3.218323707,0.54
0.005324766,0.028504647,1.817509937,3.558119385,0.54
0.004875548,0.04123641,1.978621003,4.058957412,0.54
0.004508269,0.060118744,2.400240614,5.172331041,0.54
0.0034529,0.167672582,5.072219121,10.71472624,0.72
0.002813807,0.103046667,3.75624204,8.547592122,0.7
0.001092499,0.077749411,3.99271963,10.39192943,0.68
0.002484268,0.085493775,4.053733119,8.967792986,0.68
0.00329157,0.07388551,3.55632573,8.857607931,0.68
0.004852347,0.048763125,3.224451004,6.315983866,0.7
0.004333566,0.056230758,3.216996417,6.05224691,0.68
0.005632774,0.038582512,3.464915885,7.571881924,0.68
0.005326236,0.038441749,2.624649499,7.320014589,0.68
0.004505165,0.054192438,3.684803947,7.467700127,0.7
0.005645216,0.043623651,3.404746431,8.687048373,0.68
0.003910842,0.038874049,3.533216017,7.773035217,0.68
0.00285677,0.055580666,4.201688266,10.40731896,0.7
0.001230892,0.046842117,4.02117216,9.558630789,0.7
0.003645012,0.026482848,2.742657499,5.509026802,0.7
0.001867365,0.028715662,2.644665118,4.772567743,0.68
0.005948532,0.040046844,3.203513024,8.240141098,0.68
0.003303009,0.04341957,3.714967094,8.821148338,0.7
0.002914838,0.035453773,3.517015137,8.954816639,0.68
0.002891349,0.023496305,2.259353688,7.142842862,0.68
0.004984139,0.04657619,3.82645233,9.398078341,0.7
0.005478437,0.043805583,3.999555252,9.040070349,0.68
0.003051618,0.039817947,4.440824573,10.03066845,0.7
0.002598291,0.030717601,3.905318875,8.756915255,0.68
0.007411371,0.174850976,7.571928185,17.68737062,0.86
0.001892761,0.157859743,5.631590698,15.5952654,0.84
0.002912018,0.122152261,6.258776714,17.80672942,0.84
0.002916633,0.12198109,5.104161368,12.3396155,0.84
0.004931531,0.048871577,4.59693316,10.00025537,0.84
0.002670699,0.039729309,4.382759493,9.176844904,0.84
0.002739075,0.042369093,3.924320259,7.989901672,0.84
0.003046721,0.066129609,4.747152135,12.74063961,0.84
0.003769207,0.052848654,5.207624853,14.25924539,0.84
0.003100319,0.072320098,5.361403473,15.06667461,0.84
0.00708341,0.076444967,5.727583367,16.05490384,0.84
0.004360184,0.042859691,5.278248147,14.48001358,0.84
0.006849666,0.067339729,5.212122296,16.5846396,0.84
0.004762602,0.083730179,5.454415752,15.54017365,0.84
0.003532947,0.049727374,5.097543885,12.63594853,0.84
0.006364488,0.061674164,4.690118534,14.01555609,0.84
0.001831997,0.043903648,4.523770679,11.4179004,0.84
0.001135333,0.045608883,5.466033482,15.18407956,0.82
0.000952217,0.04115222,4.226721754,13.9418672,0.82
0.004573142,0.05213733,5.512065254,16.83032634,0.84
0.006069128,0.052038069,4.582293942,12.36417938,0.84
0.022413013,0.323851797,6.553061001,26.51770069,1.0
0.005449354,0.2804624,7.50932768,24.3033728,1.02
0.009663923,0.174733113,4.399772101,14.31430478,1.0
0.002411299,0.171211239,6.434772194,21.34250551,1.0
0.001588762,0.215038764,7.518192127,24.50144113,1.0
0.004395724,0.208682339,6.229993351,22.60521898,0.98
0.003107919,0.258004494,7.309786854,26.04534906,1.0
0.004352303,0.236480438,7.351479842,24.55606954,0.98
0.003387904,0.164371622,1.769015528,11.58180456,0.98
0.004203693,0.172742602,6.431472895,20.94593842,1.0
0.004722949,0.2698373,7.507429157,26.39705573,1.0
0.004807822,0.207485446,7.344260796,22.38523911,1.0
0.004920612,0.174543094,4.002169667,13.38756175,0.98
0.006282946,0.198950574,7.046319084,21.3012733,1.0
0.010542776,0.168339696,7.190052015,20.44275716,1.0
0.005950181,0.198700678,7.532268144,24.17672393,0.98
0.005491597,0.172303598,5.867230595,19.78639986,0.98
0.005939139,0.143226584,6.532793675,20.78494366,0.98
0.005331091,0.190758048,7.314352429,22.42392946,1.0
0.005925466,0.124129147,6.052189246,16.56010832,1.0
0.007581508,0.16911548,6.471463372,19.75646376,0.98
0.049099395,0.465446294,17.89116534,88.60205008,1.34
0.002188042,0.177814248,9.688147841,40.86687671,1.32
0.004248709,0.168017591,9.745616173,28.48496514,1.32
0.019537019,0.113094757,11.1960813,50.1404171,1.32
0.039483335,0.061544223,8.090542375,40.14829993,1.32
0.021102668,0.137990409,11.30937225,44.73129291,1.32
0.020516857,0.10104917,10.40667312,40.50555858,1.32
0.031874514,0.107457451,12.7431436,48.35179049,1.32
0.023461822,0.118579293,11.0413952,42.01664462,1.32
0.029013301,0.104945042,10.74369469,49.07496264,1.32
0.029743605,0.075921368,7.153990477,37.12056813,1.32
0.02911565,0.101984186,7.897045696,36.00367998,1.32
0.034317822,0.10787961,10.84134614,45.89295754,1.32
0.027030691,0.133610364,11.34265322,45.33315413,1.32
0.021700515,0.150795043,11.87032545,40.80909321,1.32
0.023818268,0.096262664,9.159210091,33.95559623,1.32
0.009591541,0.131188006,11.97752138,40.31702664,1.34
0.033838427,0.070235206,9.934753228,48.61741503,1.32
0.015460927,0.125663899,9.170420494,36.72540739,1.32
0.035354674,0.10851495,12.44752375,48.28903202,1.32
0.008811575,0.087709165,10.24880589,61.13570962,1.68
0.063745152,0.18431957,7.398356503,41.3454053,1.66
0.120586028,0.33215842,4.738815937,29.21470815,1.66
0.116079279,0.3264954,11.53608836,50.59894179,1.66
