R1,R2,R3,R4,Load
19.48562352,0.006265259,0.000929631,0.088457901,0.22
15.71956516,0.00415031,0.002060374,0.089001789,0.2
13.38915704,0.002367348,0.00081492,0.074544061,0.2
16.68471569,0.003624096,0.002190351,0.082006186,0.2
13.94992785,0.003334625,0.001357763,0.066160904,0.2
12.0904147,0.002471247,0.000953649,0.057875316,0.2
14.19652293,0.001640695,0.000539166,0.077215395,0.2
14.91875047,0.002856031,0.000731209,0.086700454,0.2
10.08587251,0.001886521,0.000472437,0.046761008,0.2
12.0426498,0.003052295,0.000840062,0.062337784,0.2
13.57930634,0.005565405,0.001068321,0.077270928,0.2
13.57930634,0.005565405,0.001068321,0.077270928,0.2
12.87661132,0.005581683,0.000678935,0.075478242,0.2
12.92375611,0.0059011,0.00066767,0.077216984,0.2
12.65416457,0.002111868,0.000830382,0.084104861,0.2
12.15407757,0.002092973,0.000701851,0.085522101,0.2
14.4455687,0.002534495,0.000571256,0.106623561,0.2
16.29284614,0.002063445,0.001889113,0.094851746,0.2
13.88478039,0.00185635,0.00133394,0.079119768,0.2
12.76780332,0.001366739,0.000974877,0.072165293,0.2
12.1394756,0.001641141,0.000839386,0.067411964,0.2
12.34868364,0.001828536,0.000888691,0.077739851,0.2
13.66234158,0.00215937,0.001141615,0.088965299,0.2
14.05648105,0.002395038,0.00084667,0.089274255,0.2
13.59708936,0.00142251,0.000540137,0.089712534,0.2
13.43735305,0.001500237,0.000405095,0.090180113,0.2
15.23040356,0.001521303,0.000417303,0.101780898,0.2
15.58433746,0.001355642,0.002069054,0.10209397,0.2
14.95079204,0.001600772,0.001143554,0.093326753,0.2
14.58018284,0.001537732,0.000820271,0.088648038,0.2
11.87202949,0.00196176,0.000560708,0.063200763,0.2
9.074849193,0.002725322,0.000208204,0.054980961,0.2
13.51067364,0.004097715,0.000918119,0.083593688,0.2
11.69037553,0.001192814,0.000931403,0.063126494,0.2
11.04233507,0.002082539,0.00120687,0.077620005,0.2
11.99077422,0.002526033,0.00112323,0.084384027,0.2
10.41228555,0.002839746,0.000858973,0.070302682,0.2
12.28589742,0.002224241,0.000462233,0.072286595,0.2
8.479230314,0.00216651,0.000497018,0.057776842,0.2
11.06840378,0.002619345,0.001134697,0.069808563,0.2
11.12677822,0.002084842,0.000916913,0.070668362,0.2
11.85727045,0.002191688,0.000621897,0.075976581,0.2
11.21355691,0.002123847,0.000524869,0.074013489,0.2
10.52560646,0.00136483,0.000931142,0.055031527,0.2
12.93820204,0.003586768,0.001786392,0.071225465,0.2
10.66508369,0.003648331,0.000665631,0.066490619,0.2
0.109028162,0.000911024,0.000144219,0.001033084,0.2
0.053926198,0.000686311,0.000250264,0.000635298,0.2
0.038592295,0.000464612,0.000252926,0.000541543,0.2
176.9920684,0.008105991,0.001071409,0.268951026,0.38
165.573008,0.009837694,0.000445526,0.275122713,0.36
143.6465694,0.004275955,0.00137205,0.313024694,0.36
158.0940765,0.004723589,0.000533369,0.360725216,0.36
158.954634,0.005746042,0.000687687,0.387320763,0.36
137.4667763,0.004268144,0.000519855,0.354670695,0.36
126.1811529,0.004502776,0.000373764,0.270008465,0.36
137.9345453,0.006428178,0.001300675,0.378204079,0.36
139.6442375,0.007293157,0.000352265,0.359275637,0.34
91.20230082,0.005456318,0.00103829,0.199801655,0.34
135.9065853,0.004713386,0.000514065,0.368636233,0.34
97.64403317,0.003122339,0.001303798,0.246900869,0.34
120.5277383,0.005350958,0.000629506,0.319171526,0.34
122.9014416,0.005330507,0.000819799,0.330911283,0.34
90.70969476,0.00481181,0.00078715,0.242047661,0.34
145.2802759,0.008012264,0.000583964,0.403706326,0.34
130.0277949,0.006588393,0.000816027,0.364186143,0.34
123.3788067,0.003955083,0.000939129,0.323188107,0.34
130.9752776,0.0085824,0.000332149,0.334315737,0.34
118.4263931,0.008989071,0.000335535,0.321404939,0.34
133.7936942,0.004139881,0.00068621,0.38366128,0.36
105.4420268,0.004526438,0.00100792,0.312161187,0.34
136.2347878,0.004723474,0.00021378,0.408317653,0.36
132.043806,0.00478321,0.000519238,0.401608215,0.34
111.8425208,0.003636471,0.000590869,0.339235008,0.34
107.5523133,0.004339985,0.000614024,0.314515672,0.34
103.8064537,0.005075279,0.000645414,0.300723577,0.34
105.0053489,0.008008376,0.000569377,0.303789331,0.34
0.411826095,0.00121142,0.000362622,0.000710886,0.34
343.3584274,0.007499089,0.000782654,0.702013377,0.52
381.9545404,0.007515216,0.00054223,0.920901716,0.52
431.3710556,0.009892016,0.000799114,0.919738811,0.52
497.9921676,0.010898274,0.000918102,0.975365215,0.52
343.3007017,0.008725293,0.000573289,0.761267196,0.5
220.5339283,0.005039129,0.000563549,0.502268628,0.52
367.1673948,0.008921017,0.001580221,1.038399927,0.5
372.5155685,0.006648705,0.000237099,0.892322197,0.5
435.7002779,0.012521968,0.000527035,1.106106844,0.5
360.29443,0.014477332,0.000733916,0.906025754,0.5
327.2439245,0.006421883,0.000473577,0.747818196,0.5
382.5446446,0.008770523,0.000867948,0.94259209,0.5
363.2472273,0.008540839,0.000760747,0.947301084,0.5
197.4171963,0.003720901,0.000416572,0.564318671,0.52
362.6046951,0.010817779,0.00137694,0.916780721,0.5
377.4993265,0.008466811,0.001028323,0.994481532,0.5
389.5863469,0.008208467,0.001421749,1.063795744,0.52
344.4025882,0.00794272,0.001178042,0.899023515,0.52
298.3876121,0.00423659,0.001113402,0.767371872,0.52
359.2152129,0.007922766,0.001168151,0.916937105,0.5
370.7080788,0.010652529,0.001237532,1.014592397,0.5
3.79235328,0.00149973,0.000467013,0.005930854,0.52
367.2228014,0.007379961,0.002543268,0.981572805,0.7
841.8075962,0.031320868,0.003403936,1.758200892,0.68
211.9634919,0.00837452,0.00216253,0.712886703,0.68
790.5251824,0.022216812,0.002575191,1.424082486,0.68
770.1710579,0.030532976,0.002994375,1.644453318,0.68
373.9091462,0.011626659,0.005172001,0.982438916,0.7
108.0059463,0.003527184,0.001227198,0.414846906,0.68
833.5060159,0.031744258,0.004012701,1.68723675,0.68
603.9027978,0.019225609,0.003043522,1.237042697,0.68
218.0147872,0.005844975,0.001709015,0.687966453,0.68
781.5393118,0.025918861,0.004551603,1.532217453,0.68
251.7398802,0.004662313,0.001761656,0.6951196,0.68
523.2994991,0.014797509,0.003063892,0.953180448,0.68
472.6504443,0.011769579,0.002441346,1.033916045,0.68
234.5761302,0.003534157,0.00182729,0.680817123,0.68
202.9078482,0.007607396,0.001009361,0.888497417,0.68
140.8867226,0.004562018,0.001003913,0.422674445,0.68
452.9521641,0.006100253,0.004504405,0.949280326,0.68
105.2379374,0.001646834,0.000270097,0.404372722,0.68
10.65332531,0.000365253,0.000184914,0.008390678,0.68
375.5267183,0.015724107,0.002529601,1.072945035,0.86
416.2169706,0.019787578,0.002756277,1.16385523,0.86
844.0511989,0.025495702,0.005662238,1.20372444,0.88
803.2517217,0.035098309,0.000572408,2.250038629,0.86
372.9045154,0.009005698,0.001686969,0.967243007,0.86
471.9703304,0.030210018,0.002287031,1.504478945,0.86
427.5866075,0.015851743,0.002507183,1.154833848,0.86
609.0204194,0.026883105,0.004087457,1.837064969,0.86
558.2579008,0.017889226,0.00471501,1.613437489,0.86
727.3300021,0.031501099,0.008920728,1.960174437,0.88
586.2970919,0.03017818,0.006802945,1.620671487,0.88
765.2105728,0.028079979,0.011042731,1.81352457,0.88
833.1006108,0.019792354,0.007949064,1.283048274,0.86
290.0871341,0.005721919,0.003923839,0.883106641,0.88
588.6323147,0.025517034,0.008266743,1.794007188,0.86
203.616563,0.008092176,0.001684084,0.670203422,0.86
453.1470913,0.015350356,0.005961627,1.281953259,0.86
293.0394122,0.010449432,0.004410802,0.715401559,0.86
765.26743,0.01592164,0.007012997,1.121894682,0.88
420.01594,0.01452993,0.005195868,1.003116218,0.88
1385.815762,0.021744757,0.009725379,1.437126882,1.06
1261.857499,0.076372294,0.005503538,2.399723469,1.06
796.4955709,0.024628252,0.005256363,1.394348247,1.06
1200.290055,0.067588953,0.007348078,2.67117815,1.06
1245.798159,0.068467861,0.009291028,2.455186843,1.06
2025.058594,0.079173663,0.01589568,2.374382059,1.06
3425.611085,0.11758466,0.020106694,3.139864772,1.06
3290.228027,0.110664249,0.027488627,3.56114023,1.04
