R1,R2,R3,R4,Load
0.001233836,0.001401735,0.00025671,0.007250981,0.12
0.005048895,0.001279383,0.000279794,0.016164796,0.12
0.001228777,0.001152143,0.000224371,0.01693167,0.12
0.002208538,0.001129518,0.000218782,0.01516834,0.12
0.002637044,0.000934002,0.000203597,0.012612887,0.12
0.001689654,0.002399757,0.00044161,0.017478723,0.12
0.003101353,0.0022718,0.000384917,0.014793603,0.12
0.003161344,0.0013768,0.000133264,0.014377051,0.12
0.003298665,0.00041699,0.000111874,0.016239281,0.12
0.005220808,0.000626072,0.000249356,0.016839753,0.12
0.004429624,0.000719438,0.000245577,0.017493244,0.12
0.003773322,0.000750726,8.55e-05,0.013218931,0.12
0.001659846,0.001149427,0.00025465,0.014721246,0.12
0.003149036,0.001260936,0.000234562,0.015138536,0.12
0.002544075,0.000833507,0.000262605,0.014403126,0.12
0.002807769,0.001670052,0.000412178,0.014669567,0.12
0.003269032,0.000670897,0.000328484,0.012303388,0.12
0.003191692,0.000639456,0.000255764,0.010585873,0.12
0.003267875,0.000743318,0.000441331,0.012565098,0.12
0.002398873,0.001436961,0.000412178,0.014472465,0.12
0.002233804,0.000743465,0.000355074,0.01443771,0.12
0.002035602,0.000530246,0.000369101,0.011122023,0.12
0.002432291,0.000757055,0.000367897,0.013334011,0.12
0.001616616,0.001124101,0.000195001,0.015684536,0.12
0.002558149,0.001251148,0.000259323,0.010861509,0.12
0.002063567,0.000669752,0.000127402,0.018010735,0.12
0.003211873,0.00043938,0.000169957,0.014592217,0.12
0.005834282,0.000662178,9.33e-05,0.014400103,0.12
0.004429818,0.000184692,9.82e-05,0.011507167,0.12
0.005012172,0.000127441,8.89e-05,0.01010933,0.12
0.003730663,0.001262508,0.000312999,0.014739771,0.12
0.001208864,0.000849805,0.000168777,0.014156721,0.12
0.001257758,0.002129617,0.000263052,0.014246343,0.12
0.000784579,0.002810901,0.00020946,0.015324164,0.12
0.001801058,0.001058916,0.000359239,0.014855217,0.12
0.002498443,0.001063443,0.000298056,0.015468249,0.12
0.00135944,0.000522719,9.6e-05,0.000559388,0.24
0.001375755,0.014046819,0.002889865,0.196600754,0.24
0.00275391,0.01291285,0.00301615,0.195869532,0.24
0.002977555,0.009833848,0.003006907,0.228957461,0.24
0.00398391,0.005572211,0.001413983,0.093169031,0.24
0.002171933,0.004303533,0.001506415,0.168791692,0.24
0.006116515,0.009831062,0.00169167,0.162249417,0.24
0.004054947,0.008061495,0.001136157,0.152277055,0.24
0.00385411,0.006828861,0.001006068,0.117204382,0.24
0.003085848,0.006414795,0.002160969,0.169712244,0.24
0.003380503,0.003430692,0.001548658,0.128864165,0.24
0.003042022,0.004356997,0.001607101,0.156791094,0.24
0.00308743,0.010451604,0.001330844,0.141314508,0.24
0.001136701,0.004205587,0.000805311,0.084409397,0.24
0.003351932,0.009503095,0.000973957,0.111801729,0.24
0.001848731,0.005963409,0.000989416,0.120947967,0.24
0.003762284,0.008282552,0.000706727,0.095799601,0.24
0.003299022,0.01310339,0.000994118,0.131975316,0.24
0.003631442,0.005921829,0.001282827,0.140764596,0.24
0.003631442,0.005921829,0.001282827,0.140764596,0.24
0.002972501,0.006417069,0.000970865,0.112043749,0.24
0.002641848,0.008433117,0.001002839,0.149563431,0.24
0.007056897,0.003029751,0.001009585,0.092073127,0.24
0.002333049,0.012947825,0.001846634,0.167593697,0.24
0.002157891,0.007610861,0.000888845,0.076264804,0.24
0.001844693,0.003661029,0.000213815,0.02667523,0.24
0.001844693,0.003661029,0.000213815,0.02667523,0.24
0.002229733,0.008002512,0.000827278,0.142785305,0.24
0.002235651,0.008599639,0.000973462,0.126977768,0.24
0.001823175,0.006249543,0.001015468,0.138639372,0.24
0.00233639,0.009178805,0.001149914,0.118621364,0.24
0.001538339,0.005454953,0.001028491,0.176816513,0.24
0.002981608,0.006844798,0.000893684,0.127357061,0.24
0.003372099,0.010338462,0.001040449,0.141361873,0.24
0.003361643,0.011451936,0.001013731,0.144411659,0.24
0.001537476,0.011691785,0.000695052,0.114278681,0.24
0.001332236,0.00927493,0.000664582,0.104108028,0.24
0.002324448,0.026583878,0.00955363,0.532319481,0.38
0.002605182,0.074089666,0.021514448,1.09559013,0.38
0.001408617,0.01067862,0.001300395,0.23481922,0.38
0.001056875,0.036665889,0.006728852,0.578295048,0.38
0.00556079,0.029447855,0.003888262,0.402650388,0.38
0.00556079,0.029447855,0.003888262,0.402650388,0.38
