R1,R2,R3,R4,Load
0.002973932,0.002286522,0.200302629,0.009070054,0.18
0.000996913,0.002496293,0.171869487,0.007999533,0.16
0.001289695,0.004096113,0.128195674,0.004851794,0.16
0.001177615,0.002271102,0.145375591,0.010754634,0.16
0.001927021,0.001987478,0.121574283,0.005275997,0.16
0.00354124,0.003366608,0.187106327,0.013116493,0.16
0.004001384,0.002532995,0.236588588,0.011244177,0.16
0.002854536,0.001699962,0.147640121,0.007964183,0.16
0.002598326,0.001606403,0.145247122,0.006038888,0.16
0.002573856,0.001505438,0.187170369,0.00667672,0.16
0.004024298,0.001287285,0.132052231,0.009776906,0.16
0.004762336,0.004003979,0.171225159,0.01007851,0.16
0.00040771,0.00296963,0.129689499,0.005326472,0.16
0.001761878,0.001817937,0.058209255,0.001708813,0.16
0.001729246,0.00070531,0.135196183,0.005546304,0.16
0.002600304,0.004948528,0.173857808,0.005963056,0.16
0.002688158,0.003062739,0.164296435,0.008165157,0.18
0.001623171,0.001203814,0.166401834,0.007807277,0.18
0.002476807,0.002835084,0.142802543,0.009187491,0.18
0.001053748,0.001773929,0.118712727,0.00592402,0.16
0.001637322,0.002666945,0.142832391,0.008338567,0.16
0.002332958,0.001601288,0.149871209,0.010223452,0.16
0.002737002,0.000606079,0.141714139,0.010223795,0.18
0.002150149,0.000884323,0.13199048,0.007912263,0.16
0.002374001,0.00201578,0.117295003,0.006682713,0.16
0.003084512,0.001412454,0.046296827,0.00273136,0.16
0.003673002,0.002252957,0.13972409,0.008357297,0.16
0.001761729,0.006962518,0.146837751,0.007130384,0.16
0.004999044,0.001927124,0.000563197,0.000133374,0.18
0.003078525,0.009163074,0.580648722,0.050128803,0.28
0.003144828,0.009508473,0.49401114,0.0717237,0.3
0.001879836,0.004693494,0.49916279,0.069824385,0.3
0.001508427,0.008698676,0.344074097,0.046400848,0.28
0.007169959,0.013841977,0.355813204,0.061064541,0.3
0.002976088,0.005522869,0.289141154,0.054517495,0.28
0.003426717,0.007264158,0.33215799,0.055224717,0.28
0.005545142,0.010515174,0.347240374,0.05524052,0.28
0.003570509,0.005815576,0.316467854,0.056331342,0.3
0.002733469,0.010985329,0.285601795,0.056538462,0.28
0.003818344,0.008301774,0.270123482,0.060869127,0.28
0.001066864,0.014413873,0.332463492,0.054119957,0.28
0.001040329,0.019612375,0.275184584,0.041196025,0.3
0.001734261,0.007576315,0.292559629,0.057749117,0.3
0.00259049,0.0144683,0.266167195,0.048668243,0.3
0.002245977,0.006639338,0.147718518,0.022607528,0.28
0.003862932,0.017489548,0.248502134,0.060087196,0.28
0.002579428,0.009026406,0.254177275,0.049017196,0.28
0.006700011,0.008998155,0.252295264,0.05951851,0.28
0.003742489,0.00064527,0.00161048,0.000305525,0.28
0.003819299,0.004587106,0.12102338,0.019376899,0.4
0.003498882,0.046044905,0.233007765,0.15598974,0.4
0.003250716,0.053367469,0.229862875,0.196978392,0.4
0.005292705,0.019960845,0.201612647,0.105576648,0.4
0.001843391,0.023996954,0.154292438,0.092149595,0.4
0.003098703,0.03290503,0.170939368,0.121228359,0.4
0.004677119,0.029715002,0.1766569,0.15089718,0.4
0.004161646,0.020672651,0.166064188,0.079934146,0.38
0.006702156,0.032773481,0.135359627,0.077670758,0.4
0.00582181,0.017894884,0.165981234,0.070635014,0.4
0.00717536,0.01609144,0.205403077,0.101224342,0.4
0.001682208,0.035455371,0.130547805,0.203412827,0.4
0.007844029,0.046931661,0.067037045,0.137973673,0.4
0.002784276,0.024325796,0.052200829,0.142520929,0.4
0.0058543,0.031896547,0.078094883,0.146238653,0.42
0.007208006,0.042339969,0.099866361,0.177244637,0.4
0.00066919,0.009172756,0.192078094,0.081066585,0.4
0.00228797,0.032917664,0.096865147,0.106973787,0.4
0.002776536,0.00223605,0.110470597,0.013812099,0.4
0.003797792,0.002597751,0.011676709,0.004453956,0.4
0.006667018,0.027746514,0.15184501,0.084390668,0.52
0.004648312,0.043146722,0.110795485,0.220071651,0.54
0.002019801,0.028194938,0.115246234,0.108184989,0.52
0.002203325,0.020099788,0.090773495,0.095147,0.5
0.006628695,0.022104038,0.096776712,0.052259481,0.54
0.003691704,0.012968149,0.03772846,0.016586564,0.52
0.005620879,0.02569552,0.092225712,0.126797316,0.52
0.004181733,0.025774309,0.110605204,0.123763065,0.52
0.008540159,0.020604301,0.088689144,0.070230241,0.54
0.006298635,0.047727195,0.036012501,0.242651483,0.54
0.001163706,0.011086459,0.050249471,0.065616954,0.54
0.00879351,0.011645934,0.054637878,0.064358496,0.52
0.006752514,0.037736259,0.083266891,0.251313467,0.52
0.00809267,0.017888081,0.092472225,0.120060749,0.54
0.00120419,0.022611119,0.136236005,0.140936589,0.52
0.009954493,0.039877617,0.152329022,0.156489601,0.52
0.001540909,0.006394059,0.132665154,0.035966249,0.5
0.003542977,0.009184966,0.075302679,0.040164577,0.54
0.004496817,0.021513974,0.09837073,0.110502535,0.52
0.003599932,0.017575962,0.054419875,0.082433949,0.52
0.005390979,0.078681284,0.358184737,0.445294275,0.64
0.008004915,0.046621104,0.144688093,0.219958875,0.64
0.006778681,0.028259678,0.114786188,0.101432045,0.66
0.006769171,0.069721521,0.238838038,0.362203123,0.64
0.005237579,0.039504924,0.164946764,0.251098469,0.64
0.004772153,0.015513288,0.106370823,0.090590465,0.64
0.00382705,0.04848918,0.104692128,0.262363437,0.64
0.007684905,0.025047736,0.102471104,0.080855459,0.64
0.002719766,0.036665748,0.097187002,0.11475499,0.64
0.012126492,0.05813039,0.120792162,0.395761173,0.64
0.007268462,0.030184566,0.059321421,0.145366646,0.68
0.003863503,0.030047122,0.087952666,0.140619644,0.62
0.005418247,0.03537596,0.109541326,0.164447414,0.66
0.006673997,0.031468573,0.0513476,0.186320827,0.64
0.005726369,0.040343082,0.129818055,0.212018226,0.64
0.005136701,0.04609902,0.142653093,0.217363054,0.64
0.007384249,0.027855633,0.088747053,0.103691592,0.64
0.003304587,0.032364003,0.185426234,0.175224748,0.64
0.011263932,0.042659579,0.153884586,0.231252582,0.66
0.004465666,0.022970444,0.072170362,0.125462924,0.66
0.004466083,0.052706946,0.154122099,0.35094337,0.8
