R1,R2,R3,R4,Load
0.002560886,0.027929647,0.000519039,0.735036358,0.28
0.001814105,0.015466118,0.000283707,0.65079641,0.28
0.000690711,0.021046886,0.000227065,0.539329609,0.28
0.000781095,0.023780172,0.000237981,0.556563578,0.28
0.000954027,0.02824748,0.000333474,0.579917389,0.28
0.00318398,0.029350876,0.000411413,0.638030064,0.28
0.002139854,0.007210499,0.000424486,0.318217617,0.28
0.002199477,0.023043032,0.000241467,0.532374661,0.28
0.001364071,0.025240039,0.000466854,0.483704027,0.28
0.001198759,0.031168689,0.000488372,0.589988782,0.28
0.000816369,0.013767308,0.00021555,0.451472932,0.28
0.000447086,0.014289044,0.00018388,0.501674599,0.28
0.000562527,0.017063469,0.000270828,0.608313831,0.28
0.000562527,0.017063469,0.000270828,0.608313831,0.28
0.001084616,0.01432999,0.000338565,0.555958128,0.28
0.002927725,0.01656926,0.000475793,0.454899345,0.28
0.003439076,0.015842963,0.00038147,0.449142404,0.28
0.003430542,0.020305968,0.000303161,0.560352314,0.28
0.003430542,0.020305968,0.000303161,0.560352314,0.28
0.001985651,0.004619644,0.000451807,0.273906285,0.28
0.002195162,0.014172731,0.000505529,0.54436334,0.28
0.003330743,0.0220222,0.00032632,0.554271714,0.28
0.003710779,0.0239789,0.000428473,0.543150616,0.28
0.002662234,0.022502245,0.000522754,0.556159292,0.28
0.002785833,0.024537928,0.000517418,0.587316827,0.28
0.00279117,0.018923905,0.000336994,0.455161451,0.28
0.001581597,0.01553871,0.000319401,0.436676502,0.28
0.003486488,0.009105952,0.000388437,0.431723175,0.28
0.001743746,0.012165892,0.000198197,0.3582344,0.28
0.001253974,0.018814161,0.000169544,0.53027414,0.28
0.002679613,0.007014532,0.000242255,0.221421207,0.28
0.001970221,0.021047666,0.0002398,0.569409514,0.28
0.002132189,0.017183177,0.000333513,0.505928564,0.28
0.002582606,0.018488695,0.000187074,0.576811686,0.28
0.003305346,0.016185558,0.000168123,0.431285374,0.28
0.003490717,0.018049366,0.000167658,0.476655841,0.28
0.003005533,0.018043669,0.000460359,0.512856808,0.28
0.002000492,0.018193823,0.000553059,0.458104385,0.28
0.000883033,0.017240912,0.000444431,0.548186737,0.28
0.00343407,0.014595392,0.000215856,0.460732692,0.28
0.002067804,0.018360312,0.000264964,0.53898192,0.28
0.002027718,0.019797268,0.000242802,0.529273975,0.28
0.003763425,0.008190286,0.000434108,0.205166891,0.28
0.003715541,0.009648931,0.000501539,0.254461515,0.28
0.002983597,0.010684998,0.000248093,0.345230625,0.28
0.00242855,0.017505376,0.000231362,0.391165597,0.28
0.003011111,0.022348397,0.000241356,0.474150768,0.28
0.00281843,0.0221366,0.000203576,0.482611201,0.28
0.003406095,0.001645091,0.000189917,0.000607912,0.28
0.004328012,0.063879269,0.000297879,1.578014122,0.44
0.004096094,0.032873522,0.000194221,0.564593568,0.44
0.001825068,0.012514433,0.000259908,0.271122747,0.44
0.005261992,0.03587784,0.000449263,0.539608334,0.42
0.002491982,0.060750503,0.000317462,1.074911918,0.42
0.002243562,0.057145785,0.000775601,1.197892337,0.42
0.000998396,0.014373049,0.000678811,0.251333369,0.42
0.002548225,0.049895573,0.000140968,0.900275481,0.42
0.003417769,0.063245438,0.000655288,0.936454381,0.42
0.00279506,0.055554251,0.00016205,0.96000919,0.42
0.001811702,0.036474602,0.000514258,0.801528976,0.42
0.005837555,0.029871828,0.000417691,0.766685158,0.42
0.002830689,0.03080525,0.000319101,0.672336567,0.42
0.00184825,0.048729293,0.000851694,1.098820321,0.42
0.001064972,0.011773196,0.000534355,0.188796595,0.42
0.002374255,0.010944257,0.000328603,0.173324392,0.42
0.001096145,0.046947645,0.000520823,1.000960257,0.42
0.000394202,0.03022957,0.00051136,0.821086585,0.42
0.002536427,0.033188992,0.000976355,0.671307222,0.42
0.003225749,0.03894028,0.000585851,0.837562652,0.42
0.002272162,0.021394669,0.0005225,0.418739827,0.42
0.002027198,0.063692416,0.000660738,1.350302571,0.42
0.001697064,0.016399102,0.000574438,0.314971445,0.42
0.002854645,0.043863014,0.000313043,0.789737068,0.42
0.006817828,0.036396623,0.000646969,0.728190767,0.42
0.001212626,0.000817141,0.000257629,0.000431599,0.42
0.001820253,0.16250855,0.006608843,2.669402244,0.58
0.003788047,0.168367394,0.006305199,2.677862111,0.58
0.003363778,0.063471488,0.003029131,0.617207017,0.58
0.00276458,0.201966306,0.004701202,3.079094534,0.58
0.003425061,0.170921018,0.002546502,2.874749452,0.56
0.001904021,0.138468028,0.001493034,2.324013541,0.58
0.005001981,0.133414367,0.003728266,2.245985477,0.56
0.001962821,0.135768188,0.003277181,2.350825759,0.56
0.003532869,0.132471975,0.001943585,2.112468166,0.56
0.001565318,0.137193068,0.003063002,2.479710963,0.56
0.00233974,0.140223058,0.002125243,2.049883132,0.56
0.004999716,0.073734252,0.002243481,1.172098931,0.56
0.003649837,0.107880624,0.001995591,2.104372621,0.56
0.002490236,0.125634025,0.001330337,2.262478881,0.56
0.002852056,0.051523448,0.001282254,0.85576405,0.56
0.002752162,0.151240704,0.002848157,2.331479147,0.56
0.002990404,0.136356406,0.001381079,2.650393427,0.56
0.003384617,0.11655906,0.001374158,2.115312276,0.56
0.002788247,0.136392838,0.001577023,2.380241682,0.56
0.002224416,0.045828875,0.001585646,0.755662828,0.56
0.002609183,0.063541116,0.001447087,1.158820731,0.56
0.002620879,0.14958933,0.001457613,2.610004614,0.56
0.002916493,0.096870674,0.001508861,1.733814863,0.56
0.005414877,0.137688212,0.001923285,2.343543185,0.56
0.004708941,0.092894006,0.00274203,1.448744299,0.56
0.003351797,0.000689778,0.000263978,0.001452265,0.56
0.003967557,0.000719462,0.000220132,0.0006698,0.56
0.013096989,0.178516205,0.011442163,3.864119071,0.74
0.004590165,0.285883265,0.021616278,5.299059697,0.72
0.004133853,0.233645073,0.015234532,4.317672703,0.72
0.003398294,0.167699467,0.005529461,3.144805982,0.72
0.007768873,0.247169724,0.0126743,4.735993262,0.72
0.00974938,0.22341443,0.016275317,4.290714453,0.72
0.003070943,0.246615013,0.012846439,4.210247195,0.72
0.000890525,0.200986983,0.008921521,3.565341802,0.72
0.004312244,0.222577889,0.013721948,3.844560109,0.72
0.004724001,0.180288499,0.006302629,3.959430006,0.72
0.007580519,0.227905076,0.012079498,4.839284984,0.72
0.00962814,0.182068633,0.012432535,3.717515231,0.72
0.006683945,0.221618382,0.014994881,4.301056483,0.72
0.003991428,0.20707547,0.015166339,4.13364168,0.72
0.003212977,0.200181168,0.007763372,3.735983694,0.72
0.002860325,0.186298803,0.011060072,3.419644124,0.72
0.005162933,0.220539665,0.008507557,3.554556812,0.72
0.007165986,0.233131221,0.014782997,3.696346698,0.72
0.003426427,0.180528505,0.011781555,3.885899835,0.72
0.003638835,0.205037035,0.014660007,4.236345397,0.72
0.003966137,0.225144845,0.011393338,4.250352528,0.72
0.003437153,0.200350009,0.006018072,3.714749911,0.72
0.002292589,0.122028282,0.003261007,2.597584868,0.72
0.006108787,0.199032715,0.008301175,3.690774268,0.72
0.003894257,0.1139464,0.003321781,2.430630355,0.72
0.002471484,0.169953596,0.005570592,3.163893895,0.72
0.003601915,0.135521979,0.010186692,2.715697248,0.72
0.001281355,0.182666469,0.008602959,3.737481084,0.72
0.003357849,0.000666418,0.000275489,0.002402684,0.72
0.01338934,0.264340852,0.046073497,5.931728936,0.88
0.009328022,0.251787393,0.035446545,5.594796478,0.88
0.007648498,0.274913,0.032879393,5.908932674,0.86
0.006962193,0.190373521,0.019462982,4.590975983,0.86
0.00136719,0.176041727,0.014102383,3.911222253,0.88
0.011650501,0.217250468,0.026472577,5.348873724,0.86
0.011638947,0.228302526,0.029998895,5.405964828,0.86
0.003749288,0.08540801,0.004677671,1.749927109,0.86
0.009044674,0.201498863,0.035444054,5.044583665,0.86
0.001509045,0.118208077,0.004687003,2.138792229,0.86
0.006024939,0.201602334,0.027017438,4.643220306,0.86
0.008575971,0.264528752,0.032281369,5.905358931,0.86
