R1,R2,R3,R4,Load
0.002200088,0.001524267,0.00091591,0.024660225,0.26
0.005031346,0.002540276,0.000205613,0.032008268,0.24
0.003613077,0.000586591,0.000460506,0.024059472,0.26
0.006182734,0.000873263,0.000149979,0.029082405,0.26
0.00468975,0.000900589,2.95e-05,0.022119023,0.24
0.00526682,0.00034372,0.000212377,0.030246058,0.24
0.005480595,0.000692592,0.000310811,0.036562329,0.24
0.005767827,0.000663441,0.000350175,0.028609389,0.24
0.005901067,0.000536698,0.000205991,0.015031776,0.26
0.005367963,0.000726077,0.000195451,0.047960207,0.26
0.002605284,0.000731102,0.000116797,0.042567716,0.24
0.002515826,0.000912347,0.000156118,0.022778614,0.24
0.003115193,0.00069401,0.000325592,0.034678539,0.26
0.007291043,0.000729608,0.000336857,0.046389692,0.26
0.004521768,0.000564041,0.000371075,0.045642813,0.26
0.002587166,0.000619988,0.000167856,0.041734438,0.26
0.003962804,0.002537325,0.00029294,0.034681243,0.26
0.001006869,0.000862024,0.000192802,0.028753749,0.26
0.003039406,0.001175161,0.000263828,0.033566066,0.26
0.005977595,0.000872492,9.02e-05,0.013225183,0.26
0.005288591,0.001064487,0.000180007,0.015481676,0.24
0.004428303,0.00105235,0.000178272,0.040138857,0.24
0.003440879,0.000839333,0.000160579,0.046980584,0.24
0.006280878,0.001155368,0.000510318,0.036567032,0.26
0.031783719,0.004022177,0.001372014,0.096245176,0.42
0.011340059,0.001374182,0.000796557,0.088483576,0.42
0.025551597,0.000194878,0.000462841,0.124339216,0.42
0.019458501,0.000936619,0.000517219,0.113325869,0.42
0.017011829,0.003113447,0.000470899,0.095234258,0.42
0.017999999,0.001498212,0.000840056,0.140249574,0.42
0.016667882,0.000991424,0.00102295,0.123999318,0.42
0.027553903,0.000923025,0.000623944,0.135702804,0.44
0.017887365,0.00146406,0.000665878,0.142509176,0.42
0.005121305,0.001610595,0.000162543,0.025537564,0.42
0.014122754,0.001184818,0.000365986,0.114303662,0.42
0.019705594,0.000794394,0.000502095,0.134068619,0.44
0.016509968,0.001559635,0.000891691,0.143376139,0.44
0.025777832,0.000893608,0.001145736,0.129620104,0.44
0.016536351,0.000570092,0.000417361,0.104521009,0.42
0.021741649,0.001854467,0.000571558,0.150165635,0.44
0.018391374,0.000730373,0.000819287,0.137548476,0.42
0.014718171,0.000731799,0.00081183,0.122734165,0.42
0.018956852,0.001282813,0.000701372,0.074151366,0.44
0.013827348,0.00031668,0.000391588,0.069295933,0.44
0.01899217,0.003108339,0.001134345,0.153724373,0.44
0.015084742,0.000477116,0.000435641,0.093928439,0.44
0.126639527,0.002582453,0.001329662,0.103726042,0.66
0.215027943,0.001108816,0.001782739,0.36430468,0.7
0.222421003,0.000501995,0.002236314,0.397597494,0.66
0.200547191,0.001034362,0.001961305,0.375733286,0.7
0.22862818,0.002149589,0.001248625,0.408314302,0.68
0.174563349,0.001291099,0.001471825,0.398599553,0.7
0.148712007,0.002188854,0.002352102,0.436804902,0.72
0.186136442,0.000936804,0.001925069,0.362623668,0.68
0.156545446,0.00310426,0.001000636,0.499166129,0.7
0.084452123,0.003389548,0.001307567,0.335693947,0.72
0.14308717,0.001363385,0.00148194,0.404545096,0.7
0.177662316,0.000370992,0.001673611,0.543752222,0.72
0.138443609,0.000671273,0.002024682,0.529692224,0.68
0.056503245,0.001116285,0.00149594,0.295747053,0.72
0.15027812,0.003248754,0.002651166,0.542119984,0.74
0.149837034,0.000676583,0.001739545,0.473604738,0.68
0.143741502,0.001538621,0.001830036,0.519301207,0.74
0.128702504,0.002057491,0.001833499,0.50011931,0.74
0.142783874,0.001427519,0.001256696,0.419258246,0.72
0.182170438,0.00210475,0.002127785,0.526116778,0.68
0.05507943,0.001948193,0.00265932,0.173975722,0.64
0.06388228,0.002134627,0.000624351,0.310081035,0.64
0.05724446,0.001260581,0.00144088,0.260906755,0.64
0.079831079,0.000829216,0.001227211,0.325497564,0.62
0.067966602,0.002214371,0.001086184,0.284265534,0.64
0.056563385,0.001467246,0.000849701,0.283877234,0.62
0.081771691,0.001819495,0.000792125,0.395771142,0.62
0.073775277,0.001482366,0.000965407,0.279153792,0.64
0.068764961,0.001468405,0.000922565,0.302194913,0.64
0.063594596,0.000576425,0.001398901,0.39877612,0.66
0.083475129,0.000831137,0.001189508,0.351416504,0.66
0.071438769,0.000467394,0.001200525,0.359541474,0.66
0.05303108,0.001834803,0.001794706,0.375226551,0.64
0.061792893,0.001363001,0.001162471,0.299057723,0.66
0.059475392,0.001779216,0.000875642,0.362098315,0.66
0.04482549,0.002079181,0.000779067,0.304816774,0.62
0.059424475,0.000844954,0.001049054,0.287109624,0.64
0.053156748,0.002356885,0.001185019,0.38396965,0.64
0.064198263,0.001350755,0.000765728,0.33104955,0.64
0.055282357,0.001995497,0.000890514,0.331573464,0.64
