R1,R2,R3,R4,Load
0.010710319,0.001354889,0.000356593,0.007386734,0.22
0.001639547,0.001991973,0.000198907,0.002668245,0.22
0.001595522,0.001030179,0.000253095,0.002017346,0.22
0.006230713,0.004155347,0.000197004,0.001905723,0.22
0.004732197,0.004351019,0.000203616,0.002355445,0.22
0.004737037,0.004383398,0.00013252,0.002245678,0.22
0.003709037,0.001365701,0.000208103,0.001647533,0.22
0.003709037,0.001365701,0.000208103,0.001647533,0.22
0.007831265,0.000651725,0.000206088,0.001368098,0.22
0.003880169,0.001438331,0.000159384,0.000994811,0.22
0.003266354,0.00143713,9.64e-05,0.001616395,0.22
0.002319536,0.002060023,0.000161272,0.001043906,0.22
0.002362678,0.001592405,0.000128059,0.001047057,0.22
0.004542698,0.001619463,0.000147338,0.001113179,0.22
0.002994363,0.002040538,0.000396802,0.001847413,0.22
0.005083873,0.001283921,0.000357512,0.001962676,0.22
0.005119145,0.001800601,0.000350656,0.001637265,0.22
0.00279106,0.00072389,0.000135001,0.000918118,0.22
0.003296694,0.001643403,0.000233703,0.001227399,0.22
0.003326683,0.001812032,0.000238953,0.001046273,0.22
0.003826818,0.000732949,0.000356734,0.001083823,0.22
0.006416759,0.001891973,0.000383744,0.001493499,0.22
0.004053019,0.000652784,0.000151392,0.001326492,0.22
0.006020864,0.000721006,8.62e-05,0.001355081,0.22
0.005422182,0.000691011,7.45e-05,0.001538296,0.22
0.005002606,0.000937955,8.14e-05,0.001675219,0.22
0.00425133,0.001733392,0.000288528,0.001997533,0.22
0.005753822,0.001597966,0.000284525,0.001381732,0.22
0.001695502,0.000535467,0.000148073,0.000698752,0.22
0.002069955,0.001805769,8.26e-05,0.001257882,0.22
0.002359868,0.001323449,8e-05,0.000869086,0.22
0.002287145,0.001093596,9.2e-05,0.000761219,0.22
0.002943004,0.001589213,4.56e-05,0.000458997,0.22
0.002943004,0.001589213,4.56e-05,0.000458997,0.22
0.003276651,0.001105256,0.000131151,0.000889799,0.22
0.003276651,0.001105256,0.000131151,0.000889799,0.22
0.003749716,0.001117494,9.19e-05,0.000879288,0.22
0.000408268,0.002257118,0.000178065,0.000335766,0.22
0.00036863,0.002559315,0.000167655,0.000464662,0.22
0.002597339,0.002347778,0.000260883,0.001194845,0.22
0.002413355,0.002035239,0.0002965,0.00145063,0.22
0.025414918,0.011950358,0.000873483,0.02844229,0.36
0.006026497,0.002818878,0.000231752,0.002773132,0.38
0.00268911,0.007273511,0.000553484,0.007874312,0.36
0.007402526,0.005010774,0.000411781,0.00440849,0.36
0.009999683,0.007635332,0.000386076,0.005624917,0.36
0.006946803,0.004431669,0.000170251,0.007015609,0.36
0.004720846,0.004815482,0.000270469,0.00350273,0.36
0.004977701,0.006364894,0.00022615,0.005912565,0.36
0.004596139,0.005517423,0.000323003,0.003520833,0.36
0.003789243,0.006133982,9.57e-05,0.004278103,0.36
0.007552378,0.00914347,0.000142468,0.00429873,0.36
0.006200532,0.008593731,0.000229002,0.004612832,0.36
0.002316525,0.008797564,0.000227172,0.004787448,0.36
0.002488989,0.008707601,0.000230015,0.005029011,0.36
0.004837653,0.010941324,0.000201659,0.005449939,0.36
0.009199256,0.004844498,0.000411871,0.002930107,0.36
0.009289787,0.005446363,0.000309253,0.004130374,0.36
0.009080278,0.005827769,0.000316563,0.004479578,0.36
0.004102356,0.006727399,0.000240604,0.003430412,0.36
0.006011324,0.005198027,0.000235977,0.003855185,0.36
0.005800653,0.003474161,0.000314125,0.00363434,0.36
0.008094527,0.006178802,0.000206676,0.003543632,0.36
0.004464469,0.009409389,0.000121767,0.003127919,0.36
0.005524337,0.010955622,0.000132179,0.00342238,0.36
0.004615252,0.011892101,8.53e-05,0.003611137,0.36
0.001353354,0.002114658,0.000418176,0.00298604,0.36
0.004998331,0.002507053,0.00040759,0.003817211,0.36
0.004292057,0.005999953,0.000439209,0.004460133,0.36
0.005810846,0.005825525,0.000286753,0.003344975,0.36
0.007439988,0.004005498,0.000265906,0.001723579,0.36
0.008095837,0.004781911,0.0002412,0.002895996,0.36
0.009913372,0.005753906,0.00024454,0.004143168,0.36
0.002794525,0.002979815,0.00016143,0.003345037,0.36
0.001703939,0.003946669,0.000125831,0.003777732,0.36
0.006547036,0.008008861,2.94e-05,0.002850069,0.36
0.00556233,0.008176926,3.73e-05,0.003249594,0.36
0.006640354,0.00895054,3.17e-05,0.003461234,0.36
0.050135502,0.051351714,0.003132158,0.129493347,0.52
0.020889546,0.027593018,0.000940753,0.045971145,0.52
0.023287849,0.02675469,0.00092217,0.042991226,0.52
0.014893375,0.018877824,0.000748041,0.019718533,0.52
0.018661512,0.030710663,0.000991721,0.033358169,0.52
0.016007236,0.026925203,0.001012556,0.031127982,0.52
0.018572468,0.026320291,0.000525638,0.029186424,0.5
0.017120277,0.025809196,0.000336158,0.018824027,0.52
0.019353293,0.031224344,0.000405911,0.017780867,0.5
0.012018331,0.021596894,0.000175641,0.020075256,0.5
0.021472638,0.0261099,0.000234509,0.019287885,0.5
0.012575624,0.031756879,0.000160624,0.01888401,0.5
0.005854894,0.008761044,0.000305064,0.004571557,0.52
0.015569454,0.026792269,0.000298813,0.014538995,0.5
0.009184683,0.017999004,0.000172959,0.017299433,0.5
0.013428758,0.019314192,0.000213651,0.014551866,0.5
0.015564638,0.022931985,0.000157296,0.013973897,0.5
0.013352876,0.02015423,0.000201083,0.015142594,0.5
0.011118971,0.027389777,0.000134588,0.01591256,0.5
0.011027011,0.017823602,0.000250135,0.015723448,0.5
0.005924324,0.023853675,0.000254493,0.013334732,0.5
0.010795428,0.020047051,0.00012407,0.011853116,0.5
0.012118298,0.017891539,0.000147988,0.013916289,0.5
0.077635169,0.073426569,0.004544992,0.169025607,0.68
0.031297894,0.063558635,0.001783728,0.119310895,0.66
0.046273987,0.069708381,0.001724234,0.080321557,0.66
0.040537112,0.071056056,0.002563628,0.076794957,0.66
0.024180123,0.05637369,0.001238938,0.069890788,0.66
0.031569631,0.057868278,0.001832531,0.080952571,0.66
0.028465479,0.042472314,0.001790506,0.06540214,0.66
0.008698416,0.042715175,0.000773836,0.027071124,0.66
0.02096826,0.071176546,0.001050675,0.060444624,0.66
0.030973903,0.059568051,0.001459973,0.071906628,0.66
0.026645928,0.050018918,0.00061744,0.056313155,0.64
0.018667745,0.042503431,0.000403702,0.045152576,0.66
0.033986459,0.061268154,0.000588037,0.056374816,0.66
0.001270194,0.014692731,0.00013327,0.005087237,0.66
0.019604783,0.068705596,0.000318599,0.05986737,0.66
0.016890403,0.040670693,0.000723162,0.03225042,0.66
0.019813052,0.057930004,0.000932249,0.049129426,0.66
0.00444314,0.012832269,0.000525236,0.010812317,0.66
0.020926235,0.061006885,0.000429783,0.056166022,0.66
0.025569813,0.059532096,0.000564638,0.059376805,0.66
0.005741411,0.025899485,0.000398644,0.021824904,0.66
0.016342431,0.053169225,0.000777451,0.057361339,0.64
0.020260575,0.046425143,0.001031695,0.048577569,0.64
0.007272418,0.030498298,0.000554365,0.02344456,0.66
0.020185705,0.045152258,0.001193079,0.06148928,0.66
0.01135584,0.036087311,0.000539666,0.027372474,0.66
0.01041217,0.028298826,0.000514119,0.023225742,0.66
0.015434435,0.056619091,0.000628224,0.037906112,0.66
0.115926483,0.186957648,0.014867315,0.574739101,0.82
0.074473912,0.125160208,0.00446551,0.310332938,0.82
0.060504221,0.079936567,0.003977717,0.244431315,0.82
0.049834702,0.142859291,0.005172845,0.259010435,0.82
0.039643949,0.081497201,0.004810437,0.130049215,0.8
0.039114906,0.094171674,0.003001587,0.154816794,0.8
0.045073449,0.14241951,0.004904272,0.18680422,0.8
0.047739289,0.125103573,0.003545763,0.132888237,0.8
0.040997642,0.10954659,0.002994234,0.136233094,0.8
0.055513984,0.134426214,0.003642908,0.177671696,0.8
0.034280473,0.155846427,0.004395782,0.174228058,0.8
