R1,R2,R3,R4,Load
0.004236726,0.89070157,0.000833474,0.011004887,0.28
0.002630189,1.581243175,0.003758156,0.218091948,0.28
0.002880271,1.601928379,0.004574011,0.090128904,0.28
0.002638719,2.098928371,0.005120352,0.121522576,0.28
0.002638719,2.098928371,0.005120352,0.121522576,0.28
0.002314082,1.808027206,0.004028609,0.305816423,0.28
0.004593513,1.763774826,0.005604129,0.134098459,0.28
0.00454824,1.921848362,0.006847017,0.087438661,0.28
0.004956102,2.231536847,0.007651733,0.107492206,0.28
0.0018868,1.893139259,0.006574411,0.153910925,0.28
0.002528648,1.911904359,0.006005856,0.064228375,0.28
0.002984393,2.229019304,0.006715785,0.081293321,0.28
0.001414459,1.595384288,0.005086777,0.092181448,0.28
0.001414459,1.595384288,0.005086777,0.092181448,0.28
0.002090633,1.539470625,0.004417058,0.029524378,0.28
0.0030608,2.074880515,0.004663001,0.05165512,0.28
0.00355592,2.014906734,0.006542191,0.142466525,0.28
0.002669735,1.79834596,0.006335086,0.123119963,0.28
0.003032284,1.441148965,0.004768105,0.041284938,0.28
0.002295559,1.819134427,0.005787744,0.092679568,0.28
0.001400435,1.829730846,0.005677582,0.073726996,0.28
0.001306858,1.839920887,0.005335187,0.046168058,0.28
0.001321171,1.882194943,0.005461819,0.050731218,0.28
0.001963259,1.503376027,0.004318134,0.070015757,0.28
0.001991178,1.475082731,0.004279858,0.046910682,0.28
0.002350962,1.581137192,0.004320761,0.043678499,0.28
0.001872084,1.554478665,0.004144118,0.017338842,0.28
0.001872084,1.554478665,0.004144118,0.017338842,0.28
0.001686726,1.827655261,0.004032542,0.026473399,0.28
0.001958043,1.459217384,0.004517092,0.044910885,0.28
0.00137389,1.436691853,0.005268591,0.021837465,0.28
0.00056701,1.496149903,0.005151435,0.022025078,0.28
0.005009313,1.560122089,0.0039144,0.046954526,0.28
0.002346579,1.282159117,0.003580799,0.045045701,0.28
0.001552044,1.237586153,0.003207202,0.023344878,0.28
0.00256226,1.437404596,0.004156518,0.027773831,0.28
0.001497991,1.442922981,0.005840883,0.034570768,0.28
0.001497991,1.442922981,0.005840883,0.034570768,0.28
0.001307628,1.049700673,0.004318045,0.011954685,0.28
0.002179021,1.607516262,0.004816617,0.017388109,0.28
0.003754759,1.587854862,0.00467608,0.029079917,0.28
0.003761624,1.647897395,0.004388666,0.022046774,0.28
0.003761624,1.647897395,0.004388666,0.022046774,0.28
0.004001109,1.867490234,0.005234608,0.021511587,0.28
0.002845122,1.555256425,0.004234405,0.022460144,0.28
0.002492092,1.707058851,0.004359323,0.017981742,0.28
0.003038842,1.552734057,0.006998276,0.031073706,0.28
0.002993781,1.548227771,0.006760038,0.023386411,0.28
0.002991608,1.610016841,0.006854139,0.017442052,0.28
0.00055414,1.609627047,0.007416779,0.025517551,0.28
0.002107379,1.867870307,0.006492645,0.015679757,0.28
0.00315337,1.311077103,0.006260658,0.01972197,0.28
0.003689706,1.372995829,0.005955086,0.010092561,0.28
0.003958694,1.822296597,0.007411886,0.016251778,0.28
0.001145454,1.512585864,0.005959232,0.025448835,0.28
