R1,R2,R3,R4,Load
0.001617098,0.000853968,0.000153718,0.00113336,0.28
0.002756719,0.020634506,0.000622523,0.381186708,0.28
0.00197961,0.021247136,0.000568742,0.404648142,0.28
0.001071383,0.028217706,0.00051844,0.233152777,0.26
0.000792454,0.02415537,0.000617274,0.24285089,0.26
0.001276161,0.020495941,0.000853567,0.226684119,0.26
0.001870974,0.015574669,0.000584667,0.156074857,0.26
0.001794276,0.016764603,0.000308577,0.18145555,0.26
0.00258398,0.013650829,0.000459153,0.17211986,0.26
0.002540669,0.019586262,0.001095502,0.194834313,0.26
0.001430374,0.012867116,0.000902896,0.158903902,0.26
0.003295338,0.022135382,0.000754266,0.152585084,0.26
0.002666042,0.012836843,0.000729065,0.138177569,0.26
0.001363113,0.024184832,0.0006817,0.16184906,0.26
0.001739773,0.01618132,0.000334828,0.125610277,0.26
0.000921501,0.020841929,0.000829386,0.169830348,0.26
0.003169083,0.016334484,0.000890028,0.13873829,0.26
0.002284622,0.016838475,0.000364365,0.125431296,0.26
0.000699286,0.017894906,0.00073097,0.141005276,0.26
0.001826146,0.017654143,0.000620904,0.148647989,0.26
0.00143407,0.012816042,0.00053781,0.129329779,0.26
0.001222591,0.014859757,0.000401805,0.113846292,0.26
0.001814966,0.002203374,0.000309204,0.000302622,0.44
0.003648459,0.10226821,0.003429349,0.780133514,0.42
0.000729282,0.046086888,0.000548994,0.384662054,0.42
0.000551713,0.082574493,0.000821344,0.563643853,0.42
0.002355338,0.069751023,0.000363281,0.616372711,0.42
0.001185186,0.079682101,0.000730166,0.6853637,0.42
0.003328732,0.085680518,0.000740942,0.74455647,0.42
0.003316877,0.077481272,0.001108683,0.714333255,0.42
0.001644651,0.073777253,0.000480251,0.609031561,0.42
0.001730519,0.075866132,0.000909282,0.569722649,0.42
0.00226041,0.051965367,0.000554697,0.440545519,0.42
0.001970216,0.086157712,0.000670685,0.635978119,0.42
0.001948857,0.060343134,0.000631266,0.404686945,0.42
0.00217192,0.053978833,0.00067456,0.402579354,0.42
0.001659691,0.088158908,0.001036671,0.641849769,0.42
0.001853938,0.084499614,0.001076808,0.613585744,0.42
0.00265241,0.089422044,0.001097714,0.726393418,0.42
0.002261437,0.077790866,0.001011089,0.633921783,0.42
0.001504092,0.07393362,0.001185962,0.618099869,0.42
0.00155954,0.073655968,0.001004577,0.603604221,0.42
0.001975887,0.103433179,0.001187293,0.711948728,0.42
0.001890173,0.091240951,0.001067143,0.634259366,0.42
0.001890173,0.091240951,0.001067143,0.634259366,0.42
0.001879792,0.081259191,0.000966038,0.61019235,0.42
0.002809746,0.07326815,0.001043837,0.588919183,0.42
0.002338902,0.069269468,0.001060613,0.49481865,0.42
