R1,R2,R3,R4,Load
0.004359035,0.01663149,0.001033374,0.497772238,0.18
0.004359035,0.01663149,0.001033374,0.497772238,0.18
0.004059813,0.015085166,0.000919159,0.340577724,0.18
0.008032413,0.01369336,0.001281584,0.499906413,0.18
0.007830028,0.012084297,0.00104862,0.419772814,0.18
0.003775442,0.008123924,0.000581539,0.264113947,0.18
0.004713115,0.006577408,0.000859154,0.442186363,0.18
0.004919973,0.007165687,0.000834042,0.462097444,0.18
0.005195309,0.006134507,0.00103536,0.434198576,0.18
0.003861501,0.005452551,0.000757663,0.359655297,0.18
0.002716136,0.008141734,0.000544431,0.215835911,0.18
0.006448538,0.012738627,0.000622212,0.381040247,0.18
0.006448538,0.012738627,0.000622212,0.381040247,0.18
0.006595899,0.011011974,0.00071497,0.366717283,0.18
0.00538378,0.008957934,0.000712171,0.33623291,0.18
0.00538378,0.008957934,0.000712171,0.33623291,0.18
0.00217007,0.010509052,0.00064286,0.454538693,0.18
0.000991585,0.010433883,0.000516314,0.431459392,0.18
0.002330439,0.005553169,0.001122926,0.390932008,0.18
0.002756039,0.005776764,0.001187983,0.408242596,0.18
0.003085954,0.005964644,0.000943561,0.339322949,0.18
0.002508832,0.006701654,0.000893766,0.307726541,0.18
0.002435974,0.006150332,0.000701463,0.278834287,0.18
0.002151031,0.009257538,0.000433234,0.455968139,0.18
0.002151031,0.009257538,0.000433234,0.455968139,0.18
0.001961096,0.007289763,0.000392441,0.40004326,0.18
0.002319301,0.006653382,0.000455446,0.363797149,0.18
0.00577407,0.009534488,0.000821458,0.385077477,0.18
0.005441901,0.009390713,0.000593348,0.344790938,0.18
0.003589357,0.007443493,0.000359937,0.466012276,0.18
0.003548191,0.006002251,0.000474533,0.400174125,0.18
0.006445361,0.008375416,0.00091511,0.416016593,0.18
0.006976706,0.007946621,0.00099352,0.391887089,0.18
0.004918785,0.007423136,0.00104583,0.334356078,0.18
0.004918785,0.007423136,0.00104583,0.334356078,0.18
0.007699013,0.00593786,0.000721213,0.389205959,0.18
0.00847205,0.005610034,0.000844163,0.364681252,0.18
0.008629891,0.005553784,0.000690757,0.357936953,0.18
0.002627026,0.004237211,0.000275472,0.409773141,0.18
0.00211769,0.003908341,0.000460973,0.351639164,0.18
0.002958782,0.005108025,0.00044768,0.300225509,0.18
0.003097536,0.004406331,0.000344567,0.246588912,0.18
0.002926527,0.005758916,0.000330956,0.264074313,0.18
0.003440353,0.009965798,0.000434953,0.321186953,0.18
0.004728285,0.007528525,0.000294868,0.189029528,0.18
0.002451135,0.006330581,0.000221061,0.330434896,0.18
0.00224355,0.006345937,0.000181719,0.300163229,0.18
0.002215502,0.00730333,0.000163134,0.306420452,0.18
0.004264029,0.009088306,0.000723024,0.340097074,0.18
0.004264029,0.009088306,0.000723024,0.340097074,0.18
0.004064623,0.008839742,0.000724093,0.30885428,0.18
0.005151059,0.006902951,0.000706309,0.272017596,0.18
0.004090908,0.009058485,0.00032164,0.378104002,0.18
0.001753399,0.008766659,0.000252811,0.339812134,0.18
0.00171034,0.007266233,0.000323219,0.304499847,0.18
0.006996981,0.006284409,0.000895384,0.374079577,0.18
