R1,R2,R3,R4,Load
0.007995689,0.007497262,0.000402612,0.164762338,0.24
0.006629938,0.039262667,0.000660048,0.085693909,0.24
0.008556261,0.034974428,0.000772399,0.127495444,0.24
0.010436219,0.030758519,0.000417443,0.095323314,0.24
0.007482986,0.016166706,0.000511511,0.110580509,0.24
0.004293468,0.01126633,0.000263859,0.084110239,0.24
0.005489128,0.022179401,0.000222897,0.07575926,0.24
0.00498051,0.052290815,0.000325701,0.06443564,0.24
0.006536864,0.033186087,0.000211745,0.075035614,0.24
0.007558614,0.019649257,0.000400926,0.069428797,0.24
0.004345267,0.01233059,0.000471315,0.06771615,0.24
0.004152662,0.015618873,0.000455075,0.084223893,0.24
0.006238446,0.016513311,0.000281343,0.075963148,0.24
0.004411398,0.020889768,0.000544177,0.0655619,0.24
0.005638486,0.013361489,0.000338756,0.082858764,0.24
0.00577345,0.012474233,0.000302192,0.08931161,0.24
0.005376244,0.012435086,0.000310397,0.081202212,0.24
0.006827943,0.0059427,0.000184566,0.076898197,0.24
0.004729087,0.0392581,0.000366741,0.075285242,0.24
0.003975551,0.024033931,0.000362484,0.088012704,0.24
0.003046312,0.04024182,0.000416704,0.07349919,0.24
0.009533033,0.024671638,0.000250714,0.066308829,0.24
0.009769934,0.010680604,0.000255022,0.074435514,0.24
0.003587691,0.008451509,0.000229753,0.0669447,0.24
0.003377575,0.008248986,0.000261972,0.065275288,0.24
0.003573179,0.034504839,0.000210882,0.069170125,0.24
0.0050277,0.038708522,0.000307805,0.069688872,0.24
0.004848205,0.022605786,0.000310378,0.070446084,0.24
0.004848205,0.022605786,0.000310378,0.070446084,0.24
0.005790567,0.020809704,0.000322089,0.076327885,0.24
0.05775029,0.019629733,0.000481959,1.491212735,0.38
0.040843628,0.0100462,0.001717111,0.822159039,0.38
0.032979085,0.046190422,0.00243366,0.612928548,0.38
0.023092274,0.036480397,0.002364904,0.422660602,0.38
0.027333674,0.021370539,0.00343347,0.748779683,0.38
0.029290529,0.032740188,0.004471169,0.555264421,0.38
0.03073215,0.068181863,0.002406187,0.581604947,0.38
0.04286784,0.05004583,0.004374646,0.650116687,0.38
0.027248948,0.028689132,0.002985682,0.496614179,0.38
0.041816105,0.05396212,0.003297202,0.570933738,0.38
0.015659457,0.038195229,0.004248015,0.456752155,0.38
0.029261761,0.061072309,0.003419098,0.611824502,0.38
0.029934234,0.027104249,0.003877048,0.615105137,0.38
0.026132486,0.058505327,0.002462157,0.415085117,0.38
0.023277939,0.054816633,0.005201791,0.547516147,0.38
0.012876829,0.07401117,0.00295877,0.358395145,0.38
0.021023792,0.030745227,0.00339816,0.529567441,0.38
0.02788951,0.037197299,0.003332801,0.547708348,0.38
0.029581887,0.023804705,0.002689143,0.397630782,0.38
0.025793564,0.013237279,0.003362797,0.441025129,0.38
0.172569121,0.048597392,0.001330869,3.599529471,0.5
0.094483614,0.016860105,0.01006628,2.04942686,0.5
0.097180335,0.033504194,0.013258641,1.925487585,0.52
0.121634397,0.020056636,0.02365909,2.383468662,0.52
0.100866919,0.017859689,0.023693866,1.946562792,0.5
0.116046937,0.028158843,0.028490826,2.005069397,0.52
0.086652167,0.019270288,0.026256743,1.540591755,0.52
0.08047718,0.029773739,0.030118805,1.63818197,0.52
0.081425193,0.018695255,0.027386085,1.54043885,0.52
0.070145643,0.0331217,0.033820845,1.623241977,0.5
0.069591176,0.042284972,0.030763839,1.307579687,0.52
0.07752664,0.013024354,0.030394236,1.292611329,0.52
0.059768874,0.022768407,0.026829259,1.06860897,0.52
0.080651894,0.016727661,0.031072278,1.466251349,0.52
0.077773547,0.022379682,0.028582823,1.122667205,0.52
0.09014704,0.013989977,0.031750088,1.438912053,0.52
0.054287419,0.016621533,0.022008567,0.975345569,0.52
0.072500134,0.015440979,0.034236065,1.316830886,0.5
0.080738446,0.040253364,0.029892371,1.206961467,0.52
0.067032892,0.015537299,0.034878274,1.200506611,0.52
0.464095957,0.064019073,0.021377415,6.637355333,0.68
0.272894754,0.005969278,0.032227009,4.019653497,0.66
0.288101295,0.01606371,0.038464802,3.934054073,0.66
0.082071485,0.017448015,0.037521304,2.222228791,0.64
0.168919664,0.009219032,0.036078063,2.651980862,0.64
0.200978841,0.011512246,0.05291388,3.018582391,0.66
0.182086892,0.025825965,0.043169296,2.525068196,0.66
0.163259581,0.002969042,0.049864788,2.720114275,0.66
0.193555735,0.01358313,0.052900205,2.817333922,0.66
0.216106335,0.009514837,0.051857163,2.74471641,0.64
0.200734183,0.020084607,0.058696012,2.916924719,0.66
0.189837996,0.030596948,0.059014859,2.62290189,0.66
0.156486135,0.013552135,0.050203036,2.401109741,0.68
0.156884935,0.005357123,0.047509437,2.243369392,0.64
0.137021153,0.02681524,0.042192511,1.867798884,0.66
0.19586982,0.018270646,0.051754341,2.184538986,0.66
0.192114402,0.013851953,0.055138186,2.424345954,0.64
0.148095127,0.008527463,0.044480409,1.792558468,0.64
0.150471628,0.016426683,0.046441677,2.001828604,0.66
0.174881905,0.009898385,0.068017464,2.445035241,0.64
0.144671132,0.011144561,0.058400024,2.215909595,0.64
0.523135432,0.027910645,0.034486318,7.303475467,0.84
0.393195248,0.01473038,0.075364615,6.082335691,0.8
0.338109217,0.009709146,0.080566464,5.190626632,0.82
0.351660625,0.007080935,0.092779787,4.396074085,0.8
0.315209772,0.011056205,0.080280452,4.319275751,0.82
0.367375369,0.004558656,0.101249655,4.649813286,0.82
0.354125034,0.00955352,0.112191503,4.970646827,0.82
0.324477302,0.009370382,0.093748326,3.968842851,0.82
0.30682272,0.005920349,0.108796411,4.213119931,0.82
0.329185269,0.006502788,0.107367947,4.67062041,0.82
0.294461603,0.006391093,0.093136672,4.070259173,0.82
0.305667882,0.004295756,0.09396153,3.913832636,0.8
0.30489924,0.006234552,0.09692175,4.14389428,0.84
0.267186086,0.00823069,0.10702331,3.956682026,0.8
0.239617989,0.020061034,0.094746484,3.58646809,0.82
0.30054379,0.009925138,0.104677038,4.062928977,0.8
0.275890018,0.005641652,0.102241598,3.334228957,0.8
0.287397951,0.009292542,0.108179128,3.848478276,0.82
0.283504567,0.0103483,0.100402717,4.006643296,0.82
0.25888702,0.009661919,0.093610655,3.886794388,0.8
1.170823132,0.594735628,0.076637358,10.34936728,1.12
0.833679322,0.473893315,0.067804136,5.600305628,1.12
0.804806989,0.306949473,0.234100169,6.355664895,1.16
0.621761501,0.204309208,0.254426144,4.855206408,1.14
0.330195642,0.062204291,0.119908839,3.883600239,1.16
0.552141948,0.125012929,0.260194908,4.168711428,1.16
0.654572695,0.13001856,0.327981365,5.201247451,1.16
0.572766915,0.173928133,0.357426521,4.536513859,1.14
0.66948927,0.184557262,0.335386971,4.490985051,1.16
0.692670676,0.185745546,0.366552161,4.793692569,1.14
0.618322389,0.177640909,0.326307254,4.745458497,1.14
0.563870924,0.126763181,0.326906368,3.154863805,1.16
0.588262222,0.158572655,0.30188825,4.277683629,1.14
0.514417769,0.172838452,0.237130339,3.533039379,1.14
0.47150233,0.153868827,0.277215591,2.265926393,1.14
0.563611738,0.250250252,0.312820659,3.277957085,1.16
0.550167719,0.233138255,0.306941802,3.531827397,1.16
0.501621088,0.141590134,0.31079728,2.878531342,1.14
0.445854573,0.122364546,0.298376608,3.20178378,1.14
0.486392646,0.147933954,0.253009646,3.117874669,1.14
0.337595003,0.088441422,0.115014339,2.490455767,1.16
0.963206094,1.002505198,0.438390696,6.953158719,1.52
0.915670213,0.974228016,0.994543276,5.108458243,1.52
0.801590543,0.704531045,1.193413543,2.5208771,1.48
0.71376521,0.877633832,1.398236172,2.183905516,1.48
0.788440233,0.834974775,1.444822029,3.148520668,1.5
0.648895764,0.883579253,1.561602176,1.717723937,1.5
0.680020056,0.712278118,1.323789074,2.441148471,1.5
0.465586021,0.551336742,1.193378837,1.542835165,1.5
0.626494607,0.643726754,1.439827367,2.053809592,1.5
0.65667531,0.420878071,1.425286008,2.088501306,1.5
0.518468086,0.602592192,1.254871188,1.206674166,1.52
0.67871672,0.830026818,1.509634494,2.766678311,1.48
0.737596595,0.770022804,1.727349935,2.421543999,1.5
0.572414626,0.533432408,1.606911072,1.176311157,1.52
0.654229109,0.742971382,1.570487612,2.602447103,1.48
0.588946281,0.518625153,1.415675419,1.569471803,1.52
0.719658149,0.737230238,1.446498984,3.225031435,1.52
0.568150464,0.536894106,1.294513036,2.01323439,1.52
0.551006845,0.528723031,1.384061898,2.115664219,1.52
0.518288617,0.487153231,1.3500586,1.439913462,1.5
1.315474524,1.700394722,2.572423192,2.972080115,1.9
0.674557991,2.273574905,3.138819552,0.534313184,1.9
0.516751916,2.575423458,3.65082528,0.10333187,1.86
0.640194098,2.863614207,3.70167465,0.517069579,1.86
0.347322641,1.854870979,3.02135009,0.185046538,1.88
0.351430398,2.064342942,3.064779808,0.308847133,1.88
0.50559801,2.392205817,3.955183421,0.628724962,1.9
0.452721864,2.410845363,3.788213104,0.435683834,1.86
0.562023918,1.915482568,3.934064274,0.853278804,1.9
0.47805125,2.431522933,3.543349589,0.732487968,1.9
0.501006119,1.887888325,3.000723153,0.844640782,1.9
0.320739074,2.204386726,3.348231944,0.65090188,1.9
0.523430117,1.48726906,3.760477035,0.828837372,1.9
0.419702339,2.328411655,3.650247546,0.683247366,1.9
0.465529489,2.446008171,3.914828019,0.762774784,1.9
0.398457394,1.567194738,3.549381632,0.450655145,1.88
0.301789071,2.402061395,3.112837544,0.450425535,1.9
0.287181348,1.139002782,3.410023729,0.481904742,1.88
0.379161691,2.116033062,3.806560523,0.620040234,1.9
0.504656059,3.591367588,3.417093857,1.026185679,1.9
0.640977383,7.016335511,5.84319791,1.555198472,2.26
0.284238934,6.334640177,6.420876954,3.858176232,2.22
0.32852757,5.268627877,7.548639382,4.567757069,2.28
0.385233664,4.945884103,8.053730259,5.657738859,2.26
0.203412389,3.82557148,7.257781398,6.60252956,2.26
0.177848316,3.535104315,5.333941388,5.29330494,2.28
0.220676928,4.261833679,7.645056146,7.274686383,2.26
0.13877189,2.329040073,6.745987859,8.355970336,2.26
0.253056808,4.763402808,7.58983955,7.083796883,2.26
0.134280789,3.366013254,6.325691269,7.537990665,2.26
0.202316591,5.052575988,6.804603182,7.582215364,2.28
0.125824889,3.849845912,6.6274718,9.11084461,2.26
0.202733048,6.253856305,6.177072412,6.238970897,2.26
0.068938485,4.429189637,5.206279774,7.071803651,2.26
0.252809613,5.537733399,5.267076743,4.803392695,2.28
0.236509563,5.961520421,6.259865707,5.851917246,2.28
0.099505463,5.215365646,5.93333592,7.784825855,2.24
0.074003028,3.561395871,5.49978727,7.95495386,2.28
0.200428502,6.588448509,6.298153264,5.847396783,2.28
0.123000019,6.132864118,6.197074209,7.480177877,2.28
0.318074389,6.410265379,5.715468021,6.017755102,2.42
0.123665761,5.73915359,5.948589315,6.983529404,2.48
0.12389735,7.439129092,7.63188013,8.908999951,2.46
0.045850894,3.610297028,6.079148327,10.79815281,2.42
0.040923344,3.922563521,6.693340577,10.60908417,2.44
0.032734607,2.213308159,6.16785187,11.61406922,2.44
0.043317914,2.367408787,6.852959887,11.00552174,2.4
0.034245129,2.213737842,6.402458077,11.7119562,2.42
0.07877834,3.233108373,8.282990327,11.27341184,2.44
0.021855923,1.417282902,5.293036043,10.16138203,2.4
0.101463462,3.263575093,8.444844158,10.96171293,2.46
0.124613511,3.486909485,7.50457028,8.985426018,2.4
0.078055872,2.830832719,7.532857647,9.302822578,2.46
0.060519384,2.613339137,6.772926997,9.432637285,2.44
0.052332202,2.875513741,7.509660591,10.25270235,2.44
0.028171012,1.690060451,6.736781935,11.20411587,2.4
0.151508766,3.999358597,8.5849736,9.351747173,2.4
0.076020112,1.824481778,7.425603049,11.20999187,2.46
0.087741016,2.537702351,8.310457485,12.00805187,2.46
0.043491935,1.461864289,6.882757675,11.68945515,2.42
