R1,R2,R3,R4,Load
0.004088197,0.378431933,0.001467442,0.003269384,0.24
0.001873671,0.309049246,0.001407056,0.006658781,0.22
0.004815425,0.895249424,0.004060046,0.014232803,0.22
0.008287934,0.790599004,0.00460576,0.014371992,0.22
0.00811121,0.772036382,0.005336845,0.014227916,0.22
0.004230283,0.492434906,0.003089791,0.0101942,0.22
0.007591778,0.517597919,0.003411789,0.007940431,0.22
0.008438572,0.610837213,0.00221282,0.009032766,0.22
0.007405492,0.753290684,0.004511783,0.010707432,0.22
0.006611026,0.73797763,0.004133094,0.010835574,0.22
0.005848853,0.621376697,0.002916599,0.007081039,0.22
0.005009348,0.642467796,0.003543305,0.007781118,0.22
0.005009348,0.642467796,0.003543305,0.007781118,0.22
0.0066688,0.586886266,0.004042858,0.007721266,0.22
0.007200187,0.628441856,0.00364552,0.00922205,0.22
0.007220831,0.591826704,0.003561363,0.008400383,0.22
0.007068623,0.592855888,0.003421046,0.007322261,0.22
0.005349286,0.579727826,0.00216247,0.007505773,0.22
0.002948327,0.538364359,0.002637624,0.008233117,0.22
0.003632564,0.659278909,0.003180727,0.00877521,0.22
0.00541085,0.622248532,0.003076546,0.008114395,0.22
0.004998015,0.636981236,0.003715896,0.007807007,0.22
0.004780268,0.572718268,0.003941588,0.006168906,0.22
0.004780268,0.572718268,0.003941588,0.006168906,0.22
0.00854396,0.504258477,0.002554617,0.009817831,0.22
0.009431511,0.70338286,0.004048261,0.010739605,0.22
0.00775024,0.659048055,0.004372175,0.009892522,0.22
0.007830651,0.524815876,0.002872582,0.007458655,0.22
0.009104963,0.593755854,0.003818085,0.007565998,0.22
0.009747917,0.629818516,0.005265194,0.00468478,0.22
0.008909055,0.555517657,0.005298632,0.005008161,0.22
0.00144014,0.542825935,0.00337606,0.00625349,0.22
0.003205897,0.590560709,0.003334832,0.006476149,0.22
0.00480588,0.580702544,0.003567475,0.005296881,0.22
0.007169872,0.61168295,0.002562666,0.006659921,0.22
0.008863652,0.466256858,0.002078249,0.005217403,0.22
0.005665806,0.387997043,0.001802652,0.004031702,0.22
0.003119595,0.514519523,0.003109809,0.004832292,0.24
0.005320385,0.610965715,0.002779376,0.009303236,0.22
0.006791275,0.584056693,0.003190725,0.007429333,0.22
0.007783619,0.560826046,0.003136439,0.007852548,0.22
0.002527947,0.536123856,0.00373127,0.005734206,0.22
0.003857754,0.54858464,0.003275687,0.00860034,0.22
0.001985578,0.003317606,0.000132587,0.000176135,0.36
0.029641785,1.99463297,0.02724908,0.148383968,0.36
0.019212194,1.199809985,0.0092639,0.062512947,0.36
0.043089944,1.661056878,0.015505078,0.092669408,0.36
0.020041195,1.223978065,0.015929699,0.062087585,0.36
0.023524355,1.387690898,0.015118338,0.058029451,0.36
0.025607943,1.357365176,0.014341116,0.066177045,0.36
0.022768479,1.361927219,0.014286714,0.06684916,0.36
0.009427834,0.318833199,0.004027899,0.029558214,0.38
0.022909606,1.394892633,0.014103921,0.062555506,0.36
0.017519232,1.247631123,0.012007623,0.051456584,0.38
0.017963546,0.882351695,0.008752715,0.049010857,0.36
0.026811024,1.133979729,0.010282854,0.044455954,0.36
0.019396183,1.06443917,0.009835798,0.050718674,0.38
0.007556228,0.682442418,0.006246803,0.037649142,0.36
0.012689536,0.877534258,0.006915616,0.044272451,0.36
0.014685187,1.288032929,0.013438529,0.048086033,0.36
0.020082929,1.260291487,0.012723759,0.051575655,0.38
0.012814425,1.108319284,0.010102659,0.043184613,0.38
0.024682269,1.252346108,0.011562551,0.037239518,0.36
0.001963373,0.00151666,0.000221757,0.000348874,0.5
0.085657671,2.289424351,0.048774197,0.263283742,0.5
0.078332328,2.208172927,0.050882299,0.153480403,0.5
0.061127969,1.957904056,0.03296158,0.152583112,0.5
0.059232372,1.921237073,0.029988131,0.132246973,0.48
0.062737558,1.697788037,0.026584648,0.110524554,0.5
0.06624246,1.666208212,0.026237213,0.12433423,0.5
0.046004547,1.400899379,0.018156398,0.105967498,0.5
0.075728232,1.827641268,0.030199651,0.107430075,0.48
0.069321289,1.778378344,0.028682175,0.09647643,0.5
0.067207041,1.624961813,0.032023412,0.077067956,0.5
0.064615165,1.801928072,0.028800817,0.087430453,0.48
0.05876273,1.675944853,0.02659026,0.09431195,0.5
0.058308212,1.586788536,0.023156218,0.075114668,0.5
0.051555824,1.616226669,0.023063933,0.085874589,0.5
0.063616276,1.79892397,0.027307529,0.078223447,0.48
0.068551976,1.681378108,0.025230686,0.070559034,0.5
0.062370207,1.689474935,0.021956639,0.066964654,0.5
0.072850343,1.882465403,0.029874708,0.069517524,0.5
0.056056067,1.590881443,0.026438185,0.042150241,0.5
0.002140199,0.001005481,0.000101342,0.00033736,0.66
0.195401823,2.776860704,0.092180188,0.374579969,0.64
0.124584548,1.691847357,0.057726908,0.172642922,0.64
0.141349591,2.412746499,0.078042801,0.227778731,0.66
0.13147514,1.857872114,0.0621813,0.1596585,0.64
0.080139975,1.269721353,0.038954621,0.047831638,0.64
0.143962543,2.185132586,0.067230737,0.236980899,0.66
0.105585576,1.871822254,0.057443345,0.182391195,0.64
0.121511103,1.70114752,0.051141831,0.139507657,0.66
0.101115742,1.749112915,0.048466147,0.148038054,0.64
0.126729383,2.113754457,0.056468304,0.154993628,0.66
0.115483161,2.107352643,0.059178018,0.176670796,0.64
0.109528293,1.991601833,0.059769738,0.122900318,0.64
0.15009173,2.542208919,0.062737592,0.183191685,0.66
0.138123654,2.33095072,0.060842007,0.1608776,0.66
0.123314802,1.919681102,0.049176146,0.117118366,0.64
0.121591327,1.965491325,0.047293247,0.155148509,0.64
0.112665057,1.529303544,0.041596253,0.097881947,0.64
0.117595455,2.34789064,0.05416036,0.152419924,0.64
0.114047911,1.88788813,0.04532401,0.10859423,0.64
0.001821945,0.231612961,0.001614694,0.003291618,0.78
0.202535882,1.98745513,0.118379801,0.069169529,0.78
0.252744531,2.813038923,0.13491128,0.109227521,0.8
0.232971212,3.023308179,0.141174478,0.160898171,0.8
0.141985728,1.804437259,0.09295736,0.060372376,0.8
0.168659373,1.975443548,0.103914034,0.058727509,0.8
0.1604791,1.914141786,0.092713483,0.039865413,0.8
0.163755857,2.079588271,0.098258594,0.042665022,0.8
0.178564774,2.100923294,0.100230914,0.031570565,0.8
0.147044713,2.109032614,0.09872194,0.05752435,0.8
0.197187616,2.655726948,0.117340663,0.083198639,0.8
0.114629586,1.865667606,0.077427868,0.049152617,0.8
0.165159182,2.408897246,0.092142942,0.060805853,0.8
0.072579066,1.186448154,0.045659504,0.021738653,0.78
0.106990218,1.181279432,0.060102231,0.018807772,0.82
0.137720398,2.170973858,0.085348677,0.05187291,0.82
0.145176247,1.99694637,0.076825721,0.030108601,0.82
0.208736012,2.49837999,0.099283301,0.049305105,0.8
0.169456776,2.072075607,0.084475324,0.040825158,0.82
0.070633477,1.622558456,0.050618968,0.04075684,0.8
0.001391487,0.08058837,0.000506374,0.001986126,0.92
0.125614707,1.309515429,0.089320165,0.014816409,0.94
0.160412397,2.541487681,0.110375084,0.050290966,0.94
0.090149456,1.076986849,0.099975393,0.012579862,0.96
0.207108809,2.298407916,0.146645363,0.037359101,0.98
0.161079389,2.215406251,0.101436426,0.044625008,0.98
0.124118639,1.185818584,0.082231544,0.022247227,0.94
0.217653924,2.856150358,0.1527351,0.038776023,0.96
0.166068669,2.132467159,0.118798138,0.025420267,0.98
0.123496549,1.271969273,0.076387823,0.035266093,0.96
0.12633014,1.450764534,0.099592322,0.044156461,0.96
0.126232633,1.336701762,0.085692363,0.031534957,0.96
0.137098967,1.546759245,0.085828709,0.038332215,0.94
0.129710887,1.477741587,0.084199656,0.036006639,0.96
0.059401681,1.328394603,0.043257018,0.056215167,0.96
0.129707904,1.904602814,0.079839377,0.032872184,0.96
0.125652695,2.731102562,0.090920929,0.063949056,0.96
0.118606331,1.987318678,0.102434265,0.026660787,0.96
0.102772914,1.090280197,0.064467418,0.044043453,0.92
0.217438439,3.290462493,0.145934349,0.0591011,0.96
0.025976126,3.28426904,0.016597071,0.185075078,1.06
0.063926781,1.630014525,0.027915285,0.045905309,1.08
0.17366818,1.433944201,0.107355451,0.002425126,1.1
0.1372481,1.186722561,0.098675079,0.010085694,1.08
0.161223561,1.903318846,0.114278771,0.010519946,1.08
0.2265009,3.209434356,0.138386449,0.040363016,1.1
0.041694503,0.420379116,0.038252721,0.01079291,1.06
0.056771648,2.975040018,0.065184143,0.069533452,1.1
0.115652246,1.610089727,0.074453529,0.02410922,1.08
0.087679301,1.845459343,0.070355203,0.048299551,1.1
0.076672553,0.747334698,0.046146016,0.018051349,1.1
0.083482897,4.310636785,0.071147175,0.162312137,1.08
0.08404572,0.898866899,0.063121369,0.038417479,1.1
0.085066572,2.971544381,0.083300184,0.097485557,1.1
0.078873698,2.802463388,0.053389717,0.07171894,1.08
0.118550467,1.745943959,0.083239483,0.027786391,1.08
0.040105791,1.781926088,0.029261893,0.055027119,1.12
0.180538804,6.422915581,0.102046522,0.201826021,1.06
0.044013052,2.275448029,0.038424784,0.047878606,1.12
0.035097823,3.844303963,0.028769235,0.063626817,1.08
0.047956582,5.676007956,0.052955348,0.092274074,1.42
0.032379235,4.51994079,0.035095105,0.055699167,1.46
0.045261931,5.051019968,0.041943117,0.062775397,1.46
0.007434786,3.124036508,0.011773284,0.010439484,1.48
0.080097732,7.270074657,0.062313672,0.100042922,1.44
0.085537046,7.040708424,0.057487767,0.104798087,1.44
0.014405256,2.435787066,0.008756905,0.022984384,1.46
0.150675898,9.528243395,0.109624837,0.110087253,1.46
0.049764579,3.826227068,0.041908021,0.209454872,1.46
0.027570332,4.949779603,0.014722153,0.018146796,1.48
0.047930616,7.256364715,0.03644687,0.054033763,1.46
0.060086982,7.90253916,0.053035445,0.104884846,1.46
0.049409337,7.275312577,0.042961013,0.14397871,1.46
0.019602554,3.768375458,0.010532946,0.0067651,1.44
0.00947361,2.858116688,0.003740368,0.003995431,1.48
0.010457618,3.877077645,0.007197273,0.007549432,1.46
0.003863502,3.380122577,0.00485602,0.001499916,1.48
0.016885481,6.517933269,0.021855184,0.019092,1.44
0.018844241,4.837744739,0.013735145,0.012563415,1.46
0.033790026,9.140419879,0.037005728,0.03664763,1.46
0.207831534,17.15751188,0.144869125,0.27915391,1.84
0.191855453,15.28447255,0.099384913,0.165742317,1.84
0.153847637,15.51591598,0.087549017,0.146344894,1.84
0.376391136,18.78449883,0.179317298,0.12028854,1.84
0.108077335,15.28135656,0.058901421,0.099559555,1.82
0.13963395,14.22614328,0.085294288,0.10503905,1.86
0.134100154,16.77001709,0.08478613,0.113798126,1.86
0.231056324,17.52608536,0.126817972,0.109136526,1.82
0.357214675,20.22184482,0.211580028,0.123254004,1.82
0.240199871,17.08960691,0.124794175,0.089997952,1.88
0.105035632,16.71221612,0.074477722,0.107602775,1.84
0.158514858,16.86233668,0.096499514,0.114173507,1.86
0.111397007,16.2358402,0.059104126,0.09440103,1.82
0.047690383,12.56867882,0.029085192,0.061204974,1.82
0.24507353,17.50037835,0.161416299,0.092847658,1.88
0.049405845,14.55879625,0.043578315,0.047835593,1.88
0.111994153,17.57712451,0.075189978,0.086570192,1.86
0.159916762,18.68220055,0.106581011,0.10721493,1.86
0.104907324,15.37175108,0.051587675,0.057250839,1.84
0.104607295,17.39273921,0.051018755,0.084611218,1.86
0.776168319,38.47364619,0.521490143,0.689040432,2.24
0.593490028,26.43214967,0.279775458,0.187774649,2.24
0.429219953,24.03595006,0.227819288,0.142089066,2.26
1.588038414,26.12183106,0.364095039,7.402492953,2.28
0.801931861,21.85139443,0.347507856,1.634765568,2.26
0.552254117,26.13478381,0.302475583,0.156827796,2.26
0.293428006,18.68549229,0.180674625,0.099664094,2.22
0.204441245,23.83136157,0.130550261,0.05904115,2.2
