R1,R2,R3,R4,Load
0.001866575,0.001466821,0.000155038,0.000241246,0.24
0.00264539,0.001533401,0.000117023,0.000457241,0.24
0.004009342,0.002263762,0.000122136,0.00076357,0.24
0.004009342,0.002263762,0.000122136,0.00076357,0.24
0.009183453,0.000990809,0.000195117,0.15657128,0.22
0.004227227,0.003414815,0.000528693,0.143002443,0.22
0.006298782,0.001260602,0.000278196,0.121712539,0.22
0.002708725,0.00217472,0.000187158,0.135540117,0.22
0.004993792,0.002374811,0.000185469,0.124096197,0.22
0.005003841,0.003077332,0.000100537,0.120790939,0.22
0.007258082,0.003048299,0.000137827,0.103664856,0.22
0.004091762,0.002424561,0.000160225,0.10830157,0.22
0.002186873,0.002689008,0.000316005,0.098239162,0.22
0.002532191,0.001758034,0.000220479,0.094154364,0.22
0.002301339,0.002096416,0.00018233,0.09149702,0.22
0.00133083,0.002003361,0.000392887,0.095823841,0.22
0.003947498,0.002292322,0.000109581,0.087441557,0.22
0.007063658,0.004190343,0.000198319,0.106320584,0.22
0.008771644,0.001119498,0.000103829,0.087442895,0.22
0.001138952,0.001061856,0.000203581,0.083079707,0.22
0.006966854,0.00165115,0.000160186,0.087915068,0.22
0.002125595,0.001730065,0.000368042,0.092739022,0.22
0.003992232,0.001747405,0.000130402,0.096115633,0.22
0.002872791,0.00124973,0.000100882,0.000714223,0.38
0.01280426,0.002015572,0.001553966,0.603452256,0.38
0.022600917,0.001714744,0.00113424,0.823302655,0.38
0.011278738,0.002059705,0.000841669,0.529642182,0.38
0.014295108,0.00181435,0.000992964,0.987638055,0.38
0.021328418,0.000772908,0.000950547,0.938135365,0.38
0.024722642,0.001339992,0.000569051,0.772378768,0.38
0.023936229,0.001582635,0.000753738,0.758972385,0.38
0.014916802,0.002004162,0.001269778,0.840747953,0.38
0.015767315,0.00200373,0.000501896,0.562258494,0.36
0.022701399,0.001050989,0.00139724,0.769367581,0.36
0.020934608,0.003744711,0.000883239,0.891584205,0.38
0.01296114,0.002932236,0.000753987,0.373600904,0.38
0.012964751,0.001161519,0.000868729,0.884690081,0.38
0.011755641,0.002605082,0.000614942,0.605176227,0.36
0.008723315,0.003059992,0.000665418,0.709451693,0.36
0.012503054,0.002615067,0.001030753,0.644913644,0.36
0.008067062,0.002076729,0.00087117,0.759433887,0.36
0.01488064,0.002014325,0.001172885,0.65917615,0.36
0.011145397,0.003090711,0.001185929,0.547434298,0.36
0.012525681,0.002609933,0.00099195,0.610333749,0.36
0.012504443,0.002942064,0.00067415,0.589758555,0.36
0.017915565,0.003021993,0.000816963,0.752265629,0.36
0.017890893,0.001828608,0.000650384,0.724449136,0.36
0.014471337,0.002126808,0.001617946,0.516999288,0.52
0.055745861,0.001164474,0.007583949,3.16895011,0.52
0.022660445,0.001029564,0.002925176,1.474052838,0.52
0.038406653,0.000977272,0.005759952,2.887399334,0.52
0.050307818,0.001636294,0.005173803,2.503982217,0.52
0.043126269,0.001502735,0.004383729,2.870332224,0.52
0.05842939,0.002008191,0.005568884,2.936770689,0.52
0.048212969,0.002279925,0.004783836,1.807128946,0.52
0.050009327,0.002556078,0.004214653,2.398952911,0.52
0.029396882,0.000697686,0.003533913,2.500965987,0.52
0.045154916,0.002162723,0.004475372,2.877333956,0.52
0.024341565,0.001016074,0.00373387,1.496086218,0.52
0.016218915,0.001981751,0.003111587,1.186185208,0.52
0.035304512,0.001592539,0.005789323,2.743043637,0.52
0.032368365,0.000664715,0.00469113,1.621754925,0.5
0.029429244,0.001748083,0.003155824,1.565657157,0.5
0.028631284,0.002325415,0.002498529,1.487820805,0.5
0.029417459,0.0007154,0.003853728,2.15408644,0.5
0.048716516,0.001760283,0.004281626,2.087348023,0.52
0.023098196,0.000569637,0.004170479,1.677668735,0.5
0.030690125,0.00124735,0.006043789,2.134563325,0.52
0.025506678,0.001620431,0.00396959,1.38531513,0.5
0.021912985,0.001758891,0.005184903,1.299608805,0.5
0.043952087,0.002622382,0.003951634,1.647559227,0.5
0.00387788,0.001626519,0.000279236,0.054657718,0.7
0.152716374,0.002906303,0.023863059,6.014505876,0.7
0.015851749,0.001585718,0.005017824,0.487963072,0.68
0.045144211,0.00185619,0.009529128,1.401103036,0.68
0.069295636,0.003510437,0.009857489,1.827217027,0.68
0.046196167,0.001779081,0.007956811,1.988830038,0.68
0.023021353,0.001855426,0.004848974,0.539266478,0.68
0.053091306,0.001581095,0.011710656,2.175996772,0.7
0.054287424,0.000911494,0.008314783,1.834087884,0.68
0.082182225,0.00386514,0.014085053,6.983666985,0.68
0.032694156,0.002333232,0.010852121,3.972339997,0.68
0.010163998,0.000938775,0.008114605,2.517119013,0.68
0.005533124,0.001368532,0.001605066,0.311020229,0.68
0.043063964,0.002003365,0.008858138,2.438065862,0.68
0.106512559,0.002383798,0.015504901,6.996260807,0.68
0.028258599,0.002064043,0.009991953,3.334429975,0.68
0.054503069,0.001601829,0.007265215,3.182477991,0.68
0.037057972,0.003893976,0.008648906,2.418975319,0.68
0.030828351,0.001549007,0.008233427,0.989303,0.68
0.057362528,0.000699137,0.011234406,2.963211016,0.68
0.007952465,0.001098782,0.00196093,1.000762701,0.86
0.084578694,0.001697667,0.021473086,2.924674036,0.86
0.042554974,0.001009892,0.014613993,1.467256397,0.86
0.021123997,0.000980645,0.006415751,2.721641462,0.84
0.01740649,0.001729547,0.010579676,2.039993392,0.84
0.129874276,0.001283818,0.024428176,6.293866325,0.86
0.03866265,0.008070863,0.010435657,4.61182027,0.84
0.029655595,0.001205334,0.011789115,1.846714432,0.84
0.018498348,0.001955918,0.006375804,0.424862845,0.84
0.049005734,0.002020826,0.018372671,1.446612109,0.84
0.018663641,0.003384993,0.006083895,1.929358588,0.84
0.033256217,0.003956129,0.009611734,2.680393368,0.84
0.038414077,0.001608111,0.01640541,0.948736269,0.84
0.04807835,0.001935504,0.015410105,3.504775372,0.84
0.070351477,0.005481471,0.021184992,7.771197594,0.84
0.044376704,0.003021563,0.012133302,2.140829611,0.84
0.110607217,0.005271731,0.019999759,6.291395102,0.84
0.138142486,0.008370097,0.02645479,9.543604242,0.84
0.055878838,0.00538515,0.020714932,4.765550833,0.84
0.114673673,0.011331397,0.029559169,10.5875346,0.84
0.056444337,0.006500523,0.019779405,2.716560908,0.84
0.062769836,0.007108193,0.016247156,5.637162549,0.84
0.044066799,0.00255394,0.012177633,3.439064167,0.84
0.042376914,0.003845972,0.013295041,4.336719651,0.84
0.015642791,0.001491998,0.010576623,1.188266227,0.84
0.033572041,0.00476815,0.013482276,2.522940051,0.84
0.059437966,0.009810199,0.018020434,3.593584647,1.02
0.056888214,0.00495993,0.017189921,2.891687519,1.0
0.14914622,0.028259216,0.031465602,10.72355769,1.0
0.049429548,0.007114416,0.021960861,5.0522508,1.0
0.148916301,0.02356464,0.040534847,11.42958881,1.0
0.029853765,0.002452765,0.01208649,3.362709486,1.0
0.072128575,0.006494198,0.028378759,5.036693678,1.0
0.038756437,0.002235483,0.019040549,1.472415838,1.0
0.023174399,0.00629358,0.010224419,3.709830342,1.0
0.046500875,0.004102203,0.019576746,1.553533873,1.0
0.075086,0.016586909,0.027331028,8.334365482,1.0
0.052074134,0.01208658,0.022057085,5.160713509,1.0
0.03439132,0.004296002,0.01367071,2.663098405,1.0
0.041714401,0.003678661,0.024436188,2.770622304,1.0
0.0667912,0.009265218,0.02778434,8.083648092,1.0
0.078582504,0.015528244,0.03172384,6.23775737,1.0
0.048991507,0.005862087,0.022292645,2.901612658,1.0
0.046901248,0.00293611,0.021238187,1.176228374,1.0
0.071555533,0.010937668,0.02937298,7.543452861,1.0
0.095602544,0.008530744,0.037243323,2.66333193,1.0
0.094318398,0.014484916,0.030443341,8.596843544,1.0
0.034423499,0.00327463,0.024251316,2.38852236,1.0
0.043775482,0.00487161,0.025330653,1.232465187,1.0
0.016521784,0.003237798,0.010359173,0.890410569,1.0
0.166991957,0.029151068,0.073950095,9.949152403,1.2
0.130196638,0.031281998,0.043132515,12.82784381,1.18
0.087696193,0.008663931,0.043444822,1.753025553,1.18
