R1,R2,R3,R4,Load
0.003457662,0.004718032,7.62e-05,0.055214543,0.14
0.003554649,0.002923544,8.13e-05,0.077060997,0.14
0.004730253,0.001534762,9.39e-05,0.062304619,0.14
0.004065486,0.002773343,9.56e-05,0.067461756,0.14
0.004557756,0.002549873,0.00025526,0.062767154,0.16
0.004308558,0.001975037,0.000289148,0.058425434,0.14
0.004396357,0.002334264,0.000268641,0.056713785,0.14
0.003295459,0.000663605,0.000276626,0.067122702,0.14
0.001161773,0.002027999,0.000188144,0.067568475,0.16
0.003403869,0.001855708,0.000221343,0.077412306,0.16
0.004333456,0.001600722,0.000166263,0.076995428,0.14
0.004729449,0.00098643,6.87e-05,0.070941658,0.14
0.004729449,0.00098643,6.87e-05,0.070941658,0.14
0.001419551,0.001245631,8.6e-05,0.071675556,0.14
0.002779447,0.001398977,0.000236661,0.051741114,0.16
0.002886176,0.001954962,0.000223554,0.066489998,0.14
0.003420269,0.00208808,0.000215153,0.067284747,0.14
0.002813901,0.001957365,0.000272636,0.073546912,0.14
0.001999279,0.001530114,0.000477477,0.059284873,0.16
0.003258485,0.001312552,0.000226302,0.070965773,0.16
0.002744502,0.002928342,0.000227463,0.05554517,0.16
0.00511226,0.001567344,0.000344807,0.048124025,0.16
0.00209868,0.001475972,0.000170642,0.061032131,0.14
0.001634187,0.001845122,0.00014541,0.058602631,0.14
0.001692385,0.001840524,0.000159374,0.060470395,0.14
0.00335772,0.000590759,0.000220958,0.055567991,0.14
0.003449577,0.000759175,0.000192123,0.052678219,0.14
0.006066498,0.000893578,0.00014525,0.063781642,0.14
0.002776286,0.000554089,0.000120699,0.077127331,0.14
0.000573182,0.000578318,0.000202947,0.078379538,0.14
0.00131135,0.001497674,0.000129941,0.039837454,0.16
0.003405659,0.000285833,0.000488693,0.064357859,0.14
0.003405659,0.000285833,0.000488693,0.064357859,0.14
0.005011867,0.000357326,0.000454644,0.063427917,0.14
0.004046717,0.001129903,0.00038695,0.047828038,0.16
0.002541527,0.004512053,0.000564564,0.214779535,0.24
0.003787131,0.001195043,0.000169173,0.218038996,0.26
0.001146164,0.003260465,0.000320281,0.276386872,0.26
0.000959963,0.002444911,0.000195438,0.238212053,0.24
0.003851772,0.002295317,0.000109982,0.230947127,0.26
0.003049133,0.003998685,0.000247292,0.194856584,0.24
0.003552001,0.001466427,0.000237871,0.266990594,0.24
0.00351243,0.002552235,0.000274445,0.191139456,0.26
0.00219069,0.003082044,0.000170792,0.264038987,0.24
0.001379491,0.000942936,8.83e-05,0.254342039,0.24
0.003369475,0.002325504,0.000164954,0.266438415,0.24
0.001918904,0.004490357,0.000249854,0.248153428,0.26
0.004443701,0.004592827,0.000115301,0.258716918,0.24
0.002819566,0.005269185,0.000378366,0.251011367,0.24
0.001193099,0.002367239,0.000298829,0.24631424,0.24
0.003550533,0.002565254,0.000223549,0.206196882,0.22
0.002902203,0.004160281,0.000237031,0.211743301,0.26
0.002218004,0.002104409,0.00047003,0.273737206,0.24
0.003126883,0.003657819,0.000219964,0.206122221,0.26
0.001357308,0.002390358,0.000393559,0.262934153,0.24
0.003086966,0.009590685,0.000568609,0.525388189,0.34
0.004762714,0.00383743,0.000149494,0.641304076,0.34
0.002017657,0.005108376,0.00045989,0.589006442,0.34
0.001038901,0.006010994,0.000543715,0.524541764,0.34
0.001543218,0.005728434,0.000403374,0.5618654,0.34
0.006025031,0.009104023,0.000175749,0.357319371,0.34
0.003527935,0.0100271,0.000944602,0.62493617,0.34
0.001002016,0.008048789,0.000207143,0.483294785,0.34
0.002006514,0.008282655,0.000200527,0.636068271,0.34
0.001550625,0.006421545,0.00036034,0.673524333,0.34
0.001636883,0.008377206,0.000267283,0.645388963,0.34
0.002875113,0.007184094,0.000306687,0.743512303,0.34
0.003238021,0.008365159,0.000538191,0.596935513,0.36
0.006621727,0.009567903,0.000450953,0.597989854,0.36
0.002287788,0.004729466,0.00023168,0.605094111,0.36
0.00366183,0.007811801,0.000337899,0.652539526,0.34
0.002713746,0.004680372,0.000167176,0.749676498,0.34
0.00601337,0.008347256,0.000173287,0.58508894,0.36
0.000563381,0.012448304,0.000253051,0.726385299,0.34
0.005492008,0.008695306,0.000369913,0.80623976,0.34
0.002861664,0.009128039,0.000219389,1.195111353,0.42
0.004787333,0.006100304,0.000680707,1.172233512,0.44
