R1,R2,R3,R4,Load
0.008067038,0.002448161,0.001282522,382.3264773,0.18
0.004666831,0.001311836,0.001011283,407.0109748,0.18
0.003148506,0.001661779,0.001249254,371.0969207,0.18
0.006945249,0.001899708,0.001217181,355.6515569,0.18
0.006467422,0.001790293,0.001171399,255.6284959,0.18
0.007213333,0.00164949,0.000793298,354.2443537,0.18
0.006800826,0.001549935,0.000661737,404.6586424,0.18
0.006635411,0.001059746,0.000461556,407.0652446,0.18
0.005042754,0.00160846,0.000353212,405.8489566,0.18
0.006688879,0.002076436,0.000483702,437.1043502,0.18
0.00671858,0.002052142,0.000681005,387.1214498,0.18
0.00671858,0.002052142,0.000681005,387.1214498,0.18
0.00803319,0.002221548,0.000610196,375.3480563,0.18
0.007587231,0.002285724,0.000593443,352.5352158,0.18
0.006713699,0.002115589,0.000360023,183.5455299,0.18
0.00319592,0.003049325,0.001216707,343.1190904,0.18
0.003688921,0.003839962,0.001178542,408.9978175,0.18
0.003780785,0.003823733,0.001370604,439.9332575,0.18
0.004229508,0.003485621,0.001366056,407.6682503,0.18
0.002875532,0.003492266,0.001059444,389.4152324,0.18
0.00638287,0.001540166,0.001272232,241.3598599,0.18
0.004390691,0.001774523,0.001316934,372.2051625,0.18
0.003377607,0.00262434,0.001093975,268.6037884,0.18
0.0042153,0.002116722,0.000965898,397.669674,0.18
0.00446798,0.001936479,0.000948344,390.639995,0.18
0.00446798,0.001936479,0.000948344,390.639995,0.18
0.010424667,0.000826357,0.000894772,326.7263275,0.18
0.010572495,0.000825049,0.000818667,334.0121937,0.18
0.007753868,0.001255565,0.000543957,238.7809915,0.18
0.007368201,0.001260085,0.000599929,185.7262859,0.18
0.003280588,0.004364783,0.000775717,297.4155746,0.18
0.00200275,0.004602864,0.000899242,311.072284,0.18
0.003658616,0.002758928,0.000465306,311.9975621,0.18
0.004748589,0.002952914,0.000501495,234.9999854,0.18
0.005355759,0.00317992,0.001252859,334.5358418,0.18
0.005167247,0.003822303,0.001261286,300.3313682,0.18
0.005167247,0.003822303,0.001261286,300.3313682,0.18
0.00482779,0.001897287,0.000612684,241.3898882,0.18
0.006013192,0.00236941,0.000638849,260.4740109,0.18
0.002353084,0.001984416,0.000999927,284.0114561,0.18
0.002341681,0.002067418,0.000770917,239.4392033,0.18
0.003136368,0.001548913,0.001073519,274.3397353,0.18
0.002575054,0.00472483,0.00104756,255.2138873,0.18
0.004558716,0.003931552,0.001117833,261.254034,0.18
0.004834257,0.003884519,0.000905194,227.6317776,0.18
0.006287803,0.003343923,0.000445724,261.0451124,0.18
0.004771759,0.001698215,0.000440695,185.1864295,0.18
0.003340168,0.003382256,0.001197476,285.7808993,0.18
0.002737995,0.002461357,0.000840134,254.0739771,0.18
0.001561488,0.000896453,0.000608675,225.6135953,0.18
0.004274946,0.00106877,0.001035973,276.3626531,0.18
0.002322666,0.001366397,0.00022243,0.550093725,0.18
0.007612942,0.00921115,0.0032054,660.7756735,0.32
0.002735588,0.006456952,0.003760453,440.7860613,0.32
0.004862482,0.004814142,0.002774158,651.3914962,0.3
0.002190461,0.004765765,0.004167534,644.0293092,0.3
0.002912988,0.004364788,0.002766684,511.3908211,0.32
0.008638587,0.003671005,0.000965427,464.2020994,0.32
0.00556826,0.005082779,0.002576934,632.287995,0.3
0.004373597,0.003587843,0.001550891,392.5431745,0.32
0.00124142,0.009391567,0.001679225,607.230229,0.3
0.002359051,0.005077406,0.002464104,589.463035,0.3
0.007347988,0.011051545,0.002436835,575.4615273,0.3
0.003101889,0.003541053,0.002825583,554.3671426,0.3
0.002640137,0.00553187,0.003234449,562.5944514,0.3
0.002113052,0.006710006,0.001429506,456.1553612,0.3
0.007950441,0.009265113,0.00255301,557.2097362,0.3
0.002131141,0.006422882,0.002992017,554.7623559,0.3
0.007670495,0.007280106,0.002470484,586.0538325,0.3
0.005557797,0.005184003,0.002563959,621.6206301,0.3
0.006861021,0.006634228,0.002529072,494.2353361,0.32
0.007047897,0.002209792,0.000948263,11.34600108,0.3
0.010245785,0.017839694,0.012298947,1100.244596,0.46
0.00476791,0.006448318,0.005952633,723.3155951,0.46
0.012374523,0.010859539,0.007657564,1033.488205,0.46
0.002507215,0.016680595,0.006668248,853.0982603,0.46
0.005842548,0.018993317,0.005480775,1214.37318,0.44
0.00583995,0.021343503,0.005333943,1394.742698,0.44
0.006320442,0.011252106,0.00243298,631.522004,0.46
0.008092732,0.015839458,0.004678838,1058.944154,0.44
0.006696115,0.012421888,0.004691809,926.6636382,0.46
0.007496992,0.0170638,0.004901646,942.0104574,0.46
0.004245207,0.01919825,0.006141696,1168.027912,0.44
0.005363385,0.013648812,0.004701217,706.2343047,0.46
0.008143693,0.011842169,0.002190592,463.0128991,0.46
0.009793924,0.018403032,0.005879094,932.6782647,0.44
0.004133253,0.018841671,0.005060957,766.9679024,0.46
0.003812475,0.011289828,0.001837724,783.3496648,0.46
0.010422302,0.015673478,0.003960882,913.763224,0.44
0.011156758,0.019129262,0.004608445,909.8867792,0.46
0.010485304,0.012999306,0.003664597,848.7287222,0.46
0.004969121,0.013004593,0.003044075,837.0448481,0.46
0.003273096,0.016356838,0.003174483,569.5579945,0.46
0.025462835,0.030258429,0.026005936,2439.467423,0.64
0.011254678,0.034382841,0.016628037,1618.147519,0.64
0.009981127,0.043772717,0.014671534,1710.952078,0.62
0.01018374,0.028313608,0.011451568,1177.588418,0.64
0.005331966,0.018165511,0.005824248,556.0499056,0.64
0.001175274,0.045331453,0.014579157,2028.413121,0.64
0.01456522,0.047246172,0.013933683,2016.874709,0.64
0.00542336,0.03768847,0.011578287,1559.787844,0.64
0.009857283,0.050355726,0.013607195,1922.064334,0.62
0.005478326,0.048872193,0.014211904,1841.474776,0.62
0.007558814,0.036143284,0.009151846,1408.288606,0.62
0.01004214,0.062436342,0.015495883,2081.950216,0.62
0.009187935,0.056427866,0.015011119,2627.295973,0.64
0.012024608,0.056027174,0.015224674,1886.510175,0.64
0.007234465,0.043793331,0.016384804,2201.394186,0.62
0.013812605,0.040782958,0.010143019,1777.063295,0.64
0.007560333,0.039402104,0.011283898,1708.409544,0.64
0.01279381,0.041306526,0.009351033,1854.019589,0.64
0.008000823,0.039295191,0.009824475,1994.233326,0.62
0.009369884,0.031665877,0.008612698,1736.77313,0.64
0.007665533,0.038840919,0.012343824,2739.285309,0.64
0.02207753,0.032335189,0.057083513,3935.450375,0.8
0.022474683,0.052157521,0.049250163,5234.112588,0.8
0.00850295,0.055376538,0.048513957,4779.337399,0.8
0.001383761,0.045321548,0.037300547,3585.459747,0.8
0.00362288,0.050081085,0.028777341,2950.579509,0.8
0.012596053,0.04882675,0.025786682,2683.33516,0.8
0.009726174,0.065329698,0.026688365,3468.40786,0.78
0.005240483,0.063932632,0.040110445,5426.915076,0.8
0.005464595,0.075023837,0.037060295,5363.978138,0.8
0.007208484,0.073121213,0.036704918,4992.991756,0.8
0.00903779,0.06264809,0.036085855,4949.054426,0.8
0.004678397,0.087831657,0.043840322,6983.015483,0.8
0.006258206,0.067574863,0.038742554,4966.420009,0.82
0.009285746,0.092719929,0.044889001,8518.217202,0.8
0.004510976,0.088369642,0.037623798,7419.255182,0.82
0.01087271,0.054478088,0.025455708,4259.931241,0.78
0.005968427,0.093608191,0.03635885,7364.228272,0.8
0.010998004,0.074230085,0.032413189,8103.908432,0.8
0.012538272,0.058124104,0.027228324,5956.06787,0.8
0.017970476,0.074627826,0.04009674,6796.512619,0.8
0.045370436,0.039037242,0.067092253,8927.649223,0.98
0.056834052,0.093034504,0.153115625,28028.73358,1.0
0.011640259,0.104880272,0.123492122,21148.59986,0.98
0.013505925,0.101068811,0.123025804,27876.21446,0.98
0.01757144,0.114340601,0.081430346,25048.9968,1.0
0.006503215,0.102394126,0.074844713,22177.78189,1.0
0.004263594,0.113480662,0.07082886,21866.08711,0.98
0.002409066,0.090399747,0.06823195,22169.53915,0.98
0.006397476,0.093837851,0.077371273,19686.9501,1.0
0.009594408,0.117611806,0.099939624,22367.64676,0.98
0.004996065,0.130961355,0.092026601,24435.92362,1.0
0.003604098,0.124206582,0.111112277,31327.69079,0.98
0.004070649,0.096784355,0.080246948,23264.8242,1.0
0.002144865,0.108908429,0.103409336,28929.02152,0.98
0.002926201,0.103592754,0.107223291,28553.38903,0.98
0.004848384,0.126972962,0.128272559,31482.20745,1.0
0.006573454,0.094109375,0.091226072,25805.9815,1.0
0.010528607,0.114178087,0.127308977,32803.85235,0.98
0.006003885,0.102490433,0.100204667,26532.31412,1.0
0.006936883,0.122302937,0.112957477,26354.54471,1.0
0.017281242,0.151375296,0.236353549,52184.51907,1.2
0.023975093,0.173326131,0.206476329,50714.94866,1.2
0.006099596,0.179039158,0.188360315,59740.31969,1.18
0.003464205,0.211125818,0.205412692,61740.25391,1.16
0.004184286,0.204728283,0.189882326,79627.03765,1.18
0.004669686,0.169476485,0.186094525,50470.92298,1.18
0.00815981,0.22818474,0.191163708,67815.96505,1.16
0.004791658,0.213022532,0.200980756,72642.06924,1.2
0.005236316,0.188370993,0.203954255,75379.76747,1.16
0.012366925,0.241424798,0.215514052,87088.42649,1.16
0.007807594,0.22990923,0.217723221,86485.80925,1.16
0.010475692,0.204775235,0.182623487,78503.88136,1.18
0.012830467,0.185619741,0.187412858,80804.75207,1.16
0.017258216,0.274161853,0.193408947,87380.36065,1.16
0.00580569,0.199845153,0.185431104,82470.35775,1.18
0.009194827,0.169277752,0.174337339,78444.35903,1.18
0.012354083,0.229304943,0.216483898,92882.82463,1.16
0.020547106,0.220118396,0.205555471,89297.52909,1.18
0.017999567,0.281055176,0.185615491,98031.28233,1.16
0.017149406,0.231053708,0.174349915,103849.105,1.18
0.011617826,0.213639966,0.274530397,162681.1861,1.36
0.007383075,0.299721941,0.306853949,180211.4476,1.34
0.007458427,0.301175791,0.25885224,172826.1102,1.36
0.00713499,0.249547017,0.191506223,143583.2555,1.34
0.009548354,0.231547939,0.162758295,159874.3409,1.36
0.010201227,0.288739984,0.240521845,173795.5769,1.34
0.014557177,0.260492543,0.213059255,178988.6017,1.32
0.008723498,0.287231484,0.198970102,195667.9905,1.34
0.022510577,0.297574269,0.19295362,263247.8135,1.34
0.017788503,0.337195003,0.222862001,261613.1454,1.34
0.031738494,0.355301489,0.247096327,208461.1305,1.32
0.033164324,0.328650543,0.214318847,278790.8132,1.34
0.025126486,0.277026531,0.141643536,188240.8058,1.34
0.035149814,0.30523981,0.212975614,192283.7592,1.36
0.049622678,0.302713779,0.214857738,182467.3875,1.36
0.044328165,0.329517618,0.212636331,224404.7114,1.36
0.036553386,0.345047969,0.194857482,213236.8727,1.32
0.030634144,0.382791063,0.195209166,259608.4213,1.36
0.028887093,0.320870719,0.184706001,313576.6716,1.36
0.025611983,0.306948625,0.191583054,7571958371.0,1.34
0.015593147,0.359567439,0.308930668,4.1e+16,1.54
0.014159881,0.421081936,0.308940275,188705000000.0,1.54
0.028313666,0.316821771,0.196606346,2.44e+17,1.52
0.027145439,0.371122588,0.226985564,277382.9112,1.54
0.039401667,0.432588562,0.303936506,3.39e+17,1.54
0.03584369,0.44317979,0.2958394,8518230000000.0,1.54
0.048734015,0.455809825,0.236234528,6339980000000000.0,1.54
