,s1_d,s2_d,s3_d,s4_d
0.1178945,0.002617003,0.004104766,0.001656114,0.004739134
0.1956303,0.002881413,0.004058734,0.000189557,0.000287043
0.2838771,0.003003012,0.00443404,0.000189726,0.000255173
0.3821327,0.003348844,0.004256656,0.000251258,0.000242801
0.4802968,0.003916766,0.003218948,0.000227682,0.000141049
0.5652107,0.003651574,0.002849024,0.000226282,0.000242362
0.7430536,0.003624804,0.001212131,0.00019149,0.000257223
0.8001353,0.002845323,0.00125755,0.000180794,0.000258248
0.9155199,0.002329312,0.001786362,0.000199611,0.00022724
1.0500894,0.002145975,0.001370698,0.000189559,0.000227327
1.2710063,0.001999497,0.000799259,0.000179233,0.0002725
1.5623376,0.001791492,0.000844987,0.000154011,0.000388607
1.6190177,0.001316395,0.00057496,0.000150611,0.000400659
1.7979063,0.001067407,0.000823209,0.00015945,0.001939094
1.8537691,0.000707457,0.000713966,0.000343515,0.011060216
1.934881,0.001065724,0.000846291,0.00056398,0.020538663
2.0290908,0.001145258,0.000914403,0.000643116,0.029643011
2.2126909,0.001249627,0.000884007,0.000910244,0.035811456
2.2927745,0.001009584,0.000833293,0.001029924,0.038276367
2.3733792,0.001273839,0.000927391,0.001188936,0.033337455
2.5532757,0.001091397,0.000900933,0.001278855,0.02686901
2.6111701,0.000947611,0.001352616,0.001117995,0.024425299
2.7133892,0.000796109,0.001563408,0.000860135,0.021272866
2.7925234,0.000798212,0.001745987,0.000800646,0.025044937
2.9951346,0.001162386,0.001589232,0.001158466,0.029622627
3.0955192,0.001588193,0.001813598,0.001157546,0.028918351
3.1713653,0.001568144,0.001521638,0.001171827,0.024713125
3.3508978,0.001853458,0.001656719,0.001198847,0.022198334
3.5085033,0.001849962,0.0015295,0.001178577,0.017992746
3.5930297,0.00121023,0.001546966,0.001112911,0.017409172
3.7536901,0.00121922,0.002170109,0.000798986,0.020155133
3.8483885,0.001018018,0.00165712,0.000928664,0.019429086
3.9322421,0.000906993,0.001825907,0.000983764,0.015806894
