,s1_d,s2_d,s3_d,s4_d
0.033139,0.006317268,0.000731021,0.000238391,0.006986413
0.223779,0.005632951,0.000773758,8.71E-05,0.000352089
0.3279322,0.006061838,0.000905732,0.000105309,0.000370452
0.4249666,0.005604898,0.000936262,0.000109385,0.000372306
0.5004598,0.004625436,0.000957856,0.000104992,0.000364084
0.6029335,0.004401109,0.002436939,9.33E-05,0.000344151
0.6888241,0.003511264,0.002251871,0.000135881,0.000242507
0.7842817,0.003972292,0.001901329,0.000152359,0.000240691
0.8663641,0.004093278,0.001465947,0.000138903,0.000159044
0.9656862,0.003268242,0.001454092,0.000138897,9.01E-05
1.1028632,0.001916083,0.001482362,0.000134672,0.000114324
1.1964604,0.003377033,0.001524342,0.000134487,0.000114683
1.2998752,0.003111236,0.002056163,0.000167458,0.000121288
1.4824874,0.003116837,0.002153598,0.000164276,0.000116834
1.5604558,0.002667921,0.002807596,0.000169634,0.000134159
1.644338,0.003516526,0.001593208,0.000178438,0.000136274
1.7419048,0.003214274,0.001564108,0.000169541,0.000222468
1.8163315,0.00277829,0.001813395,0.000145921,0.000225967
1.8999456,0.003318799,0.002433396,0.000162742,0.000231022
1.9831693,0.003587995,0.002638759,0.000115213,0.000235683
2.0666812,0.003160042,0.002652199,0.000133592,0.00018557
2.1624374,0.002647132,0.002754907,9.75E-05,0.000254189
2.2659911,0.002686123,0.00283263,0.000130556,0.000281639
2.468943,0.002917255,0.002807157,0.000141192,0.000307272
2.5516571,0.002917117,0.002366349,0.000148996,0.000268816
2.6467958,0.002165754,0.002129555,0.000147828,0.000318036
2.7416777,0.002302211,0.002094878,0.000125159,0.000276635
2.8267761,0.002168878,0.002228093,0.000129641,0.000278389
2.9214175,0.001230884,0.001615474,0.000108082,0.000309107
3.0152771,0.001315473,0.001270731,8.75E-05,0.000307269
3.1038253,0.001393587,0.001338773,0.000126252,0.000306939
3.2445301,0.001131039,0.001276924,0.000131838,0.000232191
3.3287402,0.001091729,0.000789772,0.00010601,0.000200102
3.5251866,0.001012499,0.000447523,0.000157105,0.000167131
3.744356,0.00102314,0.00045844,0.00013887,0.000167571
3.8286347,0.00132885,0.000585111,0.000148907,9.77E-05
3.9170563,0.001096688,0.000358426,0.00013453,0.000139829
4.0087969,0.001093434,0.000556123,0.000182033,0.000116536
4.1022911,0.001275452,0.000631597,0.000144541,5.64E-05
4.1849138,0.000912878,0.00066718,0.000147771,5.94E-05
4.2974705,0.001389234,0.000672818,0.000158181,5.86E-05
4.3749967,0.001645668,0.000814791,0.000149169,5.70E-05
4.5638248,0.001694866,0.000830137,0.00015222,6.80E-05
4.6480967,0.002817241,0.000831991,0.00014525,6.78E-05
4.7452204,0.002810529,0.000697163,0.000256221,6.76E-05
4.830411,0.001918678,0.000823469,0.000253872,6.32E-05
4.965414,0.001874007,0.000989046,0.000253141,4.22E-05
5.0603469,0.001796087,0.000681012,0.000224526,3.82E-05
5.146411,0.002732758,0.000518807,0.00022701,3.72E-05
5.2283017,0.002675626,0.000667396,0.000168355,0.000115274
5.335339,0.00280562,0.000692258,0.000166428,0.000125333
5.4229123,0.002767039,0.001484779,0.000176301,0.000123049
5.5113132,0.003601563,0.001643321,9.86E-05,8.48E-05
5.6883131,0.00335794,0.001628445,0.00014482,0.000104511
5.7602231,0.002918049,0.001836419,0.000102126,0.000106716
5.8488551,0.002911182,0.00152691,0.000109583,0.000134764
5.939668,0.003185489,0.001555746,0.000193296,0.000148418
6.0252521,0.003577424,0.001512969,0.000191811,0.000168393
6.1104494,0.003476105,0.001389318,0.000192374,0.000194115
6.1976726,0.003751795,0.00146914,0.000194646,0.000151516
6.3982174,0.003595849,0.001432085,0.000199368,0.00014678
6.4844242,0.004483296,0.001335968,0.000196614,0.000152732
6.5790829,0.003070928,0.001507723,0.00019354,0.000237936
6.6490389,0.002637266,0.00158475,0.000165265,0.000228354
6.7400667,0.002884913,0.001503329,0.000193232,0.000215737
6.8252253,0.003864179,0.001504262,0.000201325,0.00022646
6.9296934,0.00293971,0.00099251,9.33E-05,0.000271108
7.058827,0.003064194,0.000526602,8.95E-05,0.000234671
7.1521823,0.003486859,0.000343784,7.58E-05,0.000183221
7.2563115,0.003507039,0.000370292,8.62E-05,0.000169543
7.5555998,0.003945461,0.000709618,9.99E-05,0.000185024
7.6400523,0.003777638,0.000697314,0.000158362,0.000187531
7.7371498,0.004655401,0.000869021,0.000227337,0.000158464
7.8308556,0.005499304,0.000705539,0.000199811,0.000175
7.9044807,0.005805775,0.00103059,0.000187289,0.000258
7.9924744,0.005399897,0.001452304,0.000208427,0.000232925
8.0994819,0.005175284,0.001067045,0.000215396,0.000194533
8.1898361,0.005678874,0.00094744,0.000241752,0.000191721
8.292485,0.005437451,0.000969639,0.00024025,0.000190641
8.3914866,0.005914375,0.000780909,0.000268449,0.000122918
8.499705,0.00561302,0.000773861,0.000252631,0.000212607
8.5707215,0.005062347,0.000697063,0.000209838,0.00024449
8.701171,0.004606488,0.000688412,0.000188431,0.000234403
8.7776601,0.003838553,0.00067864,0.00018165,0.000361885
8.8742044,0.003588618,0.000637637,0.000186177,0.000316742
8.9758329,0.003063069,0.000554352,0.000165568,0.00032186
9.0581588,0.003452762,0.000432421,0.000162654,0.00033512
9.1512814,0.003191298,0.00045764,0.000132691,0.00040268
9.2616614,0.004063245,0.000865419,0.000132078,0.000400365
9.3460289,0.003641001,0.000838922,8.13E-05,0.000469762
9.425829,0.003543483,0.000877068,8.01E-05,0.000336289
9.5239469,0.003982245,0.00090244,0.000146779,0.000238706
9.6215046,0.002958218,0.000920493,0.000113853,0.000245772
9.7130316,0.002829143,0.001251006,0.000107924,0.000303345
9.8115993,0.002962171,0.001817738,0.000112224,0.000293908
9.8939719,0.002095586,0.001830412,0.00012367,0.000252187
9.9736549,0.002026363,0.001839087,0.000180289,0.000255667
10.074726,0.0034754,0.001837449,0.000178901,0.000248329
10.1485314,0.002849495,0.001235052,0.000181749,0.000242318
10.4261529,0.003041424,0.001467196,0.000147749,0.00023439
10.4965321,0.003424599,0.001928683,0.000131913,0.000245584
10.570833,0.00379528,0.001511569,0.000110309,0.000260367
10.7480343,0.003976124,0.001682355,0.000106789,0.0002936
10.8953632,0.003824679,0.001692996,0.000103597,0.000208659
10.968429,0.00322004,0.001636336,0.000164032,0.000294874
11.1485593,0.002952087,0.001649163,0.000120951,0.000216813
11.2258753,0.003500977,0.001979946,0.000140204,0.000194977
11.3021911,0.003219534,0.001794443,0.000146911,0.000173626
11.3883856,0.003830765,0.001887988,0.000140272,0.000227321
11.5794153,0.003984239,0.001809771,0.000139537,0.000274598
11.7582779,0.004104941,0.001222968,0.000141026,0.000278165
11.8385519,0.003923058,0.0013418,0.000173443,0.00032697
11.9195278,0.003650663,0.001196701,0.000166037,0.000344714
12.0053983,0.003743727,0.001275302,0.000173189,0.00036385
12.0846714,0.003962774,0.001247188,0.000127608,0.000203966
12.1750557,0.003027179,0.001141029,0.000144513,9.44E-05
12.3723152,0.003451892,0.000919586,9.58E-05,0.000113395
12.5991668,0.003830616,0.000896532,0.00013936,0.000181042
12.6887378,0.003330756,0.000927918,0.000123327,0.000218147
12.7790498,0.003017259,0.001281445,0.000123687,0.000218837
12.8681563,0.003022774,0.001319921,0.00011571,0.000205693
12.95228,0.00239826,0.001024038,0.000150675,0.000254553
13.0521678,0.002263587,0.00090024,0.00013465,0.000259265
13.1417678,0.002592608,0.00061854,0.00011978,0.000289364
13.3262837,0.003473835,0.000501468,0.000130157,0.000349127
