,s1_d,s2_d,s3_d,s4_d
0.0260077,0.001065882,0.002034351,0.00077994,0.002801383
0.2265199,0.001103257,0.0015714,0.000133477,0.000115259
0.4330641,0.000893086,0.001571819,0.000164104,9.52E-05
0.6044363,0.000886662,0.002289969,0.000188995,9.86E-05
0.8859151,0.00107694,0.002288701,0.000179548,0.000115092
0.9532558,0.00155623,0.002312461,0.000215681,7.90E-05
1.0310014,0.001675208,0.002565783,0.000288176,9.04E-05
1.2326594,0.001521504,0.002731314,0.000304743,0.000182519
1.3161536,0.00208611,0.002253774,0.000290725,0.000196108
1.51002,0.002049649,0.001957501,0.000308109,0.00020221
1.694522,0.002483907,0.001056479,0.000279697,0.000203952
1.759625,0.002450923,0.000994545,0.000278394,0.000210184
1.8517925,0.002158859,0.000852236,0.000211015,0.000210027
1.9361495,0.001564021,0.000810223,0.000185291,0.000193403
2.0132705,0.002227561,0.001115262,0.000191988,0.00013756
2.1123308,0.002550676,0.001392314,0.000159671,0.000140398
2.1990223,0.002553052,0.0016002,9.37E-05,7.56E-05
2.373,0.002554434,0.001650459,8.45E-05,4.34E-05
2.5581872,0.002006893,0.001089788,8.45E-05,4.23E-05
2.6686226,0.002113497,0.001097054,7.67E-05,4.36E-05
2.737029,0.001564347,0.001041807,6.75E-05,4.35E-05
2.8712735,0.001543094,0.000798957,5.87E-05,4.35E-05
2.9601216,0.001366398,0.000613198,0.000147111,3.53E-05
3.0506941,0.001415208,0.000636735,0.000154411,8.16E-05
3.1436562,0.001083689,0.000599041,0.00015389,0.000193092
3.3273938,0.000838324,0.000740145,0.000153711,0.000197321
3.4125055,0.000839117,0.000752509,0.000134757,0.000300602
3.516385,0.000776133,0.000867807,0.000124659,0.000410041
3.5886312,0.00068618,0.001136695,0.000112415,0.000481426
3.6668819,0.000406181,0.001153221,0.000138296,0.000521916
3.9456159,0.000511215,0.000730209,0.00013887,0.00048261
4.1756343,0.000727539,0.000809236,0.000134674,0.000505922
4.3586989,0.000879875,0.001060641,8.29E-05,0.00054191
