,s1_d,s2_d,s3_d,s4_d
0.1205085,0.001839191,0.001278454,0.000775033,0.00498203
0.1968617,0.001866042,0.000994032,0.000172618,0.000191031
0.2894281,0.002105599,0.000820201,0.000168365,0.000191209
0.3702307,0.001538419,0.001465674,0.000250777,0.000155026
0.4653212,0.001298065,0.001638556,0.000148119,0.000223663
0.5448789,0.001065517,0.002068293,0.000147968,0.000186944
0.7464058,0.0009336,0.002330325,0.000167319,0.000166535
0.8210519,0.000995179,0.002554431,0.000165115,0.000152066
0.9490967,0.000499034,0.002463881,0.000175244,0.00012683
1.0434264,0.000496962,0.002357263,0.000184989,0.000111865
1.1256355,0.000459176,0.002241592,0.000190438,0.000187296
1.2227152,0.000716118,0.002251333,0.000193875,0.000180963
1.3171223,0.001080466,0.002243237,0.000206108,0.000175614
1.401248,0.001056804,0.001628018,0.000110703,0.000181964
1.596435,0.001063565,0.001358273,0.000114269,0.000105538
1.6707299,0.001046564,0.000577935,0.000114261,0.000184091
1.7753509,0.001284269,0.000874737,0.000152049,0.000181491
1.8592225,0.00139493,0.000560307,0.00015704,0.000192267
1.9639794,0.001386518,0.000688415,7.26E-05,0.000257447
2.067475,0.001374993,0.00066389,0.00011034,0.00025819
2.1562487,0.001346093,0.00062936,0.000124318,0.000198934
2.2419379,0.001393036,0.000746395,0.000121374,0.000198236
2.3452879,0.001018251,0.000833763,0.000133701,0.0002473
2.4287395,0.000970395,0.000995519,0.000107858,0.00024178
2.5330407,0.00098246,0.000994759,9.36E-05,0.000239133
2.6325054,0.000857034,0.000978187,9.88E-05,0.000263572
2.723486,0.000619494,0.000761749,9.63E-05,0.000308483
2.8868853,0.00045162,0.000774735,0.000100813,0.000353824
2.974373,0.001921548,0.000600133,7.82E-05,0.000295327
3.0603358,0.002141837,0.000636959,6.40E-05,0.000292082
3.1465877,0.002724521,0.000841836,6.17E-05,0.0002908
3.2460328,0.002630127,0.000856724,6.83E-05,0.000276397
3.3189382,0.003213689,0.000832897,7.30E-05,0.000270993
3.4186876,0.003296379,0.000436452,7.18E-05,0.000362294
3.5193751,0.003577306,0.000978096,0.000125558,0.000326068
3.6070138,0.003567782,0.001279605,0.000142396,0.00027571
3.7084158,0.003529867,0.001639355,0.000144635,0.000255998
3.7928307,0.003592906,0.00154244,0.000172974,0.000214635
3.8860126,0.002141977,0.001457275,0.000189093,0.000164218
3.9614097,0.001775803,0.001366753,0.000188369,0.000156858
4.0650577,0.001748865,0.001376219,0.000189306,0.000177799
4.1568239,0.001756694,0.001156612,0.000221156,0.000174725
4.2638657,0.002056896,0.001016984,0.000213692,0.000187824
4.3353471,0.0019692,0.001296877,0.000211814,0.000131594
4.4800911,0.001674868,0.001087118,0.000117497,0.000157947
4.5748217,0.001636397,0.001092219,9.92E-05,0.000168547
4.6747633,0.001714907,0.000762044,0.000128495,0.000160704
4.7645152,0.001573378,0.000909956,0.000104193,0.00015097
4.8746275,0.001664623,0.000814399,8.34E-05,0.000166098
4.9792346,0.001796765,0.000921389,8.52E-05,0.000146359
5.1114556,0.001385812,0.000900222,0.000182017,0.000182072
5.203992,0.001380543,0.001102552,0.000183666,0.000174924
5.3082654,0.00061374,0.001131309,0.000244241,0.000278628
5.3873458,0.000580024,0.000777071,0.000245046,0.000274725
5.470623,0.000547136,0.001225718,0.000244228,0.000209078
5.561996,0.000549731,0.001161162,0.000263562,0.000224536
5.6617592,0.000572136,0.001166927,0.000242208,0.000257223
5.7535965,0.000945987,0.001125473,0.000241908,0.000299697
6.0369024,0.000826328,0.001086531,0.000263133,0.000303355
6.1281571,0.000738227,0.001153138,0.000297842,0.000272858
6.2118287,0.000933067,0.001153214,0.000174417,0.000295731
6.2925186,0.000943514,0.001035536,0.000175763,0.000324805
6.4832313,0.000910381,0.001168328,0.000155173,0.00018369
6.6919889,0.000924652,0.001156999,0.000157763,0.000179443
6.7644881,0.001093522,0.000943437,0.000157433,0.000194065
6.8493659,0.001025515,0.000956682,0.000138793,0.000252791
7.0263488,0.001439239,0.000953213,0.000190019,0.000240315
7.1067644,0.001067987,0.000941189,0.000190486,0.000191152
7.1928808,0.000982525,0.000869474,0.000196609,0.000269809
7.2774895,0.00132376,0.000667836,0.000240035,0.000303466
7.4615772,0.002235575,0.000667243,0.000245849,0.00028229
7.560353,0.002576907,0.000921851,0.000225903,0.000346316
7.6508278,0.002882272,0.000724191,0.000157399,0.00034633
7.8455545,0.002878029,0.000694548,0.000121547,0.000351971
7.9213469,0.003375942,0.000823227,8.34E-05,0.000370941
8.0045191,0.003509166,0.000807077,0.000106764,0.000380008
8.1503856,0.003678297,0.000715242,0.000130883,0.000363478
8.2359652,0.0038817,0.000714239,7.67E-05,0.000361078
8.3137129,0.004552698,0.000682712,0.000103078,0.000235206
8.4910965,0.00415448,0.000974165,0.000144859,0.000233565
8.6629563,0.002855656,0.001101071,0.000183362,0.000228063
8.7653355,0.002756849,0.000989104,0.00018534,8.53E-05
