,s1_d,s2_d,s3_d,s4_d
0.1205909,0.004752199,0.000445872,0.00036604,0.003906169
0.2114479,0.003904353,0.000408003,6.27E-05,0.000840766
0.2985532,0.004219244,0.000719407,6.10E-05,0.000819081
0.4735404,0.003117657,0.000763529,8.63E-05,0.000675233
0.5593214,0.001192603,0.000958337,9.55E-05,0.000618396
0.6675307,0.001221085,0.000860128,8.95E-05,0.000588358
0.7560557,0.001159843,0.000982765,8.94E-05,0.000579463
0.8363405,0.001257144,0.001011741,0.000122707,0.000478036
1.0428583,0.002118062,0.001706174,0.000130554,0.000248257
1.130147,0.001754768,0.001725903,0.000119661,0.000227128
1.230192,0.003276269,0.001714466,0.000124957,0.000148496
1.4261504,0.00427577,0.001561663,0.00012581,0.000116063
1.4967067,0.004384969,0.001379613,0.000136962,0.000160226
1.6839166,0.004734255,0.001334614,0.000179722,0.000190511
1.7770262,0.005365309,0.001379849,0.000231542,0.000191002
1.8564177,0.006327794,0.001301591,0.000195752,0.000184986
2.044916,0.006632117,0.001335221,0.000194361,0.0002833
2.1324326,0.005691081,0.001504574,0.000186927,0.00038358
2.3200473,0.006208456,0.00057917,0.000235992,0.000549644
2.3949163,0.006305863,0.000664848,0.000229053,0.000727662
2.4640466,0.005467881,0.000739584,0.000285533,0.000860129
2.5514226,0.004559009,0.001289612,0.000300722,0.000967602
2.6481243,0.003948757,0.001292847,0.000337378,0.000941443
2.7419265,0.003527302,0.001500352,0.000319587,0.00068409
2.8406623,0.0029852,0.001340788,0.000262514,0.00078032
2.9199108,0.001944072,0.001309442,0.000262229,0.001038586
3.1080232,0.002057277,0.001466477,0.000251981,0.000860314
3.2143615,0.002093793,0.001423835,0.000252367,0.001011654
3.2897893,0.001796473,0.001661416,0.000222295,0.001049253
3.5130319,0.002106683,0.001466474,0.000220909,0.001171858
3.6154119,0.003189306,0.001207747,0.000171382,0.001036648
3.703294,0.00319072,0.000962118,0.00022749,0.000887478
3.7939191,0.00289407,0.001094466,0.000107644,0.000847241
3.8837905,0.003170197,0.000996757,0.000148456,0.000384097
4.0652884,0.00323418,0.001009687,0.00018301,0.000775926
4.2596573,0.002974337,0.001034801,0.000290461,0.000950101
4.3356524,0.003017157,0.000705498,0.000306727,0.00083745
4.4120357,0.002703673,0.000697852,0.000289942,0.00074963
4.6109129,0.003309502,0.000520754,0.000294583,0.000763213
4.6916625,0.002155676,0.001275787,0.000339322,0.000540771
4.8622918,0.002123814,0.001218188,0.000341804,0.000547211
4.9524135,0.002052699,0.001306448,0.000335877,0.000436228
5.0520391,0.002077657,0.00102621,0.000290293,0.000623544
5.1317751,0.001851721,0.001023528,0.000182098,0.000576369
5.2290653,0.001954555,0.000982878,0.000186298,0.000492939
5.3062715,0.001327431,0.000858261,0.000234401,0.000476759
5.3922729,0.001326563,0.000895992,0.000224651,0.000482058
5.583028,0.001459218,0.000909286,0.000223588,0.000410802
5.6624038,0.001164289,0.001090239,0.000269503,0.000493353
5.7352686,0.00142743,0.00060554,0.000170932,0.000490564
5.8190383,0.001114063,0.000505111,0.000172662,0.000487877
5.9083912,0.001286961,0.000510653,0.000195096,0.000495466
6.1691521,0.001376353,0.000487389,0.000134788,0.000410057
6.2254314,0.001415089,0.000404142,0.000132848,0.000468457
6.5056324,0.001247105,0.000403496,0.000147946,0.000458046
6.5877786,0.00118431,0.000297085,0.000120895,0.000816786
6.6635373,0.001264672,0.000324057,0.000114627,0.000938476
6.844898,0.001109204,0.000589011,0.000103445,0.000750381
6.929662,0.001335042,0.00107145,0.0001062,0.000405249
7.0292654,0.001355498,0.000908631,9.39E-05,0.000266621
7.1101039,0.001251367,0.001031071,8.64E-05,0.000294701
7.1963874,0.00148474,0.001267162,7.64E-05,0.00027716
7.3568755,0.001461615,0.001271211,7.92E-05,0.000335528
7.456929,0.002933965,0.001280463,8.30E-05,0.000372232
7.5870186,0.003431731,0.00134414,6.99E-05,0.000215162
7.7905277,0.003463458,0.001176457,7.02E-05,0.000203612
7.8722768,0.003141679,0.001437705,7.29E-05,0.000271213
7.9421509,0.003030614,0.001428317,0.000203197,0.000425437
8.1323943,0.003169428,0.001435521,0.000224667,0.00037483
8.2782121,0.002688839,0.001451635,0.000226928,0.000338396
8.3527733,0.002355677,0.001732643,0.000214214,0.000947337
8.4287738,0.002236608,0.001785782,0.000228804,0.001650807
8.5206568,0.00213313,0.001572766,0.000252228,0.00206029
8.607646,0.001280707,0.001094243,0.00025218,0.002208596
8.6836448,0.000833879,0.00111151,0.000227477,0.001962396
8.7793852,0.000760797,0.001284411,0.000254138,0.001713277
8.9594149,0.000862148,0.001225688,0.000215368,0.001528487
9.2477098,0.000860843,0.001180526,0.000145034,0.001540384
9.3164013,0.000558311,0.001211645,0.000150455,0.001106212
9.5162511,0.000618925,0.00121616,0.000232065,0.000415171
9.6176384,0.000475085,0.000651739,0.000239329,0.000420833
9.6985187,0.000534366,0.000742986,0.000244318,0.000338765
9.8859028,0.001213971,0.000740222,0.00021494,0.000377234
9.9679962,0.001069466,0.000640652,0.000219326,0.000378493
10.2441516,0.001067051,0.000543652,0.000218843,0.000881929
10.2997561,0.001053055,0.000557114,0.000156042,0.00085123
10.4688059,0.000698075,0.000333369,0.00015797,0.000767582
10.5570097,0.000726885,0.000537031,0.000149998,0.000756874
10.6384989,0.000719804,0.000445225,0.00012192,0.00056433
10.8155082,0.000713071,0.000365861,5.23E-05,0.000610362
10.8886162,0.000655841,0.000348753,0.000189712,0.000862539
11.076822,0.000680229,0.000375804,0.000225507,0.000757371
11.1626379,0.000160879,0.000420624,0.000274449,0.000757723
11.3463687,0.000353819,0.000652178,0.000342713,0.000623025
11.5395898,0.00128183,0.000662272,0.000345623,0.00048889
11.6192522,0.002238286,0.000642563,0.000449075,0.0004732
11.7082772,0.002246905,0.00066139,0.000482768,0.000506849
11.8961498,0.002250619,0.000510818,0.000492164,0.000500928
11.9857798,0.002292225,0.000559125,0.000474504,0.000681297
12.0908846,0.003278084,0.000553721,0.000453498,0.000474
12.2351354,0.003542045,0.000724391,0.000404213,0.000395794
12.3177545,0.004146547,0.000693094,0.000294265,0.000387326
12.404774,0.004417184,0.000712008,0.000117505,0.000370045
12.5003717,0.004729641,0.000582245,0.00012084,0.000369734
12.6013821,0.004623071,0.000731512,0.00011219,0.000299007
12.8064176,0.003678787,0.001004344,8.57E-05,0.000246438
13.0871186,0.004279389,0.001073227,7.98E-05,0.00032989
13.2665075,0.004366417,0.001056783,6.09E-05,0.00030081
13.3339978,0.004552184,0.001163784,6.57E-05,0.000370326
