,s1_d,s2_d,s3_d,s4_d
0.1219621,0.002293424,0.000679484,0.000612404,0.00553743
0.1983518,0.002430086,0.000702357,0.000137722,0.00012238
0.2987356,0.003142705,0.000757991,0.000128872,0.000124782
0.4465588,0.002530155,0.000796947,8.06E-05,9.32E-05
0.5396839,0.001901124,0.000763804,5.71E-05,0.000161106
0.633236,0.001806644,0.000618611,3.71E-05,0.00024898
0.7296336,0.001862692,0.000590726,3.94E-05,0.000212103
0.8236269,0.001834674,0.00079202,5.66E-05,0.00020685
0.9242657,0.001708966,0.001170907,5.38E-05,0.000206936
1.0183917,0.001935217,0.001207459,5.51E-05,0.000209809
1.0982062,0.001513962,0.001206196,6.53E-05,0.000330166
1.1910761,0.000479255,0.001201364,6.30E-05,0.000331575
1.2813869,0.001220979,0.001158308,6.34E-05,0.000363921
1.3701141,0.001156374,0.001113059,7.31E-05,0.000325641
1.4613087,0.00176111,0.001119292,6.71E-05,0.000337443
1.7376794,0.003129076,0.00095654,9.27E-05,0.000338246
1.8262169,0.003751044,0.00105249,7.62E-05,0.000438169
1.9351441,0.003652911,0.001011822,0.0001382,0.000433162
2.0403326,0.004372921,0.000485699,0.000144141,0.000722638
2.2669916,0.004129888,0.000449347,0.000187641,0.000719888
2.3689976,0.003725418,0.000509667,0.000177777,0.0005747
2.4415524,0.003310008,0.000551442,0.000177564,0.000549031
2.6384938,0.003585142,0.000512098,0.000177994,0.000386065
2.7176246,0.004240981,0.000426054,0.000162912,0.000431426
2.802665,0.004186598,0.000381046,0.000182188,0.000335384
2.8962728,0.003991752,0.000775575,0.000178577,0.000376509
3.0892418,0.00362037,0.000995915,0.000148659,0.000366018
3.1725149,0.003606272,0.0008996,0.000131646,0.000296423
3.2574437,0.002415261,0.001005993,0.000141485,0.000173441
3.3371071,0.002572003,0.000906551,6.73E-05,0.000173719
3.5243567,0.002381345,0.000920232,7.24E-05,0.000175005
3.7032752,0.002650904,0.000861092,8.46E-05,0.000168148
3.7933627,0.001928026,0.000996844,6.48E-05,0.000206202
4.0917495,0.002139049,0.000855793,8.34E-05,0.000245633
4.1725918,0.002100925,0.000965688,0.000125268,0.000189042
4.3583527,0.002074463,0.00114545,0.000118875,0.000169452
4.5346409,0.002310235,0.001075895,0.000128602,0.000290075
4.6205964,0.002242083,0.001051156,0.000145132,0.00027771
4.7231318,0.002358042,0.000922288,0.000118809,0.00030293
4.8503276,0.002865674,0.001546769,0.000120216,0.000301736
4.9465962,0.002706899,0.001411651,0.000119987,0.000322296
5.1372476,0.002173591,0.001409027,0.000127424,0.000330017
5.2032782,0.002527238,0.001318479,0.00014074,0.000438587
5.2862171,0.002438547,0.001345232,0.000153281,0.000370866
5.3663936,0.002464938,0.001242908,0.000171514,0.000310106
5.5617492,0.003028426,0.000752585,0.000131661,0.000248178
5.7445051,0.002960936,0.000686045,0.000196279,0.000230157
5.9396082,0.003277008,0.001116581,0.000167549,0.000191606
6.0191644,0.003586955,0.000818799,0.000174646,0.000226734
6.1902277,0.003748293,0.00053041,0.000148855,0.000357974
6.2748382,0.00426032,0.000531514,0.000157022,0.000370064
6.3854882,0.004312573,0.00070375,0.000198825,0.000362372
6.4735943,0.004249724,0.000723578,0.000223372,0.000322512
6.5443627,0.003383156,0.000720043,0.000216254,0.000305904
6.7364742,0.002939539,0.000752541,0.000178872,0.000306693
6.8016125,0.002969215,0.001343472,0.000205589,0.000361538
6.9588506,0.001035955,0.002032562,0.000160576,0.000343614
7.2394967,0.001033329,0.001597228,0.000174934,0.000222354
7.3231001,0.001155469,0.001608188,0.000193078,0.000216213
7.4265069,0.000924866,0.001737162,0.000194383,0.000200405
7.6191819,0.001158288,0.001864868,0.000209478,0.000201628
7.6974896,0.001341431,0.001766864,9.13E-05,0.00012164
7.7947489,0.001582695,0.001750135,8.77E-05,0.000114398
7.8737423,0.002349651,0.00178167,8.91E-05,0.000114179
7.9644025,0.002250779,0.001501151,8.91E-05,0.000139651
