,s1_d,s2_d,s3_d,s4_d
0.1218396,0.002598066,0.001370727,0.002743373,0.004243233
0.2128361,0.002600144,0.001371311,0.000356746,0.005507775
0.324728,0.002560102,0.001262841,0.000376562,0.005058435
0.3964288,0.001780244,0.001221921,0.00032915,0.0038094
1.5184559,0.002263416,0.001173346,0.000335065,0.001349312
1.5932095,0.003736334,0.001148524,0.000338413,0.000980939
1.8627734,0.00357527,0.001084807,0.000310907,0.000736785
1.9468808,0.003602071,0.001328923,0.000240995,0.000462093
2.1403056,0.003555748,0.001106848,0.000172024,0.000529339
2.225066,0.00308932,0.001068373,0.000174161,0.000606486
2.31294,0.003430822,0.001135724,0.000116764,0.000808545
2.4879856,0.004337936,0.000701635,9.57E-05,0.000793292
2.5806864,0.004309532,0.000519252,6.53E-05,0.000918702
2.6521034,0.004243266,0.000527827,6.13E-05,0.000701153
2.7366934,0.003590109,0.000600275,4.75E-05,0.000675214
2.8117534,0.002713529,0.000648784,5.25E-05,0.000754512
2.8941721,0.002249803,0.000813069,3.27E-05,0.000661582
2.9852431,0.002048073,0.000682484,6.05E-05,0.000415565
3.2553334,0.00252964,0.000713514,5.89E-05,0.000771379
3.320312,0.002549049,0.000729845,5.18E-05,0.000672978
3.4175628,0.003112992,0.000609647,5.13E-05,0.00079795
3.5557025,0.002647152,0.000743282,9.37E-05,0.000929599
3.6320627,0.002788241,0.000741872,8.22E-05,0.000937805
3.8315749,0.002806834,0.000973694,0.000104207,0.001181597
3.9081825,0.003814154,0.00085879,0.000106452,0.000916594
4.0117933,0.004358604,0.001010472,0.000110192,0.001043386
4.1090881,0.004302593,0.000831711,0.000133448,0.001044859
4.2910557,0.004051426,0.000861506,0.000109935,0.001029538
4.3804328,0.003909879,0.000860494,0.000154161,0.001034524
4.5122194,0.003980116,0.001046946,0.00014565,0.000702949
4.6009272,0.003830976,0.001071886,0.000151793,0.000515555
4.6891607,0.003609477,0.001055081,0.000162799,0.000539231
4.7704411,0.003522717,0.001054837,0.000153283,0.000857025
4.8741353,0.002759141,0.000733116,0.000164645,0.000879821
4.9559217,0.001799546,0.000807137,0.000182646,0.000724377
5.0505406,0.001286869,0.000649456,0.000176749,0.000706928
5.1426139,0.001356435,0.000563199,0.000177766,0.000913096
5.3418194,0.002287307,0.000829372,0.000178622,0.00101358
5.4236715,0.002578019,0.000872551,0.000179552,0.00098401
5.6091635,0.002727998,0.000643237,0.000200024,0.001025199
5.7071723,0.002689907,0.000642677,0.000239488,0.000791363
5.8084184,0.004221367,0.000645233,0.00029113,0.001029765
5.9541169,0.004243698,0.000654932,0.000371081,0.001298612
6.1327297,0.004275388,0.000624756,0.000392067,0.001117179
6.1969421,0.00429188,0.000661547,0.000361662,0.000888252
6.3935403,0.004400409,0.000853302,0.000344112,0.000870868
6.4667995,0.004408898,0.00092205,0.000270686,0.001206799
6.6535702,0.003772464,0.001161984,0.00026846,0.001413437
6.73685,0.003528027,0.001125885,0.000279475,0.001577325
7.0176929,0.003133566,0.001100535,0.000184095,0.001837749
7.1882265,0.002032554,0.001264478,0.000197085,0.001075013
7.2642075,0.002710292,0.001213592,0.000151524,0.001142276
7.3378029,0.00311906,0.001225045,9.03E-05,0.000974187
7.5340706,0.003465272,0.00120061,5.04E-05,0.000804464
7.7268108,0.003350704,0.001354954,4.50E-05,0.000237858
7.7825418,0.002380511,0.001105119,5.69E-05,8.80E-05
7.8623283,0.002443135,0.001355252,7.01E-05,0.000139417
8.0068268,0.002326887,0.000947444,6.94E-05,0.000143608
8.0777967,0.001282143,0.001170882,5.74E-05,0.000133584
8.168833,0.001691053,0.001427757,7.62E-05,0.000291225
8.3656711,0.00216921,0.001601371,7.63E-05,0.000378993
8.4480299,0.00165089,0.001718401,0.000124317,0.000381836
8.6431725,0.001557131,0.001626627,0.00012791,0.000986713
8.7427748,0.001596067,0.001428872,0.00012776,0.001098322
8.8294001,0.001355315,0.00084408,0.000126994,0.001262863
8.9630408,0.00155252,0.000855553,0.000165931,0.001327114
9.0535443,0.001803866,0.000958328,0.00018769,0.001551919
9.1599136,0.002274774,0.001097818,0.000230113,0.001417369
9.2379258,0.002111367,0.000685804,0.000205234,0.001196724
9.4260066,0.002017607,0.000653883,0.00019989,0.001154061
9.4915249,0.001903767,0.000513197,0.000230751,0.001192312
9.675942,0.001912707,0.00086843,0.000190626,0.000641706
9.7626461,0.001793915,0.000802387,0.000178962,0.000647467
9.9509546,0.001727847,0.00077041,0.000252689,0.000942102
10.0470303,0.002059986,0.000805566,0.000287569,0.000863457
10.2416704,0.001949941,0.000835238,0.000242097,0.000780539
10.3242645,0.002631995,0.000876816,0.000219384,0.000700594
10.5066552,0.001876865,0.000854368,0.000188098,0.00054618
10.6027891,0.001955341,0.001021566,0.000234491,0.000510676
10.7024299,0.001952269,0.001022718,0.000218727,0.000416804
10.7830393,0.001885402,0.000876282,0.000204176,0.000827421
10.9699207,0.001869076,0.000476246,0.000219555,0.000794596
11.0500191,0.002327498,0.000695742,0.000229067,0.000798972
11.1406993,0.002398456,0.000839613,0.000140871,0.000819907
11.2286494,0.001955034,0.000855715,0.000154649,0.000923411
11.4310242,0.001742857,0.000815227,0.000189827,0.000991801
11.6043128,0.000728,0.001124827,0.000178758,0.001328101
11.6875271,0.000777488,0.00126311,0.000187475,0.001465735
11.7612288,0.001960337,0.001172962,0.000174744,0.001126341
11.8568883,0.00204818,0.001720915,0.000174788,0.001266011
11.9420208,0.002443506,0.001721978,0.00020944,0.001273538
12.1416605,0.002467958,0.001688182,0.000242858,0.001003128
12.3849913,0.002027703,0.001771989,0.000257044,0.001129979
12.4485534,0.002770043,0.001536944,0.000213055,0.000919588
12.6326455,0.004165987,0.001930106,0.000178273,0.000863194
12.8201528,0.004940763,0.002121661,0.000139999,0.000511386
12.8964304,0.004801877,0.001958909,0.000128848,0.000651215
13.0652954,0.004781799,0.001922983,0.000181054,0.000518574
13.2478976,0.004666489,0.001691489,0.000181031,0.000478195
13.4330071,0.004693829,0.001296741,0.000195955,0.000543627
13.6362713,0.004753839,0.00137466,0.0001701,0.000938171
13.720435,0.00491129,0.001338901,0.000353505,0.006864844
13.9045386,0.009069642,0.003198416,0.000285531,0.427588239
13.9843972,0.010382966,0.003459017,0.000318523,0.698054539
14.0816721,0.010271432,0.003306974,0.000396119,0.913960688
14.2903827,0.01059882,0.004980094,0.000356407,1.041679227
14.39006,0.009366856,0.007352801,0.000503129,1.125974397
14.4868988,0.010404136,0.007438144,0.000533439,1.118676853
14.6680277,0.01338059,0.007207172,0.000930567,1.428068227
14.7437532,0.01425326,0.007801072,0.000919484,1.834669697
14.9245329,0.016831555,0.007399769,0.000638473,2.219467687
15.020643,0.020086835,0.008159232,0.000636619,2.627734879
15.2141298,0.017585307,0.007418636,0.000505132,2.613383845
15.3021531,0.013478373,0.007839074,0.000423535,2.254021937
15.3916303,0.005368015,0.007591659,0.000439701,1.771365907
15.5841232,0.004916273,0.008348234,0.000613211,1.201950205
15.665251,0.002867674,0.006214645,0.000646502,0.411912015
15.7621415,0.002875881,0.007145946,0.000729997,0.400297492
15.9533827,0.002861768,0.007750065,0.00041211,0.415656588
16.0220449,0.002956962,0.006370006,0.00030912,0.490702808
16.1330056,0.003848867,0.005860017,0.000293367,0.803493306
