,s1_d,s2_d,s3_d,s4_d
0.1209295,0.001655277,0.000900679,0.001422316,0.002467589
0.1984903,0.001534685,0.000781602,8.79E-05,0.00014158
0.294167,0.001557057,0.000689485,0.000115334,0.000121561
0.4071564,0.001219258,0.000538557,0.000116974,0.000129283
0.4737439,0.001233971,0.000480064,0.000112725,0.00013908
0.5717488,0.001150376,0.00061032,6.55E-05,0.000155055
0.6597159,0.001272386,0.000573951,8.56E-05,0.00012883
0.7715568,0.000871478,0.000648221,8.63E-05,0.000130422
0.8425878,0.000947444,0.000978161,7.81E-05,0.000119967
0.9867553,0.001026297,0.001361007,0.000117798,0.000130125
1.1701376,0.001707198,0.001377227,0.000107673,0.000138244
1.3527457,0.001739324,0.001553216,8.82E-05,0.000139238
1.5093709,0.001870437,0.001770761,0.000102456,0.000144859
1.6044095,0.002028426,0.001774554,0.000104077,0.000117066
1.7219281,0.002582511,0.001518386,0.000110373,0.000116522
1.8482249,0.002568258,0.001596125,9.98E-05,0.000118468
1.9606594,0.002580751,0.001750366,0.000105612,0.000127033
2.1685065,0.002480216,0.001900545,0.000132478,0.000115915
2.3878325,0.002718345,0.001427465,0.000266645,0.000228672
2.5034016,0.002744313,0.001532604,0.000216112,0.00025691
2.6156321,0.001030331,0.001831834,0.000213739,0.000226435
2.8327507,0.00117196,0.001438396,0.000214824,0.000237827
2.9079774,0.001169509,0.002965551,0.000194127,0.000233279
2.986256,0.001594227,0.002925836,0.000181227,0.000220982
3.1815374,0.001257373,0.002927889,0.000119207,0.000175871
3.4696376,0.002224167,0.002976441,0.000119934,0.000234596
3.5311438,0.004259685,0.002967248,0.000122556,0.000248244
3.6116315,0.004246686,0.002418828,0.000119445,0.000266867
3.7898856,0.003507747,0.001634814,5.75E-05,0.000143771
3.9888653,0.003214359,0.001689658,8.47E-05,0.000183305
4.1040097,0.003910565,0.001711393,9.30E-05,0.000269988
4.1874935,0.004287442,0.001768832,9.36E-05,0.000197396
4.5004051,0.003910079,0.000895018,1.00E-04,0.000200673
4.6506293,0.003957995,0.001279126,0.000148684,0.000129041
4.859756,0.00383075,0.001158502,0.000145979,0.000118197
4.963032,0.004396602,0.001176405,0.000142501,0.000284974
5.181259,0.00341765,0.001504802,0.000162882,0.000285345
5.5068863,0.00317976,0.001654176,0.000162581,0.000313873
5.8371349,0.003382735,0.001905075,0.00012169,0.000332367
6.0106189,0.003593989,0.00222552,6.75E-05,0.000424299
6.1116329,0.002548176,0.002691633,6.94E-05,0.000490919
6.2912633,0.002446617,0.002462517,5.77E-05,0.000556126
6.3846256,0.00381299,0.00222468,6.22E-05,0.000532586
6.4678898,0.004116546,0.00319878,0.000507475,0.001833155
6.6641185,0.004189674,0.00348489,0.000727306,0.003499345
6.836617,0.002707246,0.003528486,0.00073362,0.004327851
6.9135061,0.004021572,0.00381889,0.000823517,0.00532566
7.0797474,0.004141836,0.003634878,0.0008645,0.005248753
7.2562939,0.003543233,0.003368525,0.000767152,0.005048178
7.3741113,0.002471221,0.002968779,0.000781062,0.004018144
7.4843714,0.002160579,0.002018502,0.000704635,0.002601488
7.7922449,0.002422952,0.001871995,0.000546728,0.002267255
8.0083602,0.002261868,0.001758218,0.00028237,0.001322805
8.3152831,0.004049622,0.001420281,0.00047049,0.001337989
8.5429824,0.004994441,0.001823889,0.000549761,0.001869894
8.7191257,0.004703349,0.002210698,0.000473749,0.001925228
8.7964779,0.004186846,0.001923539,0.000461841,0.002405243
8.8847211,0.004087495,0.002285444,0.000480754,0.002705995
9.0697938,0.003959893,0.002596132,0.000294283,0.002635996
9.2509788,0.005716551,0.003455681,0.00028825,0.001928827
9.3334742,0.006535574,0.0032214,0.000288435,0.001722038
9.5062685,0.006358445,0.003279385,0.000449869,0.001464989
9.6947224,0.006633,0.003371464,0.000288071,0.001287113
9.7702157,0.005863918,0.00314404,0.000356562,0.001291798
9.8398462,0.004750749,0.002717999,0.000346289,0.001245077
9.9900333,0.004811748,0.002675431,0.000626896,0.001229451
10.2121175,0.004885158,0.002675422,0.000620805,0.001195582
10.4229179,0.004688176,0.002660042,0.000607871,0.001260196
10.7818502,0.004740747,0.002340596,0.00034433,0.001392671
11.016853,0.004023704,0.000878693,0.000258,0.00155604
11.1122402,0.004240824,0.000666063,0.000152528,0.001699854
11.2379165,0.004004241,0.000907702,0.000171033,0.00160632
11.4552738,0.004134317,0.001385561,0.000188155,0.001840747
11.6394836,0.002472112,0.001520615,0.000237472,0.001855225
11.7200849,0.002397488,0.001640847,0.000226322,0.001931041
11.8954751,0.003335444,0.001604275,0.000138823,0.002088297
12.0844634,0.003378411,0.001568371,0.000167948,0.002503758
12.2529958,0.002676567,0.001855056,0.000328921,0.002625091
12.3109535,0.002685661,0.001763333,0.000413157,0.002693743
12.3833274,0.002565383,0.001645452,0.000410479,0.002046791
12.5427205,0.002746942,0.002332847,0.000379217,0.002342294
12.7317782,0.002341646,0.002206829,0.000312428,0.00263748
12.819747,0.002229065,0.002293657,0.000184829,0.002433307
12.9047855,0.002306414,0.00270469,0.000180574,0.002915012
13.0168912,0.002236811,0.002588258,0.000173377,0.002939672
13.1032663,0.002390626,0.002773734,0.000211333,0.002669918
13.1937003,0.003163357,0.002909302,0.000222013,0.002329418
13.3870849,0.003083407,0.00195857,0.000224433,0.002059145
13.5633673,0.003106768,0.003405178,0.000251074,0.001559038
13.7422123,0.003825944,0.00361841,0.00025373,0.001555959
13.8424652,0.003598275,0.003464408,0.000311875,0.001397454
14.1217625,0.003091474,0.003591249,0.000373079,0.001356814
14.1879717,0.003158604,0.003176933,0.000366529,0.001122511
14.2941978,0.002631,0.003738899,0.000311522,0.001038629
14.3722417,0.002415798,0.003251807,0.000195634,0.001072796
14.4459499,0.002242091,0.002662288,0.000389041,0.001405935
14.6330917,0.002417526,0.003535553,0.000280915,0.001293773
14.7265693,0.002152036,0.003557217,0.000280313,0.001272335
14.8144813,0.002069174,0.002487917,0.000534984,0.001300041
14.9112501,0.001320647,0.002136335,0.000568896,0.001328665
15.09826,0.001480308,0.002067715,0.000640534,0.001249808
15.2206967,0.001515359,0.001956072,0.000661669,0.001199852
15.3108568,0.001360163,0.001935906,0.000669601,0.001217248
15.4302183,0.001282052,0.001346034,0.000738771,0.000901573
15.5189677,0.001206174,0.001349031,0.000728011,0.00072519
15.7018311,0.001249115,0.001428872,0.000370307,0.000598126
15.778072,0.000858892,0.001058673,0.000383685,0.000660634
15.9694931,0.000894132,0.001120902,0.000345452,0.000872234
16.1701113,0.000762619,0.001084194,0.000253061,0.000980468
16.2551213,0.000815966,0.001326265,0.000261604,0.000920084
16.3471891,0.001557536,0.001406493,0.000211528,0.000975452
16.4159924,0.001536886,0.00132858,0.000228721,0.000765535
16.495098,0.001833518,0.001347713,0.000248334,0.000664151
16.6812221,0.002062858,0.001050048,0.000189141,0.00072473
16.7726854,0.002297154,0.001061813,0.000220741,0.000930302
16.9509871,0.001789606,0.001032454,0.000177776,0.001045518
17.0156853,0.001776085,0.001592705,0.000146299,0.001225946
17.1164469,0.001873406,0.001369569,0.000219281,0.001435282
17.1954482,0.001984384,0.001894694,0.000346627,0.001425199
17.2728138,0.002101156,0.001438963,0.000214825,0.001076501
17.3809893,0.002862757,0.001131694,0.000188198,0.000882475
17.5483119,0.002784703,0.001046818,0.000276694,0.001513793
17.6455879,0.001911367,0.001028546,0.000309671,0.002331732
17.7233088,0.001912162,0.001168087,0.000311046,0.00269202
17.8156847,0.002064738,0.001218892,0.000311203,0.002571026
17.9049838,0.002043591,0.000899694,0.000353596,0.002522793
17.9877075,0.002052691,0.001169416,0.000375719,0.002528123
18.0710884,0.002510183,0.001462608,0.000359859,0.002330991
18.1599523,0.002263969,0.001531319,0.000283347,0.002049838
18.3512169,0.002332419,0.001569493,0.000292893,0.002791617
18.4227632,0.001911706,0.001700304,0.000310145,0.002637227
18.6177047,0.001634084,0.001697225,0.000181137,0.002213579
18.7084378,0.001745832,0.001956328,0.000102536,0.001748894
18.8880996,0.001699766,0.001981444,6.42E-05,0.001681904
19.1807088,0.002133702,0.002156892,5.33E-05,0.001911735
19.2369418,0.003428014,0.002083024,4.83E-05,0.002114154
19.3278268,0.003334042,0.001132016,4.16E-05,0.00193994
19.4490545,0.003215252,0.001152747,0.000113641,0.001710734
19.6267186,0.00311523,0.000370231,0.000215681,0.001736013
19.693828,0.003043338,0.000888526,0.000214346,0.001339766
19.7958041,0.002785631,0.001251739,0.000222359,0.001685258
19.8733021,0.003875873,0.001336707,0.000255359,0.001818097
19.9647405,0.004113811,0.001587561,0.000234017,0.00154723
20.0336761,0.004273532,0.001665354,0.000185693,0.001179935
20.1225474,0.003927773,0.00172545,0.000177418,0.000994739
20.3002958,0.003179561,0.002256243,0.000131225,0.000869929
20.4754206,0.003577527,0.002292669,0.000122903,0.001096091
20.5659457,0.003568215,0.002451491,0.000175045,0.001110592
20.6615744,0.003722917,0.002446437,0.000384715,0.001055913
20.7450492,0.003856927,0.002225037,0.000429992,0.00081839
20.8399206,0.004244184,0.002082506,0.000426424,0.00069061
20.9103167,0.003661165,0.001951628,0.000539233,0.000764134
21.1121914,0.003273929,0.001813589,0.000616796,0.000924208
21.3001821,0.003376047,0.001943491,0.000600965,0.000922439
21.3805619,0.003406556,0.001786309,0.000560079,0.000868804
21.4593296,0.003462399,0.001175634,0.000604863,0.001326923
21.6339384,0.003201514,0.001376213,0.000618571,0.00169781
21.8104353,0.003611641,0.001177452,0.000468612,0.001841837
22.0017963,0.003107941,0.001162314,0.000498537,0.001781591
22.0911775,0.003100696,0.001234218,0.000562303,0.001723159
22.1829589,0.003400829,0.000952814,0.000653254,0.001903449
22.2623593,0.002766417,0.000886194,0.000724611,0.001619003
22.3730732,0.002776942,0.000881667,0.000846313,0.00174301
22.6422965,0.002717473,0.001122582,0.000863631,0.002024426
22.7109109,0.002017756,0.001156846,0.000886415,0.002002797
22.7903028,0.002875121,0.00115693,0.000726328,0.001542515
22.9584314,0.003231385,0.001958468,0.000488655,0.00134437
23.1520376,0.003646297,0.00258246,0.000495248,0.001128539
23.3364129,0.003823259,0.002598357,0.000288858,0.001270791
23.5282241,0.004743236,0.00264872,0.000473951,0.001865587
23.607069,0.004753989,0.002445236,0.000485824,0.001692591
23.6893078,0.005397034,0.002903288,0.000418438,0.001702429
23.829305,0.00532252,0.002646748,0.000587701,0.001578989
23.9097036,0.005353267,0.001908026,0.000614649,0.001319778
24.1416752,0.005224233,0.002020405,0.000602509,0.001536764
24.2039208,0.004981011,0.002446118,0.000633753,0.001688187
24.3845481,0.004774555,0.002397962,0.000680685,0.001470129
24.4836983,0.003735368,0.001825171,0.000703431,0.001551989
24.5804123,0.003888441,0.001967755,0.000593466,0.001800357
24.6799173,0.003810174,0.001694777,0.000383799,0.001716427
24.8519509,0.003246157,0.001597013,0.000425822,0.002047041
24.9175292,0.002577118,0.001618355,0.000482305,0.002155463
25.0986829,0.002172691,0.002235327,0.000270061,0.001775931
25.2805516,0.004582058,0.002148818,0.000248477,0.001675454
25.4600579,0.004414083,0.002134621,0.000348052,0.001720381
25.6312137,0.004889339,0.002102623,0.000348185,0.001205025
25.7097044,0.004722023,0.001520909,0.000416785,0.001482569
25.8053111,0.005190367,0.001752207,0.000466602,0.001623791
25.905661,0.004856819,0.001618303,0.000467933,0.00149587
26.0631796,0.00433812,0.001835515,0.0005697,0.001309941
26.1360412,0.004547495,0.001937128,0.000436739,0.00091009
26.2215477,0.004461368,0.001863983,0.000539853,0.001152753
26.411557,0.004239014,0.001240066,0.000527507,0.001404759
26.4920663,0.002779545,0.001809219,0.000572332,0.001680857
26.5694293,0.003056511,0.001858854,0.000563311,0.001418466
26.7635324,0.00233188,0.001602085,0.000562405,0.001504152
26.8499418,0.002641128,0.001592531,0.000569375,0.001150137
26.9373633,0.001486026,0.001338824,0.0006907,0.001277256
27.1173178,0.002685409,0.001370962,0.000766171,0.001238434
27.1896457,0.003331941,0.001141487,0.000707142,0.001302741
27.275295,0.002900799,0.001035652,0.000732164,0.001546264
27.4567959,0.003229534,0.001105925,0.000512713,0.001264341
27.6247922,0.003170024,0.001173934,0.000528261,0.001092971
27.6986459,0.003237332,0.000939162,0.000456024,0.000759199
27.7818957,0.003156327,0.000958614,0.000510632,0.000815413
27.9684095,0.003949459,0.000945753,0.000520849,0.001048185
28.0451659,0.00390532,0.001013747,0.00036857,0.001330472
28.1264637,0.003997695,0.001064162,0.000309685,0.001402825
28.2570338,0.002707006,0.001081089,0.000266184,0.001290907
28.346786,0.002394359,0.001101618,0.000225816,0.000935362
28.4916424,0.002478559,0.000714261,0.00021275,0.00053322
28.5800533,0.002678618,0.000824216,0.000276432,0.000837496
28.6700364,0.003326887,0.000818548,0.000278781,0.001279644
28.7590376,0.003236086,0.000839169,0.000347219,0.001579276
28.946519,0.003192103,0.000920355,0.000256981,0.001487239
29.0427633,0.002214372,0.001492059,0.000283706,0.001357388
29.116544,0.002711627,0.0011386,0.000310758,0.001171424
29.2269003,0.002236852,0.001092144,0.00026179,0.001302769
29.3310401,0.002159178,0.000895763,0.00020867,0.001694927
29.5145512,0.001963294,0.000912509,0.000123076,0.002299035
29.6020264,0.002611542,0.00104632,0.000128445,0.002763895
29.7145231,0.00476175,0.001027146,0.000125683,0.002507314
29.895526,0.004037167,0.001200036,0.000125132,0.001918178
29.9532604,0.004096819,0.001172991,0.000136213,0.001217304
30.1512626,0.005368199,0.001641101,0.000154771,0.001654305
30.2409316,0.005138921,0.002110082,0.00015267,0.001804253
30.3483965,0.005165727,0.001962415,0.000231571,0.002061695
30.4459574,0.0049965,0.001957874,0.000448469,0.002267468
30.5181496,0.004910402,0.00109881,0.000583982,0.002328465
30.6884259,0.00442241,0.000947301,0.000486521,0.00195161
30.7772591,0.004530564,0.000932109,0.000473598,0.001658209
30.8598846,0.002783316,0.000721401,0.000470223,0.001541086
31.0535656,0.002510681,0.000890106,0.000527141,0.001487936
31.2227925,0.002267813,0.001368196,0.000521971,0.001544999
31.2986504,0.001372984,0.001248554,0.000551329,0.001341704
31.3772766,0.001186954,0.001139563,0.000549682,0.001426851
31.4820408,0.001611646,0.000843997,0.000658671,0.001396924
31.6532707,0.003283166,0.001054192,0.000679506,0.001299571
31.736262,0.003195963,0.001027518,0.000837917,0.001552922
32.0065145,0.003622746,0.00158145,0.000938616,0.001899129
32.0894102,0.003788791,0.001799384,0.000939135,0.001567169
32.1977729,0.003786183,0.001834112,0.0008497,0.001628792
32.2934045,0.004490303,0.002260722,0.000721734,0.001416702
32.4276386,0.00503147,0.002071485,0.000604569,0.001340286
32.4961963,0.005178943,0.002375653,0.000530373,0.001261883
32.5853902,0.004693205,0.001870588,0.000695233,0.001163776
32.8075463,0.005674232,0.002145601,0.000637609,0.001159842
33.0975057,0.004996848,0.002079814,0.000556555,0.001120388
33.1661735,0.004956281,0.002058833,0.000379015,0.000957801
33.3566467,0.004040599,0.001106894,0.000277689,0.000690166
33.4231576,0.004338011,0.001169534,0.00029138,0.000669965
33.4957505,0.004335698,0.001185015,0.00028946,0.000538106
33.6726201,0.003989658,0.00080563,0.000285768,0.000412951
33.7507639,0.003471834,0.000796526,0.000306771,0.000702163
34.0230226,0.003047022,0.000478466,0.000305343,0.001039965
34.0955143,0.004951068,0.000249668,0.000245921,0.001323527
34.1662451,0.0034786,0.000342466,0.000282671,0.001575479
34.3608657,0.002724686,0.000494807,0.000285928,0.001556904
34.4320332,0.002749511,0.000514399,0.000254355,0.001426123
34.5051469,0.003749071,0.000945456,0.000422996,0.00155838
34.5792484,0.003355065,0.001047247,0.000440126,0.001615622
34.7615173,0.003926583,0.001223522,0.000430569,0.001646774
34.8474915,0.004037875,0.001401342,0.000469724,0.001906582
34.9346127,0.003973062,0.001358573,0.000512043,0.001758935
35.0193867,0.004095313,0.001354346,0.000509052,0.001473401
35.1306396,0.002083302,0.001578958,0.000397568,0.001050244
35.3333823,0.001532928,0.001345506,0.000283967,0.000751916
35.4116168,0.003467539,0.001295342,0.00033747,0.001029989
