,s1_d,s2_d,s3_d,s4_d
0.1351044,0.001772135,0.001405607,0.000138682,0.004273857
0.2097484,0.00128005,0.001261128,0.000129174,0.000201262
0.3034033,0.001285815,0.00119912,0.000128581,0.000183697
0.3976357,0.001305898,0.001201422,0.00019852,0.00020333
0.4727782,0.001336606,0.00115176,0.000209897,0.000187163
0.6115299,0.001345596,0.000597501,0.000219348,0.000111395
0.6892449,0.001343581,0.000984722,0.000145342,0.000113673
0.7721756,0.001567109,0.000866392,1.00E-04,0.000105441
0.8767964,0.001357219,0.000990382,0.000100582,9.63E-05
0.9537689,0.001294885,0.000978215,0.000123389,0.000112344
1.0636151,0.001511671,0.000962742,0.000128935,0.000109893
1.1355665,0.001319556,0.000945397,0.000153663,0.000125095
1.2425805,0.001791812,0.001804532,0.000153078,0.000166993
1.3934036,0.002094837,0.001870096,0.000116792,0.000165058
1.5771262,0.002232538,0.001891455,0.000108413,0.000164153
1.6552579,0.002441597,0.001900282,0.000109201,0.000150294
1.7472585,0.002505273,0.001396509,9.64E-05,0.000159497
1.8346005,0.003161535,0.001281209,9.48E-05,0.000157373
1.9187992,0.003679823,0.001167016,9.48E-05,0.000157509
2.0051884,0.003241282,0.00110344,7.59E-05,0.000184866
2.1724252,0.003272515,0.001128341,7.73E-05,0.000185755
2.2755342,0.003353619,0.001165159,8.32E-05,0.000162807
2.3671785,0.00330067,0.00064309,0.000133017,0.000141575
2.4482961,0.00330413,0.00073362,0.000145814,0.000131896
2.5315288,0.002278224,0.00096989,0.000145214,0.000126862
2.6255192,0.003852901,0.001024091,0.000151817,0.000181317
2.6989088,0.003805784,0.001480118,0.000144605,0.000166191
2.7933918,0.003111332,0.001989671,0.000164539,0.000170183
2.8941129,0.002056151,0.0020164,0.00021561,0.000173261
2.9873046,0.002051366,0.001944749,0.000237721,0.000127492
3.1637737,0.003048197,0.00195805,0.000266539,9.97E-05
3.2447456,0.003032665,0.00172196,0.000233096,8.51E-05
3.3328687,0.003195564,0.00156173,0.000203715,0.000154539
3.4314071,0.003064326,0.000831246,0.000195675,0.000143494
3.5088781,0.004279995,0.000992628,0.000191978,0.000149094
3.585703,0.003037222,0.000501552,0.00020859,0.000106414
3.6729274,0.003599385,0.000733569,0.000257941,0.000112181
3.8904058,0.003229065,0.00071614,0.000241834,0.000132346
3.9850641,0.003751336,0.000728007,0.000155066,0.000134234
4.0807701,0.003714609,0.001120427,0.000181657,0.000137854
4.1618158,0.003449983,0.001248624,0.000231929,0.000158087
4.2552574,0.003482479,0.001395838,0.000267733,0.000142022
4.353648,0.002748515,0.0018208,0.000275632,0.000128869
4.4385263,0.002643844,0.00193234,0.000285501,0.000128703
4.517679,0.002210182,0.001770189,0.000283849,0.000130669
4.6118543,0.002057821,0.002157005,0.000259083,0.000163878
4.7182198,0.001611566,0.001894642,0.000224306,0.000159129
4.8012934,0.003090513,0.001697012,0.00021858,0.000133072
